날짜,기업이름,요약내용
2023.06.07,SK이노베이션,SK이노베이션은 자회사 SK온의 실적개선 기대감에 주가가 나흘째 상승세를 보이고 있습니다.
2023.06.03,SK이노베이션,테슬라가 크게 오르면서 국내 2차전지 관련주도 주목을 받고 있습니다.
2023.07.02,SK이노베이션,코스피 주간 기관 순매도 1위 ‘SK이노베이션’
2023.06.06,SK이노베이션,"LG화학(3283억원), SK이노베이션(2768억원) 등도 개인 투자자의 순매수 대금이 많았습니다."
2023.06.18,SK이노베이션,코스피 주간 기관 순매도 1위 'SK이노베이션'
2023.06.02,SK이노베이션,"종목 집중탐구 4.4조 자금조달 성공, 수율 개선 ""IRA효과로 2분기 흑자전환 가능"" '2차전지 랠리'에서 소외됐던 SK이노베이션이 최근 반등하고 있습니다."
2023.06.04,SK이노베이션,"2분기 이익 눈높이가 높아질 것으로 예상되는 SK이노베이션(096770), 삼성전기(009150) 등 부품주들이 주간 추천주로 제시됐습니다."
2023.06.01,SK이노베이션,"시가총액 상위종목 중 SK이노베이션(2.64%), LG(0.93%) 등이 올랐고 카카오(-0.18%), 삼성물산(-1.54%), KT&G(-0.72%) 등이 하락했습니다."
2023.06.02,SK이노베이션,다만 SK이노베이션 주가는 연초 대비 18.7% 상승해 이익 감소가 주가에 미치는 영향은 제한적이라는 분석입니다.
2023.06.01,SK이노베이션,"SK의 1분기 연결 매출액은 32조7000억원, 영업이익은 1조1000억원을 기록했습니다."
2023.06.01,SK이노베이션,한화투자증권은 SK이노베이션이 AMPC(세액공제) 효과와 수율 개선으로 수익성 향상이 구체화하고 있으며 SK온 사업 가치 재평가에 대한 기대로 투자 의견 유지와 목표 주가 23만 원을 제시했습니다.
2023.06.04,SK이노베이션,카본 투 그린(Carbon to Green) 전략을 이행중인 SK이노베이션의 경우 자회사 SK온과 SK아이이테크놀로지가 각각 생산하는 전기차 배터리와 전기차 배터리 분리막 등 환경 분야 제품이 사회적가치 창출에 크게 기여했습니다.
2023.06.02,SK이노베이션,"1일 코스피 시장에서 기관은 포스코퓨처엠, SK이노베이션, SK아이테크놀로지, 한국전력을 집중 매수했습니다."
2023.06.08,SK이노베이션,"SK이노베이션은 지난해 친환경 공정과 고용 확대, 협력사 지원 등을 통해 사회적가치 3조 383억 원을 창출했다고 밝혔습니다."
2023.06.04,SK이노베이션,코스피 주간 기관 순매수 1위 'SK이노베이션'
2023.06.10,SK이노베이션,[2차전지 K-뉴딜] SK아이이테크놀로지 3.36% 올라 업종내 상승률 선두
2023.06.01,SK이노베이션,SK이노베이션은 31일 코스피 시장에서 오후 2시38분 현재 전 거래일보다 2.43%(4600원) 상승한 19만3700원에 거래되고 있습니다.
2023.06.02,SK이노베이션,"에너지 가격 하락과 반도체 업황 부진으로 SK이노베이션, SK스퀘어 등 관련 자회사의 이익이 큰 폭으로 감소했고 SMP 상한제 및 전방산업 부진으로 비상장 자회사인 SK E&S, SK실트론 등도 이익률이 감소했습니다."
2023.06.02,SK이노베이션,"그러나 모회사 SK이노베이션의 지원 사격으로 대규모 상장 전 지분 투자(프리 IPO)를 연달아 유치, 목표의 10% 이상인 최대 4조4400억원의 투자 실탄을 확보하면서 자금 조달의 불확실성을 해소했다는 분석입니다."
2023.06.08,SK이노베이션,SK이노베이션·FI와 주주간 계약 체결 SK온이 잇따라 투자 유치에 성공하며 투자자로부터 유치한 금액이 5조원에 육박해졌습니다.
2023.06.05,SK이노베이션,"SK 427 광구의 탐사를 시작했다고 알린 가운데, 실제로 원유 매장량을 확인할 수 있을지에 관심이 쏠립니다."
2023.06.01,SK이노베이션,"(98억원), SK이노베이션(80억원), 루닛(76억원), LG전자(74억원), 와이지엔터테인먼트(74억원), HPSP(71억원), 메디톡스(67억원), 알테오젠(66억원), 덴티움(60억원), 한진칼(55억원) 등입니다."
2023.06.03,SK이노베이션,[하나證 주간추천주]SK이노베이션·한국전력·삼성전기
2023.06.01,SK이노베이션,"지난 24일 SK이노베이션, SK온, MBK컨소시엄은 S대규모 투자 유치 계약을 전했습니다."
2023.06.09,SK이노베이션,SK이노베이션의 계열사인 SK온이 총 1조5000억원을 투입해 충남 서산의 배터리 공장을 증설할 것으로 전해졌습니다.
2023.06.05,SK이노베이션,카본 투 그린(Carbon to Green) 전략을 이행중인 SK이노베이션의 경우 자회사 SK온과 SK아이이테크놀로지가 각각 생산하는 전기차 배터리와 전기차 배터리 분리막 등 환경 분야 제품이 사회적가치 창출에 크게 기여했습니다.
2023.06.07,SK이노베이션,SK이노베이션은 지난해 3조383억원의 사회적 가치를 창출했다고 7일 밝혔습니다.
2023.06.08,SK이노베이션,2차전지 기대감이 SK이노베이션에도 스며들고 있습니다.
2023.06.06,SK이노베이션,김 사장은 취임 후 국내외 사업장에서 구성원들과 소통 자리를 마련해왔는데 이날은 임직원 간담회와 함께 SK이노베이션의 플로깅 캠페인인 '산해진미' 봉사활동도 함께 진행됐습니다.
2023.06.06,SK이노베이션,SK이노베이션 자회사 SKIET는 미래 고성장 업종 전기차 배터리 핵심 소재인 분리막(LiBS) 생산업체입니다.
2023.06.03,SK이노베이션,"2일 코스피 시장에서 기관은 카카오, 한화솔루션, POSCO홀딩스, SK이노베이션을 집중 매수했습니다."
2023.06.02,SK이노베이션,그동안 '2차전지 랠리'에서 애먹었지만 최근 반등하고 있는 것입니다.
2023.06.01,SK이노베이션,"[데이터로 보는 증시]포스코퓨처엠·SK하이닉스, 기관·외국인 코스피 순매수..."
2023.06.03,SK이노베이션,"1000만 톤 이상 배출 기업(연결 기준) 8곳 중 2도 이내에 속한 기업은 현대제철(배출량 2849만 톤, 2도)과 SK이노베이션(1121만 톤, 1.5도) 두 곳이었습니다."
2023.06.08,SK이노베이션,SK이노베이션의 배터리 자회사 SK온이 5300억원 추가 투자 유치에 성공했습니다.
2023.06.01,SK이노베이션,"6월쯤 소형모듈원자로 민관합동 협의체 출범 SK이노베이션 ""SMR 미래신수종 역점사업"" SK이노베이션의 SMR(소형모듈원자로) 글로벌 사업에 청신호가 켜지고 있습니다."
2023.06.03,SK이노베이션,"지난 한 주(2023-05-29~2023-06-0) 코스피 시장에서 기관은 SK이노베이션, LG전자, 포스코퓨처엠을 집중 매수했습니다."
2023.06.01,SK이노베이션,'지오즈' 6개월간 환경보호 활동 20명 선발에 421명 몰려 치열 SK이노베이션의 석유화학부문 자회사 SK지오센트릭이 대학생들과 함께 환경 보호에 나섭니다.
2023.06.02,SK이노베이션,"SK디스커버리 뒤를 이어 SK이노베이션, SK아이이테크놀로지 종목도 각각 2.64%, 2.26%씩 상승해 상승률 상위권에 이름을 올렸습니다."
