날짜,기업이름,요약내용
2023.06.08,SK텔레콤,SK텔레콤은 인공지능(AI)·정보통신기술(ICT) 기반 제품과 서비스를 바탕으로 지난해 2조4927억원의 사회적 가치(SV)를 창출했다고 8일 밝혔습니다.
2023.06.01,SK텔레콤,미래에셋증권(006800)이 토큰증권(ST) 생태계 조성을 선도하기 위해 SK텔레콤에 이어 하나금융그룹과 손을 맞잡았습니다.
2023.06.02,SK텔레콤,SK텔레콤이 만 34세 이하 가입자를 대상으로 한 '0 청년 요금제'를 출시했습니다.
2023.06.01,SK텔레콤,SK텔레콤이 만 34세 이하 고객을 대상으로 한 '0 청년 요금제'를 출시하고 청년 세대를 위한 전방위적 혜택 제공에 나선다고 1일 밝혔습니다.
2023.06.06,SK텔레콤,"여기에 SK텔레콤 통신사 할인, SK텔레콤 멤버십 우주패스 할인 등을 적용하면 최저 1800원에 구입할 수 있다는 설명입니다."
2023.06.06,SK텔레콤,"전날 진행된 TF회의에는 네이버와 카카오, SK텔레콤과 KT 등 국내 초거대 인공지능 기업과 과학기술정보통신부, 행정안전부, 한국지능정보사회진흥원 관계자들이 참석했습니다."
2023.06.07,SK텔레콤,SK텔레콤은 7일 부산 벡스코에서 진행되는 국제해양방위산업전(이하 MADEX 2023)에 참가한다고 밝혔습니다.
2023.06.06,SK텔레콤,SK텔레콤이 삼성전자와 합작한 '갤럭시퀀텀4'는 오는 8일 61만8200원에 출시되는 보급형 스마트폰입니다.
2023.06.07,SK텔레콤,SK텔레콤의 국내 이동전화 시장 점유율이 하락하고 있습니다.
2023.06.02,SK텔레콤,"SK텔레콤은 2일 경기도 화성시, 전남 순천시와 '온실가스 배출권거래제 외부 사업' 추진을 위한 협약을 체결했다고 밝혔습니다."
2023.06.16,SK텔레콤,국내 무선통신 시장 1위 기업 SK텔레콤(SKT)이 과거와 달리 알뜰폰 영업에 적극 나서면서 그 배경에 관심이 쏠립니다.
2023.06.07,SK텔레콤,SK텔레콤의 '이프랜드'는 지난 2월 8일 30만7810명이었던 하루 사용자 수가 올해 5월 7일 18만4216명까지 떨어졌습니다.
2023.06.01,SK텔레콤,"SK텔레콤이 만 34세 이하 고객 대상 '0 청년 요금제'를 선보이고, 청년 세대를 위한 혜택을 전방위적으로 강화합니다."
2023.06.16,SK텔레콤,SK텔레콤(017670) 다이렉트 요금제에는 10여개 결합상품 이용이 가능합니다.
2023.07.09,SK텔레콤,코스피 주간 외국인 순매도 1위 'SK텔레콤'
2023.06.07,SK텔레콤,"SKT, 해군 전투력 높이는 통신기술 선봬 SK텔레콤(017670)은 이달 7일부터 9일까지 3일간 부산 벡스코에서 진행되는 국제해양방위산업전(이하 MADEX 2023)에 참가한다고 7일 밝혔습니다."
2023.06.06,SK텔레콤,LG유플러스에 이어 SK텔레콤(SKT)과 KT도 알뜰폰 사업자에게 5G 중간요금제를 도매제공할 것으로 전망됩니다.
2023.06.05,SK텔레콤,SK텔레콤이 호국보훈의 달을 맞아 국군 장병 특화 혜택을 제공한다고 합니다.
