날짜,기업이름,요약내용
2023.06.01,SK하이닉스,SK하이닉스와 경기 용인에 구축되는 반도체 클러스터에 함께할 1차 협력사 명단이 확정됐습니다.
2023.06.01,SK하이닉스,"국내 증시를 견인했던 삼성전자와 SK하이닉스의 주가 방향이 엇갈린 가운데, 국내 증시는 혼조세로 장을 마감했습니다."
2023.06.01,SK하이닉스,특히 SK하이닉스의 경우 24.8%가 감소하며 상위권 기업들 중 가장 큰 폭의 감소세를 보였습니다.
2023.06.01,SK하이닉스,이날 시상식에는 이노베이션(Innovation)상과 시너지(Synergy)상을 받은 SK하이닉스 임직원들이 참석해 수상의 영예를 안았습니다.
2023.06.01,SK하이닉스,국내 반도체주 양대 산맥으로 꼽히는 삼성전자와 SK하이닉스가 미국 반도체주 약세의 영향으로 나란히 하락세를 보이고 있습니다.
2023.06.01,SK하이닉스,SK하이닉스가 기회와 위기를 동시에 맞이하고 있습니다.
2023.06.01,SK하이닉스,SK하이닉스가 고대역폭메모리(HBM) 선두자리를 지키기 위해 TSMC와 손잡을 것으로 보입니다.
2023.06.01,SK하이닉스,SK하이닉스가 잇달아 중앙처리장치(CPU) 강자 인텔과 차세대 메모리 DDR5 호환성 검증을 진행하고 있습니다.
2023.06.01,SK하이닉스,"SK하이닉스 등 반도체 기업, 기관과 손잡고 산학 연계 교육과정을 마련합니다."
2023.06.02,SK하이닉스,메모리반도체 시장 침체가 유독 SK하이닉스에 더 가혹한 것처럼 보이는 시장조사기관 분석이 나왔습니다.
2023.06.02,SK하이닉스,이투데이=김예슬 기자 | 삼성전자와 SK하이닉스가 장 초반 상승세입니다.
2023.06.02,SK하이닉스,"중국이 미국의 마이크론 반도체 판매를 금지한 가운데, 삼성전자와 SK하이닉스에 대한 미국의 압박이 높아지고 있습니다."
2023.06.02,SK하이닉스,외국인투자가 올해 초부터 SK하이닉스 주식을 1조5795억원어치 사들였습니다.
2023.06.02,SK하이닉스,SK하이닉스는 10나노급 5세대(1b) 기술이 적용된 서버용 DDR5가 '인텔 데이터센터 메모리 인증 프로그램'(The Intel Data Center Certified memory program) 검증 절차에 돌입했다고 1일 밝혔습니다.
2023.06.02,SK하이닉스,"SK하이닉스, 차세대 ‘HBM’으로 내년엔 '흑자'"
2023.06.02,SK하이닉스,외국인은 올해 들어 삼성전자와 SK하이닉스로 대표되는 반도체 대형주를 집중적으로 매수하면서 지수를 끌어올렸습니다.
2023.06.02,SK하이닉스,'반도체 한파'가 이어지면서 삼성전자(005930)와 SK하이닉스(000660)의 올해 2분기 실적 전망도 어둡습니다.
2023.06.03,SK하이닉스,"자료=트렌드포스, 그래픽=정승아 디자이너 SK하이닉스가 지난 1분기 글로벌 D램 시장에서 점유율 순위 3위로 하락한 데 이어 낸드플래시 부문에서도 2위와 격차가 벌어진 것으로 나타났습니다."
2023.06.02,SK하이닉스,SK하이닉스가 낸드플래시 톱5 중 가장 큰 낙폭을 보였습니다.
2023.06.02,SK하이닉스,"삼성전자, SK하이닉스 등 실적 악화에 시달렸던 주요 반도체기업의 실적이 바닥을 찍고 하반기에는 되살아날 수 있다는 것이 증권업계의 주된 시각입니다."
2023.06.03,SK하이닉스,"엔비디아의 GPU 칩을 직접 제작하진 않지만, 삼성전자나 SK하이닉스 등 국내 기업들의 메모리 칩 역시 GPU 구동에 따라 수요가 증가합니다."
2023.06.03,SK하이닉스,"지난 한 주(2023-05-29~2023-06-0) 코스피 시장에서 외국인은 삼성전자, SK하이닉스, 코스모신소재, 포스코퓨처엠을 집중 매수했습니다."
2023.06.03,SK하이닉스,"이들은 한국 산업통상자원부의 장영진 1차관을 거론하면서 ""하지만 장 차관에 따르면 한국 정부는 삼성전자나 SK하이닉스가 마이크론의 시장 점유율을 채우지 않도록 하는 데 개입하지 않을 것""이라고 주장했습니다."
2023.06.03,SK하이닉스,"삼성전자, SK하이닉스와 함께 전 세계 D램(DRAM) 시장을 삼분하는 미국 마이크론이 사실상 중국 시장에서 퇴출됩니다."
2023.06.03,SK하이닉스,"두 위원장은 서한에서 한국 산업통상자원부의 장영진 1차관을 거론하면서 ""하지만 장 차관에 따르면 한국 정부는 삼성전자나 SK하이닉스가 마이크론의 시장 점유율을 채우는 것을 막기 위해 개입하지 않을 것""이라고 주장했습니다."
2023.06.03,SK하이닉스,"반도체 섹터 담당 애널리스트에게 듣는 엔비디아발 훈풍에도 메모리 반도체 수익률 저조한 이유, 삼성전자와 SK하이닉스 주가 수익률 전망 등 다양한 정보를 한경닷컴 독자들에게 전달했습니다."
2023.06.04,SK하이닉스,코스피 주간 기관 순매도 1위 'SK하이닉스'
2023.06.03,SK하이닉스,SK하이닉스 최대 수혜 전망 엔비디아가 올해 호실적을 예고하면서 한국 반도체 기업과의 시너지 효과도 기대됩니다.
2023.06.03,SK하이닉스,삼성전자와 SK하이닉스 등 반도체를 중점적으로 담고 있습니다.
2023.06.03,SK하이닉스,삼성전자(1억3536만원)와 SK하이닉스(1억3384만원)도 임직원 평균 연봉 '1억 클럽'에 나란히 이름을 올렸습니다.
2023.06.04,SK하이닉스,1분기 낸드플래시 점유율 15.3%로 하락…4위 WD에 위협받아 솔리다임과 불협화음 논란 vs 감산 결정에 따른 결과란 해석도 낸드플래시 강자로 군림해왔던 SK하이닉스의 위상이 흔들리고 있습니다.
2023.06.04,SK하이닉스,"특히 삼성전자와 에스케이(SK)하이닉스가 마이크론의 판매 공백을 메우는 것에 미국이 반대 입장을 밝혔다는 <파이낸셜 타임스> 보도에 대해 장영진 산업통상자원부 1차관이 지난달 22일 기자간담회에서 ""정부가 이래라저래라 할 수 있는 사항은 아니고 기업이 판단할 문제""라고 밝힌 것도 문제삼았습니다."
2023.06.04,SK하이닉스,"대표 국민주로 꼽히는 삼성전자, SK하이닉스 주주들이 환호성을 지르고 있습니다."
2023.06.05,SK하이닉스,신한투자증권은 6월 5일 SK하이닉스에 대해 AI용 서버에 들어가는 DDR5 효과로 인해 긍정적인 전망치가 나오고 있다며 투자의견 '매수'를 유지하고 목표주가는 기존 11만원에서 13만5000원으로 상향 조정했습니다.
2023.06.05,SK하이닉스,"SK하이닉스가 청주 사업장에 10층 규모의 복합 사무동을 건설하고, 신설 중인 M15X 팹을 포함한 신규 인력 증가에 대비합니다."
2023.06.04,SK하이닉스,GPU에는 고사양 메모리가 다수 쓰이는데 이 중 상당 물량을 삼성전자와 SK하이닉스가 공급하고 있는 것으로 알려졌습니다.
2023.06.05,SK하이닉스,"소비자용 SSD '비틀 X31' 국내 출시…""안정적 발열 관리"" 53g 초경량·초소형 크기…이달 중 미국·유럽 등에서 출시 SK하이닉스가 최근 일반 소비자용 포터블 솔리드 스테이트 드라이브(SSD) 제품인 '비틀(Beetle) X31'(이하 X31)을 출시했다고 5일 밝혔습니다."
2023.06.05,SK하이닉스,신한투자증권은 5일 SK하이닉스가 올 하반기와 내년 업황 반등 구간에서 가파를 이익 증가가 기대된다며 목표주가를 종전 11만원에서 13만5천원으로 상향 조정했습니다.
2023.06.05,SK하이닉스,SK하이닉스의 첫 번째 소비자용 포터블(Portable) 솔리드 스테이트 드라이브(SSD) 신제품인 '비틀(Beetle) X31'이 시장에서 소비자 호응을 얻고 있습니다.
2023.06.05,SK하이닉스,대표기업인 삼성전자와 SK하이닉스의 주가 전망에도 미세하지만 차이가 있다고 합니다.
2023.06.04,SK하이닉스,SK하이닉스도 전일과 같은 11만300원에 마감하며 '11만 닉스'에 안착했습니다.
2023.06.06,SK하이닉스,사진=뉴시스 SK하이닉스 청주사업장의 낸드 공급 거점 강화를 위한 이천 낸드사업부의 청주 이동 가능성이 나옵니다.
2023.06.05,SK하이닉스,"SK하이닉스 도입 셀프디자인 임원이 직원 업적급 결정 가능 노조 ""임금 감소 우려"" 소송 사측은 1심 이어 2심도 승소 재판부 ""불리한 변경 아니다"" SK하이닉스가 '셀프디자인'의 부담을 덜게 됐습니다."
2023.06.06,SK하이닉스,"현재 SK㈜, SK텔레콤, SK하이닉스, SKC, SK실트론, SK머티리얼즈, SK브로드밴드, SK아이테크놀로지 등 총 8개 계열사가 참여한 상태입니다."
2023.06.05,SK하이닉스,"‘11만닉스’ 된 SK하이닉스, 교환사채 2000만주 증시에 언제 풀릴까"
2023.06.05,SK하이닉스,"SK하이닉스, 일반 소비자용 외장형 SSD '비틀(Beetle) X31' 출시 SK하이닉스가 일반 소비자용 포터블(Portable) SSD(Solid State Drive) 제품 '비틀(Beetle) X31'(이하 X31)을 국내 시장에 공개했다고 5일 밝혔습니다."
2023.06.06,SK하이닉스,신한투자증권이 SK하이닉스에 대해 투자 의견 매수와 목표 주가 직전 11만원에서 13만5000원으로 상향 조정했습니다.
2023.06.05,SK하이닉스,신한투자증권은 5일 SK하이닉스에 대해 2분기에는 DDR5 효과를 첫 확인했다고 전했습니다.
2023.06.06,SK하이닉스,미국 정부 차원의 금전적 지원이 마이크론에 집중되면서 삼성전자와 SK하이닉스가 핵심 사업인 메모리반도체에서 경쟁에 불리한 상황을 맞게 됐다는 분석도 나옵니다.
2023.06.06,SK하이닉스,삼성전자와 SK하이닉스 주가가 상승세를 이어가고 있지만 이들 종목을 바라보는 애널리스트와 기관은 엇갈린 행보를 나타내고 있습니다.
2023.06.06,SK하이닉스,"개인은 삼성전자, SK하이닉스 등 반도체주를 팔고 포스코홀딩스를 비롯한 2차전지주를 꾸준히 담고 있습니다."
2023.06.07,SK하이닉스,경기도 이천에 있는 SK 하이닉스 기숙사입니다.
2023.06.07,SK하이닉스,삼성전자와 SK하이닉스가 장초반 하락하고 있습니다.
2023.06.07,SK하이닉스,미래에셋증권은 7일 반도체 업황이 이달 들어서 개선 양상을 보이기 시작했다며 삼성전자와 SK하이닉스 비중 확대를 추천했습니다.
2023.06.07,SK하이닉스,SK하이닉스가 내놓은 일반 소비자용 휴대용(Portable) 보조저장장치(SSD·솔리드스테이트드라이브)가 출시되자 마자 완판됐습니다.
2023.06.07,SK하이닉스,"7일 코스피 시장에서 기관은 삼성전자, SK하이닉스, 삼성SDI를 집중 매수했습니다."
2023.06.07,SK하이닉스,사진=뉴시스 일부 시장 조사기관이 내년에 반도체 업종이 V자 반등을 보일 수 있다고 밝혀 최근 부진의 늪에 빠진 SK하이닉스가 혹한기를 탈출할 수 있을지 주목됩니다.
2023.06.07,SK하이닉스,SK하이닉스는 지난해부터 올해까지 지속 중인 글로벌 반도체 산업의 불황 여파로 재무상태에 직접적인 여파를 맞고 있습니다.
2023.06.07,SK하이닉스,"최근 한달간 반도체 상장기업 브랜드평판을 빅데이터로 분석한 결과, 1위 삼성전자 2위 SK하이닉스 3위 한미반도체 순으로 나타났습니다."
2023.06.07,SK하이닉스,컨슈머타임스=전은정 기자 | 엔비디아 주가가 반등하면서 삼성전자와 SK하이닉스 주가가 동반 상승하고 있습니다.
2023.06.08,SK하이닉스,SK하이닉스가 세계 최고층 낸드인 238단 4D 낸드플래시 양산을 시작해 스마트폰을 생산하는 해외 고객사와 함께 제품 인증 과정을 진행하고 있다고 8일 밝혔습니다.
2023.06.08,SK하이닉스,SK하이닉스가 업계 최고층 238단 4D 낸드플래시 양산에 들어갔습니다.
2023.06.08,SK하이닉스,CNBC에 따르면 피치는 이날 내놓은 보고서를 통해 미국이 첨단 반도체 칩 장비에 대한 중국의 접근을 차단하려 하고 있기 때문에 삼성전자와 SK하이닉스가 위험에 직면해 있다고 분석했습니다.
2023.06.08,SK하이닉스,입구엔 주차 현황을 알 수 있는 상황판이 있습니다.
2023.06.08,SK하이닉스,SK하이닉스가 양산을 시작한 238단 4차원(D) 낸드플래시 제품을 스마트폰을 생산하는 해외 고객사와 함께 제품 인증 과정을 진행하고 있습니다.
2023.06.08,SK하이닉스,SK하이닉스(000660)가 238단 4D 낸드플래시 양산을 시작해 스마트폰을 생산하는 해외 고객사와 함께 제품 인증 과정을 진행하고 있다고 8일 밝혔습니다.
2023.06.08,SK하이닉스,모바일용부터 공급 예정…PC·데이터센터용으로 확대 SK하이닉스는 업계 최고층인 238단 4D 낸드플래시 양산을 시작해 스마트폰을 생산하는 해외 고객사와 함께 제품 인증 과정을 진행하고 있다고 8일 밝혔습니다.
2023.06.08,SK하이닉스,SK하이닉스가 238단 4D 낸드플래시 양산을 시작해 스마트폰을 생산하는 해외 고객사와 함께 제품 인증 과정을 진행하고 있다고 8일 밝혔습니다.
2023.06.08,SK하이닉스,신한투자증권은 8일 주성엔지니어링이 SK하이닉스와 동반해 실적과 주가가 움직일 수 있다며 목표주가 2만2천원과 투자의견 매수를 유지했습니다.
2023.06.09,SK하이닉스,SK하이닉스는 8일 산업 안전 사고를 예방하기 위해 서울 중구 동국대에서 이 대학 융합연구센터(CRC)와 '스마트 기술 공동 연구 협약(MOU)'을 체결했다고 9일 밝혔습니다.
2023.06.09,SK하이닉스,SK하이닉스가 동국대학교와 산업 안전사고 예방을 위해 나섰습니다.
2023.06.09,SK하이닉스,"SK하이닉스, 산업안전 지킬 스마트 기술 개발한다"
2023.06.09,SK하이닉스,SK하이닉스가 동국대학교 융합연구센터(CRC)와 산업 안전사고 예방을 위한 스마트 기술 공동 연구 협약(MOU)을 체결했다고 9일 밝혔습니다.
2023.06.09,SK하이닉스,SK하이닉스가 52주 신고가를 갈아치우며 '12만닉스'(SK하이닉스 주가 12만 원대를 뜻하는 은어)에 다가가고 있습니다.
2023.06.09,SK하이닉스,내년을 기점으로 SK하이닉스의 반동이 점쳐지고 있습니다.
2023.06.09,SK하이닉스,BNK투자증권은 SK하이닉스에 대해 메모리 반도체 수급이 개선되며 분기 매출이 성장세로 전환할 것이라고 9일 전망했습니다.
2023.06.09,SK하이닉스,BNK투자증권은 9일 SK하이닉스의 목표주가를 기존 12만8000원에서 14만원으로 높았습니다.
2023.06.10,SK하이닉스,"SK하이닉스, 안전도 스마트 기술로 지킨다"
2023.06.09,SK하이닉스,경기도 이천에 위치한 SK하이닉스 기숙사 내 여성전용주차장을 두고 젠더(성평등)갈등이 폭발했습니다.
2023.06.10,SK하이닉스,연합뉴스 SK하이닉스 이천캠퍼스 기숙사 주차장 통합 투표에서 논란이 발생해 관련 소식에 관심이 쏠립니다.
2023.06.10,SK하이닉스,실적 상승은 '글쎄' 글로벌 경기 침체로 인한 수요 부진으로 삼성전자와 SK하이닉스 등 국내 주요 반도체 업체들의 실적이 악화했습니다.
2023.06.10,SK하이닉스,"삼성전자와 SK하이닉스가 주력하는 메모리 반도체가 정보를 저장하는 용도로 사용된다면, 비메모리 반도체인 중앙처리장치(CPU)나 GPU는 사람의 뇌와 같은 연산 기능을 담당합니다."
2023.06.10,SK하이닉스,"4위 SOL 한국형 글로벌반도체액티브 ETF는 엔비디아, ASML, 삼성전자, SK하이닉스 등 국내외 핵심 반도체 기업에 고루 투자하고 있습니다."
2023.06.10,SK하이닉스,"외국인은 9일 삼성전자(005930)(1779억 원), SK하이닉스(000660)(1160억 원) 등 반도체주와 두산에너빌리티(034020)(993억 원), LG에너지솔루션(930억 원) 등 2차 전지 종목을 모두 담았습니다."
2023.06.10,SK하이닉스,"애플 '비전 프로' 공급망에 삼성전기와 LG디스플레이, LG이노텍, SK하이닉스 등이 포함된 만큼, 새 시장 확대에 따른 수혜를 입을 것으로 기대하고 있습니다."
2023.06.10,SK하이닉스,"K-반도체, 정면돌파 글로벌 경기 침체로 인한 수요 부진으로 삼성전자와 SK하이닉스 등 국내 주요 반도체 업체들의 실적이 악화했습니다."
2023.06.10,SK하이닉스,마이크론은 삼성전자와 SK하이닉스에 이어 세계 3위 메모리 기업입니다.
2023.06.11,SK하이닉스,대학·기업 간 협업 통해 스마트 안전관리 위한 기술 고도화 4족 보행 로봇·위험 예지 시스템 등 산업안전 기술 향상 목표 SK하이닉스가 산업현장에서의 안전을 지키기 위해 노력의 일환으로 동국대학교 융합연구센터(CRC)와 함께 '스마트 기술 공동 연구'에 나섭니다.
2023.06.11,SK하이닉스,"기관은 한주간 반도체 투톱인 삼성전자와 SK하이닉스를 각각 3161억원, 1530억원 사들이면서 주간 순매수 1위와 2위를 기록했습니다."
2023.06.10,SK하이닉스,"한국 증시는 SK하이닉스와 삼성전자가 외인과 기관의 매수 유입으로 강세를 보였고, LG에너지솔루션과 삼성SDI, LG화학을 포함해 현대차와 기아 등 시종 상위주 대부분이 강세를 보여주며 추세적 상승에 대한 기대를 높았습니다."
2023.06.11,SK하이닉스,"SK하이닉스 주가는 더 오를수 있는가?'라는 질문에 구글 바드는 ""SK하이닉스 주가는 향후 반도체 시장의 상황과 실적에 따라 상승할 가능성도 있다""며 ""다만, 반도체 시장의 하락세가 장기화될 가능성도 있어 투자에 신중을 기해야 한다""고 답변했습니다."
2023.06.11,SK하이닉스,"코스피200 톱10 지수엔 삼성전자와 LG에너지솔루션, SK하이닉스, 삼성바이오로직스, LG화학, 삼성SDI, 현대차, 기아, 포스코홀딩스, 네이버 등 '국민주'들이 포진해 있습니다."
2023.06.11,SK하이닉스,삼성전자와 SK하이닉스 등 국내 반도체 업체는 메모리 반도체 분야에서 강점을 나타내고 있지만 다른 글로벌 기업이 이를 바짝 추격하고 있습니다.
2023.06.12,SK하이닉스,검찰이 삼성전자 반도체 공장 설계자료를 빼돌려 중국에 복제공장을 지으려고 한 혐의로 전직 삼성전자·SK하이닉스 임원 최모씨(65) 등을 재판에 넘겼습니다.
2023.06.11,SK하이닉스,[지디 브리핑] 망 이용대가 글로벌 논의 위해 전문가 모인다
2023.06.12,SK하이닉스,SK하이닉스가 지난해 7조5845억원의 사회적 가치(SV)를 창출했다고 12일 밝혔습니다.
2023.06.12,SK하이닉스,"경기도가 반도체 인재 양성을 위해 경기대·명지대·한국공학대 등 도내 대학, 삼성전자, SK하이닉스 등 관련 기업과 산·학·연·관 협력체계를 구축했습니다."
2023.06.12,SK하이닉스,SK하이닉스는 지난해 7조 5845억 원의 사회적 가치를 창출했다고 12일 밝혔습니다.
2023.06.11,SK하이닉스,우리 반도체 소재·부품·장비 기업은 삼성전자와 SK하이닉스라는 전방기업과 협력하며 성장해 왔습니다.
2023.06.12,SK하이닉스,지난해 SK하이닉스가 창출한 사회적 가치가 7조5845억원에 달하는 것으로 나타났습니다.
2023.06.12,SK하이닉스,윤선희 배영경 기자 = 증권사들이 반도체 시장이 올해 하반기 수요 증가로 업황이 개선될 것이라며 SK하이닉스 목표주가를 잇달아 올려잡았습니다.
2023.06.12,SK하이닉스,"SK하이닉스가 지난해 7조5845억원의 사회적 가치(SV, Social Value)를 창출했다고 12일 발표했습니다."
2023.06.12,SK하이닉스,"메모리 반도체 만년 2등은 옛말… SK하이닉스, D램·낸드 신기술 경쟁서 선두..."
2023.06.12,SK하이닉스,"SK하이닉스가 지난해 7조5,845억 원의 사회적 가치(SV, Social Value)를 창출했다고 밝혔습니다."
2023.06.12,SK하이닉스,"SK하이닉스가 작년 7조 5,845억 원의 사회적 가치(SV, Social Value)를 창출한 것으로 나타났습니다."
2023.06.13,SK하이닉스,SK하이닉스(000660)가 미국 증시에서 반도체주가 강세를 보인 영향을 받으며 52주 신고가를 경신했습니다.
2023.06.13,SK하이닉스,SK하이닉스가 연일 52주 신고가를 갈아치우고 있습니다.
2023.06.13,SK하이닉스,주요 2개국(G2) 간의 '패권 경쟁' 차원에서 벌어지고 있는 '반도체 전쟁'에 휘말려 큰 피해를 입을까 전전긍긍하던 삼성전자와 SK하이닉스가 한숨 돌린 분위기입니다.
