날짜,기업이름,요약내용
2023.06.02,고려아연,"울산 5개 구·군은 지역을 대표하는 상징물을 앞세웠고, 현대중공업·S-OIL·SK·고려아연 등 기업체들은 '제련소'나 '거대한 잠수함' '그린시티 울산' '구도일 캐릭터' 등으로 꾸민 퍼레이드카를 선보였습니다."
2023.06.09,고려아연,"패널토론에서는 바바라 와이젤 공동대표이사가 고려아연, 포스코경영연구원 등 우리 기업과의 패널 토론을 통해 미국, 유럽시장 진출을 위한 ESG 경영 강화 방안과 친환경정책 이행을 위한 대응전략을 논의하고, 기업들이 추진하고 있는 구체적인 전략과 사례를 소개하는 시간을 가졌습니다."
2023.06.08,고려아연,아연 생산 규모에서 세계 1위인 고려아연은 일찌감치 배터리에 눈독을 들였습니다.
2023.06.08,고려아연,"KT&G, 고려아연 등이 신규 반기 배당 가능성을 열어놓고 있습니다."
2023.06.01,고려아연,울산 대표 축제들의 상징물로 꾸민 고려아연의 퍼레이드카를 시작으로 기업들의 특색 있는 행렬이 이어졌습니다.
2023.06.12,고려아연,같은 시간 비철금속 관련주인 한창산업 삼보산업 조일알미늄 남선알미늄 크리스탈신소재 대창 조선내화 세토피아 EG 남선알미늄우 이구산업 대호에일엘 동국알앤에스 고려아연 세아메카닉스 아이티센 포스코스틸리온 아이티센 황금에스티 등도 상승중입니다.
2023.06.08,고려아연,"온산의 경우, 고려아연 계열사 켐코와 '한국전구체주식회사'를 설립해 내년 2분기 양산을 목표로 건설 중이며, 새만금은 화유코발트와 함께 연산 10만톤 규모의 공장을 짓습니다."
2023.06.19,고려아연,"다만 포스코, 고려아연 등 경쟁사들도 배터리 소재 사업에 뛰어들고 있는 만큼 LS그룹이 사업 확대를 위해 대규모 자금을 마련할 필요성이 커지고 있는 것으로 분석됩니다."
2023.06.11,고려아연,"중구 지역사회보장협의체가 주최·주관하고, 고려아연㈜와 울산사회복지공동모금회가 지원한 이번 행사에는 지역 주민 및 사회복지기관 관계자 등 2,000여명이 함께했습니다."
2023.06.15,고려아연,Korea H2 Business Summit 2차총회에 참석한 고려아연 최윤범 회장 최윤범 고려아연 회장이 정부를 비롯한 주요 시장 참여자들에게 그린수소 활용 확대를 촉구하고 나섰습니다.
2023.06.08,고려아연,"8일 코스피 시장에서 기관은 SK하이닉스, 삼성전자, 메리츠금융지주, 고려아연을 집중 매수했습니다."
2023.06.01,고려아연,"순매도 상위 종목은 LG화학(507억원)과 KB금융(412억원), LG에너지솔루션(366억원), POSCO홀딩스(215억원), KT(156억원), 금양(127억원), KT&G(100억원), 신한지주(94억원), 엔씨소프트(92억원), 한화솔루션(92억원), 고려아연(84억원) 등입니다."
2023.06.12,고려아연,"이러한 때 민선 8기 김두겸 울산시장은 '민생기업 지원, 기업하기 좋은도시, 조성'을 위해 발벗고 나서 현대자동차 전기자동차 공장과 S-OIL의 9조원대 투자,고려아연을 비롯한 기업들의 15조원 이상의 투자유치를 성공했습니다."
2023.06.19,고려아연,고려아연은 호주에 있는 자회사 SMC제련소에서 현지 태양광 발전소와 연계해 연간 140t의 그린수소를 생산하는 프로젝트를 진행 중입니다.
2023.06.15,고려아연,통영적십자병원은 통영적십자병원은(원장 조영철) ㈜고려아연(사회복지공동모금회 지원사업)으로 지난 14일 용남면사무소에서 의료봉사 및 만성질환교육을 가졌습니다.
2023.06.07,고려아연,[화촉]송승우·황현자씨의 아들 하늘군과 김용복(고려아연 엔지니어링본부장)...
2023.06.16,고려아연,"포스코퓨처엠, 고려아연, 테이팩스 등은 상승했습니다."
2023.06.04,고려아연,"[주간 투자자 동향] 외국인, 반도체 투톱 1조3000억 싹쓸이"
2023.06.01,고려아연,"2차전지 소재·부품 관련주, '웃음' 조일알미늄· 에코프로비엠·코스모신소재..."
2023.06.19,고려아연,그 중에서도 최윤범 고려아연 회장이 가장 세련된 관점을 보여줬다는 인상을 받았습니다.
2023.06.12,고려아연,"올해에는 최태원 회장, 정의선 회장, 최정우 회장을 비롯해 조현상 효성 부회장, 정기선 HD현대 사장, 이규호 코오롱모빌리티그룹 사장, 최윤범 고려아연 회장 등이 참석하는 것으로 알려졌습니다."
2023.06.05,고려아연,비철금속 기업 고려아연과 영풍도 제련소를 운영하며 얻은 금속 회수 기술을 이용해 폐배터리 사업에 뛰어들었습니다.
2023.06.02,고려아연,"종근당바이오는 투자재원 확보를 위해 모기업인 종근당홀딩스에 자사주를 처분하기도 했고, 한화는 고려아연과 자사주를 맞교환하기도 했습니다."
2023.06.05,고려아연,【화촉】김용복 고려아연 엔지니어링본부장 딸 결혼
2023.06.14,고려아연,"17개 회원사는 SK그룹, 현대차그룹, 포스코그룹, 롯데그룹, 한화그룹, GS그룹, HD현대, 두산그룹, 효성그룹, 코오롱그룹, E1, 고려아연, 이수그룹, 일진그룹, 삼성물산 건설부문, 세아그룹, LG화학 등이 포함됐습니다."
2023.06.11,고려아연,"김 의원은 ""온산선은 지난 1979년 온산국가산업단지 내 기업체들의 화물운송을 위해 준공됐다""며 ""남창역에서 온산역까지 8.6km 길이의 철도 노선으로 현재는 비철금속업체인 ㈜영풍에서 고려아연으로 물품을 수송하고 있고, 또 정유업체인 S-OIL에서 이 노선을 사용 중""이라고 설명했습니다."
2023.06.08,고려아연,[화촉]송승우·황현자씨의 아들 하늘군과 김용복(고려아연 엔지니어링본부장)...
2023.06.13,고려아연,"가장 대표적인 예가 SK그룹, LG화학, 포스코그룹, 고려아연, 에코프로 등을 꼽을 수 있습니다."
2023.06.01,고려아연,소달구지·수소차·미래선박까지…울산공업축제 '팡파르'
2023.06.11,고려아연,"이번 행사는 지역 주민 및 사회복지기관 관계자 등 2천여명이 함께한 가운데, 중구 지역사회보장협의체가 주최·주관하고, 고려아연과 울산사회복지공동모금회가 지원했습니다."
2023.06.14,고려아연,"고려아연은 비철금속 제조와 판매, 비철금속 수출입업, 광산개발업을 하는 회사입니다."
2023.06.02,고려아연,[개장시황] 2차전지·반도체·금융·바이오헬스케어 상승
2023.06.14,고려아연,고려아연(대표 최윤범·박기덕)이 명문화하고 있던 최고경영자 승계절차를 지난해 삭제한 것으로 뒤늦게 알려지면서 그 배경에 관심이 쏠리고 있습니다.
2023.06.05,고려아연,"해당 10개 종목은 포스코(POSCO)홀딩스(4966억원), LG화학(2702억원), LG생활건강(1657억원), 엔씨소프트(1615억원), 두산에너빌리티(1378억원), 아모레퍼시픽(1010억원), 한화솔루션(1008억원), 이마트(782억원), KT&G(781억원), 고려아연(749억원) 순입니다."
2023.06.08,고려아연,"""주가지수 편출입 종목 주의…수급·주가 변동"""
2023.06.04,고려아연,"지난달 개인투자자 순매수 상위 10개 종목은 POSCO홀딩스(4966억원), LG화학(2702억원), LG생활건강(1657억원), 엔씨소프트(1615억원), 두산에너빌리티(1378억원), 아모레퍼시픽(1010억원), 한화솔루션(1008억원), 이마트(782억원), KT&G(781억원), 고려아연(749억원) 순이었습니다."
