날짜,기업이름,요약내용
2023.06.01,기아,안경무 강주희 기자 = 현대자동차와 기아가 지난달 국내외에서 판매 호조를 보이며 실적 개선을 이어갔습니다.
2023.06.01,기아,휴식기 동안 담금질을 마친 디플러스 기아가 '타도 티젠한'을 선언했습니다.
2023.06.01,기아,노사 합의 사항이라 갈등 예상 기아가 오토랜드 광명 2공장을 전기차 공장으로 전환하면서 생산 근로자 수를 줄이는 방안을 검토하고 있습니다.
2023.06.01,기아,반도체 수급난이 완연하게 회복되면서 국내 완성차 5사(현대차·기아·KG모빌리티·르노코리아·한국GM)가 5월 대부분 판매량 확대를 이뤄냈습니다.
2023.06.01,기아,기아의 가파른 판매 상승세가 2분기를 정점으로 주춤할 것이라는 전망이 나옵니다.
2023.06.01,기아,"이날 현대차, 기아, 한국GM, KG모빌리티, 르노코리아 등 5개 사는 지난달 실적을 각각 발표했습니다."
2023.06.01,기아,고일환 특파원 = 미국 도로교통안전국(NHTSA)이 안전 문제로 대규모 리콜을 촉구한 에어백이 장착된 기아의 자동차가 최소 400만 대에 달하는 것으로 나타났습니다.
2023.06.01,기아,현대차와 기아가 5월에도 전년 대비 두자릿수 판매 신장세를 이어갔습니다.
2023.06.01,기아,현대차·기아가 지난달 전세계 시장에 61만여대를 판매했다고 밝혔습니다.
2023.06.01,기아,사진=임형택 기자 스프링 시즌을 아쉬운 성적으로 마무리한 디플러스 기아(DK)가 여름엔 반전을 써낼 수 있습니까?
2023.06.02,기아,"현대차 18%, 기아 23% ↑…친환경차 선전 지속 임미나 특파원 = 지난달 현대차와 기아가 미국 시장에서 두 자릿수의 신차 판매 증가율을 기록하며 성장세를 이어갔습니다."
2023.06.02,기아,지난달 현대차·기아의 국내 전기차 판매가 감소한 것으로 나타났습니다.
2023.06.02,기아,"현대차와 기아를 상대로 소송을 제기한 것에 대해 ""살이 찔 경우 달고 맛있는 케이크를 만든 회사를 비난할 것이냐""라는 언론의 비판이 나왔습니다."
2023.06.02,기아,기아(대표이사 최준영 송호성)가 오는 5일 기업설명회(IR)를 개최합니다.
2023.06.02,기아,현지 리스 가격 정책 수정 첫 달 만에 성과 기아가 미국 인플레이션 감축법(IRA) 대응을 위해 새롭게 마련한 현지 리스 가격 정책이 시행 첫 달부터 눈에 띄는 성과를 냈습니다.
2023.06.02,기아,롯데마트는 기아대책과 잠실 한강공원에서 환경 정화 활동 '2023 리어스(RE:EARTH) 푸르깅'을 했다고 2일 밝혔습니다.
2023.06.02,기아,idxno=506713 미국고속도로교통안전국(NHTSA)이 충돌 시 폭발로 이어질 수 있는 에어백 인플레이터가 장착된 400만 대의 기아 차량에 대해 리콜을 촉구했습니다.
2023.06.02,기아,미국 시장에서 신차 14만7천여 대가 팔려 지난해보다 판매량이 21% 증가했다고 밝혔습니다.
2023.06.02,기아,철공소 수준에서 시작한 현대차‧기아가 전기차 시대엔 유럽 명차들의 경쟁자가 됐습니다.
2023.06.03,기아,현대차와 기아가 지난해 미국에서 잇따른 차량 도난사건으로 집단 소송을 당한 것과 관련 미국 내에서도 납득하기 어렵다는 비판이 나왔습니다.
2023.06.03,기아,디플러스 기아가 '배틀그라운드 모바일 프로 시리즈(PMPS)' 셋째 날 매 경기 꾸준한 득점을 바탕으로 선두에 올라섰습니다.
2023.06.03,기아,현대자동차와 기아가 내수 시장에서 닮은 듯 다른 행보를 이어가고 있습니다.
2023.06.03,기아,"이어 기아 레이, 현대 스타렉스, 르노코리아 SM6, 현대 쏘나타 순으로 조회 수가 높았습니다."
2023.06.03,기아,현대차·기아가 자동차 판매 61년만에 지난달 판매 대수 1억5천만대를 넘은 것으로 나타났습니다.
2023.06.03,기아,PHASE1 3일 차 2매치의 주인이 됐습니다.
2023.06.03,기아,"기아./사진=기아 기아는 2023년 5월 글로벌 시장에서 국내 5만 275대, 해외 21만 7,772대, 특수 546대 등 전년 동기 대비 14.4% 증가한 26만 8,593대(도매 판매 기준)를 판매했다고 6월 1일 밝혔습니다."
2023.06.03,기아,디플러스 기아(DK)가 더블제트를 제치고 선두에 올라섰습니다.
2023.06.03,기아,KIA는 3일 부산 사직구장에서 열린 2023 신한은행 SOL KBO리그 롯데 자이언츠와의 원정 경기에서 5-6으로 패배했습니다.
2023.06.03,기아,2위인 덕산 이스포츠와 13점 차이 디플러스 기아가 2매치 치킨으로 누적 포인트 161점을 달성하며 1위 굳히기에 돌입했습니다.
2023.06.04,기아,"군벌 간의 장기 분쟁으로 구호해야 하는 인구 비중이 확대된 가운데, 농업 붕괴는 곡물을 비롯한 농산물 가격 급등을 넘어 결국엔 기아를 확대할 것이라는 관측이 지배적입니다."
2023.06.04,기아,최근 글로벌 자동차 시장에서 괄목할만한 성과를 이어가고 있는 기아의 5월 자동차 판매량이 전년 대비 14.4% 증가했습니다.
2023.06.04,기아,KIA타이거즈가 정전 70주년 호국보훈의 달을 맞아 오는 6~8일 광주-기아챔피언스필드에서 열리는 SSG랜더스와 홈 주중 3연전을 호국보훈 시리즈로 치른다고 밝혔습니다.
2023.06.04,기아,"현대차·기아, 5월 11만8955대 판매 르노·GM·KG모빌리티 내수서 고전 5월 국내 신차 판매량이 13만300대로 지난해 5월보다 8.8% 증가했습니다."
2023.06.04,기아,연합뉴스프로야구 기아 타이거즈가 6회 6점을 몰아치는 타선의 집중력을 발휘하며 주말 롯데전 연패에서 벗어났습니다.
2023.06.04,기아,디플러스 기아와 투제트가 페이즈 스테이지1 마지막 날 한치 앞을 내다보기 힘든 접전을 벌이고 있습니다.
2023.06.04,기아,기아가 유럽 현지 시장에 맞춘 EV9을 유럽 시장에 내놓고 전기차 시장 선도 브랜드 도약을 노립니다.
2023.06.04,기아,기아가 국내 500대 기업 중 고속성장과 글로벌경쟁력 부문에서 유독 눈에 띄는 성과를 거뒀습니다.
2023.06.05,기아,"기아가 BMW, 벤틀리, 패러데이 퓨처 출신의 존 버킹햄 디자이너를 기아넥스트디자인외장실장으로 영입했습니다."
2023.06.05,기아,기아가 BMW·벤틀리 출신의 자동차 외장 디자이너 존 버킹햄을 영입했습니다.
2023.06.05,기아,"기아는 미래 디자인 경쟁력 확보에 기여할 BMW, 벤틀리, 패러데이 퓨처 출신의 존 버킹햄 디자이너를 기아넥스트디자인외장실장으로 영입했다고 5일 밝혔습니다."
2023.06.05,기아,현대자동차에 이어 기아 노동조합이 올해 임단협에서 역대급 임금 인상을 요구하고 나섰습니다.
2023.06.05,기아,'기아넥스트디자인외장 실장'으로 기아는 미래 디자인 경쟁력 확보를 위해 존 버킹햄(42) 디자이너를 '기아넥스트디자인외장 실장'으로 영입했다고 5일 밝혔습니다.
2023.06.05,기아,기아(000270)가 대학생을 대상으로 한 대표 서포터즈 '기아 크리에이터'를 모집한다고 5일 밝혔습니다.
2023.06.05,기아,사진=기아 제공 기아는 대학생 서포터즈 프로그램 기아 크리에이터 6기를 모집한다고 5일 밝혔습니다.
2023.06.05,기아,기아는 국내 대학생들과 함께 미래 모빌리티에 대한 아이디어를 예술적 영감으로 구현하는 대학생 서포터즈 프로그램 '기아 크리에이터 6기'를 모집한다고 5일 밝혔습니다.
2023.06.05,기아,지원신청 6월5일부터 7월3일까지 기아는 대학생 서포터즈 프로그램 '기아 크리에이터 6기'를 모집한다고 5일 밝혔습니다.
2023.06.05,기아,기아가 대학생을 대상으로 한 대표 서포터즈 '기아 크리에이터'를 모집합니다.
2023.06.06,기아,존 먼스 플레이노 시장과 오승준 SK시그넷 미국법인장이 각각 단일포트에서 최대 400kW까지 출력이 가능한 SK시그넷의 초급속 충전기 'V2'를 포드 F150과 기아 EV6에 꼽았습니다.
