날짜,기업이름,요약내용
2023.06.01,기업은행,"IBK기업은행, 프리미엄카드 신상품 'K-22' 출시 사진 = IBK기업은행 IBK기업은행(은행장 김성태)은 'IBK카드 브랜드'를 적용한 프리미엄카드 'K-22'를 출시했다고 1일 밝혔습니다."
2023.06.08,기업은행,IBK기업은행이 중소기업의 재도약 지원을 위해 올해부터 향후 3년간 총 4조원 규모의 중소기업 M&A 금융지원을 시행한다고 8일 밝혔습니다.
2023.06.05,기업은행,IBK기업은행은 대한지방행정공제회와 국내주식 수탁은행 계약을 체결했다고 5일 밝혔습니다.
2023.06.03,기업은행,"한국은 김미연(흥국생명)이 8점으로 최다 득점을 올렸고 박정아(페퍼저축은행)가 7점, 이다현(현대건설)과 표승주(IBK기업은행)가 각각 5점을 기록했습니다."
2023.06.09,기업은행,기업은행이 연 6.5%로 가장 높았습니다.
2023.06.04,기업은행,이는 국내 인터넷은행 최초이며 IBK기업은행 이후 27년만의 은행주 상장입니다.
2023.06.09,기업은행,사진=IBK기업은행 제공 IBK기업은행(은행장 김성태)이 중소기업의 재도약 지원을 위해 올해부터 향후 3년간 총 4조원 규모의 중소기업 M&A 금융지원을 시행한다고 밝혔습니다.
2023.06.09,기업은행,크라카타우포스코와 동반성장 대출 프로그램 협약 인니 철강산업 생태계 강화 지원 IBK기업은행이 포스코 인도네시아 합작사와 손잡고 현지 중소기업에 대한 자금 지원을 확대합니다.
2023.06.07,기업은행,"IBK기업은행, 서류점검 업무에 자동화 기술 본격 도입 IBK기업은행은 지난 5일 서류기반 업무를 자동화하기 위한 '서류인식기술'을 성공적으로 검증했다고 7일 밝혔습니다."
2023.06.02,기업은행,사진=IBK기업은행 IBK기업은행은 SK E&S와 협업해 금융권 최초로 총 3000억원 규모의 'RE100 펀드' 금융주선을 완료했다고 2일 밝혔습니다.
2023.06.02,기업은행,IBK기업은행은 SK E&S와 협업해 총 3000억원 규모의 'RE100(사용 전력 100%를 재생에너지로 전환) 펀드' 주선을 완료했다고 2일 밝혔습니다.
2023.06.07,기업은행,IBK기업은행은 서류기반 업무를 자동화하기 위한 '서류인식기술'을 성공적으로 검증했다고 7일 밝혔습니다.
2023.06.08,기업은행,3년간 4조 원 규모…성장이 정체된 중기 성장·혁신 촉진 IBK기업은행이 중소기업의 재도약 지원을 위해 올해부터 향후 3년간 총 4조 원 규모의 중소기업 M&A 금융지원을 시행한다고 8일 밝혔습니다.
2023.06.05,기업은행,5일 금융감독원 금융상품통합비교공시에 따르면 은행 24개월 정기예금 가운데 세전 이자율 기준 기본 금리가 가장 높은 상품은 기업은행 '1석7조통장(정기예금)'으로 연 3.65%의 금리를 제공합니다.
2023.06.01,기업은행,"IBK기업은행, 사탕수수 현수막 사용으로 탄소중립 실천 IBK기업은행은 탄소중립 실천을 위해 전국 영업점에서 사용되는 현수막을 식물성 성분의 친환경 소재로 제작합니다."
2023.06.01,기업은행,기업은행은 'IBK카드 브랜드'를 적용한 프리미엄카드 'K-22'를 출시했습니다.
2023.06.08,기업은행,이투데이=이재영 기자 | IBK기업은행은 SK텔레콤과 제휴를 통해 '갤럭시 퀀텀4' 구매 고객을 대상으로 '더블안심혜택 이벤트'를 실시한다고 8일 밝혔습니다.
2023.06.03,기업은행,[브랜드평판] 금융 마이데이터 2023년 6월 빅데이터 분석결과...1위 신한카드...
