날짜,기업이름,요약내용
2023.06.01,대한항공,"사진=대한항공 대한항공은 오스트레일리아 항공·여행 전문 매체 '에어라인레이팅'(AirlineRatings)이 선정하는 '2023 에어라인 엑설런스 어워즈'(Airline Excellence Awards)에서 '올해의 최고 화물 항공사', '북(北) 아시아 베스트 항공사' 상을 수상했다고 1일 밝혔습니다."
2023.06.05,대한항공,5일 항공업계에 따르면 대형 항공사들과 저비용항공사들이 항공 폐기물로 업사이클링 제품을 선보이거나 소비자와 함께하는 ESG 경영을 실천하고 있습니다.
2023.06.05,대한항공,유럽계 항공사는 대한항공(003490)과 아시아나항공(020560)의 기업결합 과정에서 나올 슬롯이나 운수권을 노리고 운항편을 늘렸다는 분석도 나옵니다.
2023.06.02,대한항공,"아시아나항공과 제주항공이 각각 4대로 가장 많고, 대한항공과 진에어가 각각 2대씩, 티웨이항공은 1대 늘릴 예정입니다."
2023.06.05,대한항공,"2021년 올해의 항공사상, 2022년 올해의 화물항공사상에 이은 3년 연속 5일 대한항공에 따르면 조원태 한진그룹 회장이 지난 2일(현지시각) 튀르키예 이스탄불 그랜드 제바히르 호텔에서 열린 에어 트랜스포트 월드(ATW) 시상식에서 '2023년 올해의 항공업계 리더십' 상을 수상했습니다."
2023.06.03,대한항공,"대한항공, 아시아나항공 등 국내항공사 일반직 공채의 경우 4년제 이상의 학사가 요구되며, 공항서비스 인턴은 2년제 학사로 취업이 가능합니다."
2023.06.05,대한항공,코로나19 끝나 여행 수요 급증하는데 대한항공 안전성 B등급 추락
2023.06.09,대한항공,대한항공과 아시아나항공 등 대형항공사(FSC)의 실적 회복은 상대적으로 더딘 상황이지만 하반기 점차 개선될 것으로 관측됩니다.
2023.06.06,대한항공,"이어 ""우크라군이 드네프르강(우크라이나어 드니프로강)을 따라 해상 지뢰를 투하하거나 대규모로 미사일 공격을 가하려고 한다""며 ""강 수위 상승을 초래할 수 있는 댐에 대한 항공타격이 기록되고 있다""고 우려했습니다."
2023.06.08,대한항공,"강희석 이마트 대표는 8일 공개한 온·오프라인 통합 멤버십 신세계유니버스클럽 효용성을 강조하며 KT, 대한항공 등 기업과 논의를 통해 외부 제휴처도 늘려갈 것이라고 밝혔습니다."
2023.06.07,대한항공,조원태 한진그룹 회장이 대한항공과 아시아나항공의 합병의지를 드러낸 가운데 난기류가 계속되는 분위기입니다.
2023.06.08,대한항공,미국과 유럽연합(EU)이 대한항공과 아시아나항공의 합병을 심사 중인 가운데 대한항공이 조인트벤처(JV)를 맺고 있는 델타항공의 비중 확대가 새로운 복병으로 떠오를 수 있다는 우려가 제기되고 있습니다.
2023.06.09,대한항공,"조원태 한진그룹 회장이 최근 한 외신과의 인터뷰에서 ""대한항공과 아시아나항공 합병에 100%를 걸겠다""고 강조한 가운데, 일각에서 '합병 반대' 목소리도 나오는 것으로 알려져 관심이 쏠립니다."
2023.06.02,대한항공,"반면 대한항공 관계자는 ""비상구 판매 중단 이슈에 관련해 결정된 바가 없다""고 선을 그었습니다."
2023.06.04,대한항공,"리포트] 대한항공과 아시아나 항공이 계획대로 통합되면, 대한항공 계열 저비용 항공사인 진에어와 아시아나 계열 에어부산과 에어서울도 자연스럽게 통합됩니다."
