날짜,기업이름,요약내용
2023.06.02,두산에너빌리티,직접 찾아가 만나기도 어려운 귀한 손님이 방문한 곳은 경남 창원의 두산에너빌리티 공장입니다.
2023.06.13,두산에너빌리티,"지난 5월 15일 경남 두산에너빌리티 창원본사 단조공장에서 열린 '신한울 3ㆍ4 주기기 제작 착수식'에 참석한 정부와 지자체, 발주처, 두산에너빌리티, 협력사 관계자들이 기념 촬영하고 있습니다."
2023.06.02,두산에너빌리티,"[내 종목을 부탁해] 복잡한 계좌 해결 방법은? <셀트리온헬스케어>,<에스비비..."
2023.06.02,두산에너빌리티,두산퓨얼셀 주가흐름(그래픽=네이버금융 캡처) 두산퓨얼셀과 두산에너빌리티가 상승세입니다.
2023.06.07,두산에너빌리티,"(252억원), 두산에너빌리티(204억원), OCI홀딩스(164억원), 바이오니아(137억원), HMM(126억원), 삼성물산(122억원), 루닛(121억원), 아프리카TV(105억원), 씨에스윈드(100억원), JYP엔터(89억원), 이오플로우(83억원), SK(64억원) 등입니다."
2023.06.13,두산에너빌리티,이날 가장 큰 상승률을 보인 종목은 두산에너빌리티입니다.
2023.06.09,두산에너빌리티,두산에너빌리티(5.92%)는 8거래일 연속 강세를 보였습니다.
2023.06.12,두산에너빌리티,"코스피, 약세 전환해 2,620대 마감…외인 포스코퓨처엠·에코프로·루트로닉·..."
2023.06.07,두산에너빌리티,"창원시가 창원산업진흥원, 두산에너빌리티와 손잡고 전국 최초로 추진하고 있는 수소액화플랜트 구축사업 준공이 임박했습니다."
2023.06.04,두산에너빌리티,"제조혁신 클러스터 조성 도는 국내 유일의 원전 주기기 제작업체인 두산에너빌리티를 비롯한 협력사의 40% 가량이 소재한 원자력 제조산업의 중심지임에도 불구하고 산업육성 컨트롤타워, 산·학·연 클러스터(협력지구), 연구기관 부족 등 원자력산업 육성 기반은 미흡한 실정입니다."
2023.06.09,두산에너빌리티,가장 크게 상승 중인 종목은 두산에너빌리티입니다.
2023.06.11,두산에너빌리티,"현대바이오, 공매도 거래량 '11만건 가량 증가'... 주가 '용솟음'"
2023.06.07,두산에너빌리티,"김기중 대표는 티맥스소프트, 두산중공업(현 두산에너빌리티), SAP 등에서 12년간 시스템 소프트웨어, 임베디드 시스템 소프트웨어 등 다양한 기술을 개발하고 상용화한 경험이 있으며, 김하나 COO는 한글과컴퓨터, 한컴그룹 등에서 마케팅과 브랜딩, 신사업 기획을 했습니다."
2023.06.09,두산에너빌리티,"코스피, 1년여 만에 2,640대 회복…외인 삼성전자·SK하이닉스·두산에너빌리..."
2023.06.11,두산에너빌리티,"2021년 10월에는 중부발전, 두산중공업(현 두산에너빌리티)과 함께 국내 최초로 수소 100% 연소를 통한 수소 전소(全燒) 터빈 발전 상용화를 목표로 '중형급 수소전소터빈사업 협력을 위한 다자간 업무협약'을 체결하기도 했습니다."
2023.06.05,두산에너빌리티,"두산에너빌리티가 올해 1월과 2월, 3월 석 달에 걸쳐 150억원과 180억원, 240억원을 사모채로, 지주사인 두산도 지난달 24일 500억원을 사모채로 발행했습니다."
2023.06.10,두산에너빌리티,"지난 9일 장마감을 기준으로 삼성전자, SK하이닉스, 두산에너빌리티 등의 종목이 외국인 순매수 거래가 활발했던 것으로 집계됐습니다."
2023.06.09,두산에너빌리티,"창원시와 두산에너빌리티가 어제(8일) 소형모듈 원자로, SMR산업 육성 협약을 맺었습니다."
