날짜,기업이름,요약내용
2023.06.09,메리츠금융지주,메리츠화재는 지난달 기존 상품 대비 보험료를 최대 28% 낮춘 펫보험 신상품을 선보였습니다.
2023.06.07,메리츠금융지주,자회사 설립에 캐릭터 판매까지…삼성화재 펫보험 시장 집중공략
2023.06.07,메리츠금융지주,"우리금융지주 14만2317건, 대우조선해양 13만7976건, HMM 12만6716건, 포스코퓨처엠 12만714건 순입니다."
2023.06.09,메리츠금융지주,"위로 NH농협금융지주, 농협중앙회로 지배구조가 이어집니다."
2023.06.08,메리츠금융지주,"이어 삼성중공업(81만6560주), 포스코인터내셔널(70만89주), HMM(67만4259주), SK하이닉스(46만6334주), 메리츠금융지주(41만9011주), 삼성전자(37만3335주), HD현대인프라코어(31만5446주), 카카오뱅크(25만5736주), 카카오(22만323주) 순으로 뒤를 이었습니다."
2023.06.09,메리츠금융지주,"삼성SDI(282억원)를 비롯해 POSCO홀딩스(245억원), 메리츠금융지주(245억원), 금양(219억원), 코스모화학(132억원), SK텔레콤(129억원), OCI(124억 원), 포스코인터내셔널(120억원), NAVER(119억원), KT&G(98억원), 한화솔루션(96억원), KT(93억원), 이수페타시스(85억원) 등은 팔았습니다."
2023.06.08,메리츠금융지주,앞서 메리츠화재도 지난해 메리츠금융지주의 완전 자회사로 편입된 후 지난 2월 상장 폐지됐습니다.
2023.06.03,메리츠금융지주,[코스피 200] SKC 8.57% 상승…지수 구성종목 중 상승률 1위
2023.06.01,메리츠금융지주,"KB손보 출범 8년…김기환 사장, ‘빅4’ 명예회복 과제"
2023.06.15,메리츠금융지주,[개장시황] 2차전지·반도체·엔터테인먼트·증권 강세...'전일 급락 에코프로...
2023.06.02,메리츠금융지주,"코스피, 외국인·기관 '대량 매수'에 1년만에 2,600 돌파…외인 삼성전자·LG..."
2023.06.05,메리츠금융지주,교보생명은 내년 하반기 금융지주사 체제 출범에 앞서 관련 준비에 한창입니다.
