날짜,기업이름,요약내용
2023.06.01,삼성SDI,삼성SDI는 5월 31일 기흥사업장에서 최윤호 대표이사 사장과 주요 임원 20명이 참석한 가운데 ESG(환경·사회·지배구조) 워크숍을 열었다고 1일 밝혔습니다.
2023.06.01,삼성SDI,최윤호 삼성SDI 대표이사 사장이 지난 31일 경기 용인시 기흥사업장에서 열린 ESG(환경·사회·지배구조) 워크숍에서 임원들과 ESG 경영 강화 방안에 대해 논의하고 있습니다.
2023.06.01,삼성SDI,삼성SDI는 최윤호 대표이사 사장과 주요 임원 20여 명이 참석한 가운데 ESG(환경·사회·지배구조) 워크숍을 개최했다고 1일 밝혔습니다.
2023.06.01,삼성SDI,"아울러 최주선 삼성디스플레이 사장과 전영현 삼성SDI 부회장, 최윤호 삼성SDI 사장, 장덕현 삼성전기 사장, 황성우 삼성SDS 사장, 존림 삼성바이오로직스 사장 등도 함께했습니다."
2023.06.01,삼성SDI,삼성SDI가 ESG(환경·사회·지배구조) 경영을 통한 미래 경쟁력 강화에 나섭니다.
2023.06.01,삼성SDI,중소기업중앙회(중기중앙회)와 삼성(삼성전자·삼성전기·삼성SDI)은 1일부터 중소벤처기업부(중기부)가 주관하는 2023년 '대·중소 상생형 스마트공장 구축 지원사업' 도입기업 신청·접수를 받는다고 밝혔습니다.
2023.06.01,삼성SDI,삼성SDI가 이미경 사외이사의 제안에 따라 최윤호 대표이사 사장과 주요 임원 20여 명이 참석한 가운데 ESG 워크숍을 개최했다고 1일 밝혔습니다.
2023.06.01,삼성SDI,"김기남 삼성전자 종합기술원장(회장), 경계현 반도체(DS)부문 사장을 비롯해 이정배·박용인·최시영·남석우·송재혁·박학규 삼성전자 사장 등이 참석했습니다."
2023.06.01,삼성SDI,이날 호암상 시상식에는삼성 사장단 50여명이 총출동했습니다.
2023.06.01,삼성SDI,이 회장은 오후 8시30분 행사가 끝난 직후 조용히 행사장을 떠났습니다.
