날짜,기업이름,요약내용
2023.06.01,삼성물산,"시사위크=김필주 기자 ◇ 삼성물산 건설부문, '래미안 라그란데' 분양 준비 위한 웰컴라운지 개관 삼성물산 건설부문(이하 '삼성물산')이 서울 동대문구에 들어설 대규모 단지인 '래미안 라그란데' 분양을 앞두고 사전 홍보관인 웰컴라운지를 개관한다고 1일 밝혔습니다."
2023.06.01,삼성물산,호암상 시상식 2년 연속 찾은 이재용… 삼성 ‘인재제일’ 철학 계승 의지
2023.06.01,삼성물산,'이재용 회장·사장단' 총출동한 '호암상 시상식'은 삼성에 어떤 의미?
2023.06.01,삼성물산,안전 관리 부문에서 국내 1위로 평가되는 삼성물산 관리 사업지에서 '관리의 삼성ㆍ안전의 삼성'이라는 평가가 무색한 사고가 발생해 도시정비업계의 눈과 귀가 쏠립니다.
2023.06.01,삼성물산,삼성물산이 쌍용건설과 지하철 9호선 919공구 건설 공사비 관련 분쟁에서 2심에서도 일부 승소했습니다.
2023.06.01,삼성물산,"삼성물산 건설부문, '래미안 라그란데' 홍보관 개관 '래미안 라그란데' 조감도ㅣ삼성물산 건설부문 제공 삼성물산 건설부문의 '래미안' 브랜드의 대단지인 '래미안 라그란데'가 올 하반기 분양을 앞두고 사전 홍보관인 웰컴라운지를 개관할 예정입니다."
2023.06.01,삼성물산,삼성전자는 1996년만 해도 매출 15조8745억원으로 삼성물산과 현대종합상사에 이어 3위였습니다.
2023.06.01,삼성물산,조직적인 '노동조합 파괴'로 논란이 됐던 삼성물산이 복수노조 시대를 맞이했습니다.
2023.06.01,삼성물산,반면 삼성물산은 전일 대비 1.54%(1700원)하락해 10만8900원으로 장을 마감했습니다.
2023.06.02,삼성물산,삼성물산패션부문(부문장 이준서)은 올 여름 트렌드에 어울리는 감각적인 리조트 룩을 제안합니다.
2023.06.02,삼성물산,삼성디스플레이 신사옥 공사 붕괴 사고로 노동자 3명 부상 반포1-3주구에선 수입 마감재 업체 선정 관련 결탁 의혹도 '관리·안전의 삼성'으로 평가되는 삼성물산 건설부문이 최근 건설 현장에서 발생한 '붕괴 사고'와 재건축 현장에서의 '공사비 부풀리기' 등으로 이중고를 겪고 있습니다.
2023.06.02,삼성물산,삼성전자의 매출은 1996년 15조8745억원으로 삼성물산과 현대종합상사에 이어 3위에 머물렀습니다.
2023.06.02,삼성물산,"한편, 삼성물산 종목은 -1.54%를 기록해 삼성그룹 계열사 중 가장 부진한 흐름을 나타냈습니다."
2023.06.02,삼성물산,세보엠이씨는 삼성물산과 아산 기계설비공사 계약을 체결했다고 2일 공시했습니다.
2023.06.03,삼성물산,건설사 '지배구조 우등생' 여전히 삼성물산…집중투표제 '0곳' 여전
2023.06.03,삼성물산,포윈 ESS '스택750' 美 자빌에 위탁생산 생산량 늘리고 안정적 공급망 구축 '기대' 삼성물산이 투자한 미국 '포윈(Powin)'이 제조 솔루션 공급업체와 손을 잡습니다.
2023.06.02,삼성물산,"삼성물산도 지난달 12일 닥터다이어리, 엠디스퀘어, 휴레이포지티브 등 디지털 헬스케어 기업과 업무협약을 체결했습니다."
2023.06.02,삼성물산,"김기남 삼성전자 종합기술원장(회장), 경계현 반도체(DS)부문 사장을 비롯해 이정배·박용인·최시영·남석우·송재혁·박학규 삼성전자 사장 등이 참석했습니다."
2023.06.02,삼성물산,2022년 시공능력평가액 상위 10개 건설사를 대상으로 소비자고발센터(www.goso.co.kr)에 제기된 지난해 소비자 민원을 분석한 결과 삼성물산이 민원 관리가 가장 우수한 기업으로 나타났습니다.
2023.06.02,삼성물산,"또 최주선 삼성디스플레이 사장, 최윤호 삼성SDI 사장, 장덕현 삼성전기 사장, 황성우 삼성SDS 사장, 고정석 삼성물산 사장, 존 림 삼성바이오로직스 사장, 고한승 삼성바이오에피스 사장, 남궁범 에스원 사장, 최영무 삼성사회공헌총괄 사장 등 주요 계열사 사장단이 자리를 지켰습니다."
2023.06.03,삼성물산,홈플러스는 1997년 9월 삼성물산에서 홈플러스 1호점인 대구점을 열었습니다.
2023.06.03,삼성물산,삼성물산 건설부문 브랜드인 래미안 대단지로 시장의 관심이 높은 동대문구 이문동 '래미안 라그란데'도 오는 10일 사전홍보관을 홍보하고 본격적인 분양 준비에 나섭니다.
