날짜,기업이름,요약내용
2023.06.01,삼성바이오로직스,삼성바이오로직스(대표이사 존림)가 세계 최대 바이오제약 전시회 '2023 바이오 인터내셔널 컨벤션(BIO International Convention)'에 참가한다고 30일 밝혔습니다.
2023.06.01,삼성바이오로직스,발표에 이어 진행된 토론에서 참석자들은 바이오를 제2의 반도체로 성장동력화하려면 규제 해소와 대규모 투자가 필요하다고 했습니다.
2023.06.01,삼성바이오로직스,삼성바이오로직스(207940)는 생산 시설 면에서 세계 1위 수준입니다.
2023.06.01,삼성바이오로직스,제약 바이오 업계 1위인 삼성바이오로직스가 요즘 의약품 관련 데이터 조작 파문으로 시끄럽습니다.
2023.06.01,삼성바이오로직스,"발표에 이어 진행된 토론에는 삼성바이오로직스·롯데바이오로직스 등 기업 관계자, 생명공학연구소·한국과학기술원(KAIST) 등 유관기관, 유정복 인천시장·김영환 충북지사 등도 함께 참여했습니다."
2023.06.01,삼성바이오로직스,삼성바이오로직스는 핵심지표 15개 중 13개를 지키며 90%에 가까운 준수율을 보였지만 종근당과 JW홀딩스는 절반도 채 지키지 않았습니다.
2023.06.01,삼성바이오로직스,호암상 시상식 2년 연속 찾은 이재용… 삼성 ‘인재제일’ 철학 계승 의지
2023.06.01,삼성바이오로직스,삼성바이오로직스 임직원 자녀들이 엄마아빠와 함께 실험실 가운입기 체험을 하고 있다.<삼성바이오로직스> 국내 제약·바이오 업계 최초 연 매출 3조원을 돌파해 새 역사를 쓴 삼성바이오로직스가 ESG 경영에서도 글로벌 수준으로 도약하고 있습니다.
2023.06.01,삼성바이오로직스,"아울러 최주선 삼성디스플레이 사장과 전영현 삼성SDI 부회장, 최윤호 삼성SDI 사장, 장덕현 삼성전기 사장, 황성우 삼성SDS 사장, 존림 삼성바이오로직스 사장 등도 함께했습니다."
2023.06.01,삼성바이오로직스,"상표권을 소유하지 않은 계열사로는 호텔신라와 에스원, 삼성바이오로직스, 삼성메디슨, 삼성웰스토리 등이 대표적입니다."
2023.06.02,삼성바이오로직스,이번 바이오 USA에서는 글로벌 빅파마들은 물론 삼성바이오로직스를 포함한 국내 대표 제약·바이오 업체들 또한 총출동할 예정입니다.
2023.06.02,삼성바이오로직스,삼성바이오로직스가 고객사가 위탁한 의약품을 생산하는 과정에서 데이터 완전성을 지키지 못한 것으로 나타났습니다.
2023.06.02,삼성바이오로직스,"삼성바이오로직스 0.51% 상승, 삼성SDI가 1.39% 하락했습니다."
2023.06.02,삼성바이오로직스,2023년 6월 첫째주 제약·바이오업계기상도는 SK바이오사이언스·삼성바이오로직스·셀트리온·유한양행·HK이노엔·한미약품·GC녹십자·올릭스의 '맑음'과 대원제약의 '비온뒤갬'으로 기록됐습니다.
2023.06.02,삼성바이오로직스,그는 브리스톨마이어스스큅(BMS)에서 바이오의약품 품질 관리 등을 맡다 삼성전자 신사업추진단에 합류해 위탁개발생산 기업인 삼성바이오로직스 출범에 참여했습니다.
2023.06.02,삼성바이오로직스,이는 지난해 매출 규모가 비슷한 바이오 기업인 삼성바이오로직스와 셀트리온의 이사회 구성원들이 정기주총 참석 여부를 투명하게 공개한 것과는 대조됩니다.
2023.06.02,삼성바이오로직스,"호텔신라 뒤를 이어 삼성전기, 삼성바이오로직스 종목도 각각 0.68%, 0.51%씩 상승해 상승률 상위권에 이름을 올렸습니다."
2023.06.03,삼성바이오로직스,97개 기업 중 CJ제일제당·KB금융·NH투자증권·삼성바이오로직스 등 23개(23.7%) 기업은 온실가스 배출량을 1.5도 이내로 관리할 수 있는 그룹(A)에 포함됐습니다.
2023.06.02,삼성바이오로직스,"시가총액 상위 10개 종목은 삼성바이오로직스(-0.38%), 보합 마감한 SK하이닉스를 제외하고 상승 마감했습니다."
2023.06.02,삼성바이오로직스,"그 외에도 삼성전기(9.95%), 삼성바이오로직스(8.4%), 삼성물산(6.26%) 등 다른 삼성그룹 종목을 담고 있습니다."
2023.06.03,삼성바이오로직스,바이오 USA 출격 K제약바이오… '제2렉라자' 만들기 유한양행
2023.06.03,삼성바이오로직스,"11년 연속 단독 부스를 꾸미는 삼성바이오로직스는 세계 톱티어 CDMO 기업답게 국내 최대, 이번 행사에서는 두 번째로 큰 부스를 꾸렸습니다."
2023.06.03,삼성바이오로직스,[삼성그룹] 시가총액 8조8456억원 증가...삼성중공업 2.15% 상승 '주목'
2023.06.03,삼성바이오로직스,정부가 바이오 업종을 조세특례제한법상 국가전략기술에 포함시켰기 때문입니다.
