날짜,기업이름,요약내용
2023.06.01,삼성생명,[영상] ‘한국판 노벨상’이라 불리는 이 상…JY 애정 쏟는 이유는
2023.06.01,삼성생명,탁구명가 삼성생명이 남녀 코리아리그 최우수선수(MVP)로 조승민과 주천희를 각각 배출했습니다.
2023.06.01,삼성생명,이어 ▲5위 한국가스공사(←21년 13위) ▲6위 기아(←5위) ▲7위 S-Oil(←12위) ▲8위 SK하이닉스(←4위) ▲9위 삼성생명(←8위) ▲10위 현대모비스(←11위) 순으로 상장사 중 작년 매출이 상위 10위권에 진입한 것으로 나타났습니다.
2023.06.01,삼성생명,호암재단 남다른 애정 이재용...오너일가 중 나홀로 시상식 참석
2023.06.01,삼성생명,비시즌 훈련 3주차를 넘어서고 있는 삼성생명이 지난 시즌보다 더 높은 곳을 향한 목표를 분명히 하고 구슬땀을 흘리고 있습니다.
2023.06.01,삼성생명,"사장, 노태문 삼성전자 MX 사업부 사장 등을 비롯해 최주선 삼성디스플레이 사장, 최윤호 삼성SDI 사장, 장덕현 삼성전기(009150) 사장, 황성우 삼성SDS(018260) 사장, 존림 삼성바이오로직스(207940) 사장, 고한승 삼성바이오에피스 사장, 전영묵 삼성생명(032830) 사장 등 삼성 계열사 사장단까지 50여명이 참석했습니다."
2023.06.01,삼성생명,'아난티 부동산 거래 비리' 의혹으로 검찰 수사를 받고 있는 삼성생명이 안팎으로 흔들리고 있습니다.
2023.06.01,삼성생명,"한국 탁구대표팀은 2023 국제탁구연맹(ITTF) 세계선수권에서 여자 복식의 신유빈(대한항공)-전지희(미래에셋증권) 조가 은메달, 남자 복식의 장우진(미래에셋증권)-임종훈(한국거래소) 조가 은메달, 조대성-이상수(이상 삼성생명) 조가 동메달을 각각 목에 걸며 성공적으로 대회를 마쳤습니다."
2023.06.01,삼성생명,"삼성전자, 삼성물산, 삼성생명보험, 삼성화재해상보험, 삼성증권, 삼성전기, 삼성에스디아이, 삼성디스플레이, 삼성에스디에스, 삼성엔지니어링, 삼성라이온즈, 삼성중공업, 삼성카드 13곳이 상표권을 소유하지 않은 계열사로부터 사용료를 받는 구조입니다."
2023.06.01,삼성생명,"삼성생명 키아나 스미스, 강유림, 신한은행 김지영, 하나원큐 정예림, BNK 김시온, 국민은행 허예은 등 6명은 생애 첫 연봉 총액 1억 원을 돌파했습니다."
2023.06.02,삼성생명,한국 배드민턴 간판 안세영(삼성생명∙세계 2위)이 세계배드민턴연맹(BWF) 태국오픈 4강에 진출했습니다.
2023.06.02,삼성생명,탁구명가 삼성생명이 남녀 코리아리그 최우수선수(MVP)로 조승민과 주천희를 각각 배출했습니다.
