날짜,기업이름,요약내용
2023.06.13,삼성에스디에스,[삼성그룹] 시가총액 6조4510억원 감소...삼성중공업 0.93% 상승 '선방'
2023.08.18,삼성에스디에스,"코닉오토메이션 종목이 맥신 관련주로 알려지며 상한가를 기록, 넥스턴바이오, 트윔, 삼익THK, 스맥, 링크제니시스, 삼성에스디에스, 이삭엔지니어링 주가가 상승해 거래를 마쳤습니다."
2023.06.20,삼성에스디에스,[삼성그룹] 시가총액 4조9960억원 감소...삼성엔지니어링 1.63% 상승 '미소'
2023.08.18,삼성에스디에스,"코닉오토메이션 상한가를 선두로, 넥스턴바이오, 트윔, TPC, 삼익THK, 삼성에스디에스, 익삭엔지니어링, 휴림로봇 주가가 상승 거래되고 있습니다."
2023.06.06,삼성에스디에스,[삼성그룹] 시가총액 1조9910억원 감소...삼성중공업 4.37% 상승 '주목'
2023.06.11,삼성에스디에스,"그 외 삼성화재(17.22%)와 삼성전기(12.67%), 삼성카드(4.32%), 삼성에스디에스(4.14%) 등도 연초 대비 주가가 상승했습니다."
2023.08.23,삼성에스디에스,[기관 거래 특징주] 에코프로비엠·MDS테크·LS전선아시아 2차전지 '上' 방위...
2023.08.17,삼성에스디에스,17일 업계에 따르면 삼성SDS(삼성에스디에스)는 챗GPT 같은 생성형 AI(인공지능)를 SCP(삼성 클라우드 플랫폼) 위에서 구현할 수 있도록 준비 중입니다.
2023.06.01,삼성에스디에스,"[N2 모닝 경제 브리핑-6월 1일] 美 증시, 부채협상 앞두고 하락…엔비디아·A..."
2023.08.22,삼성에스디에스,"(41억원), 삼성에스디에스(37억원), 알테오젠(37억원), 효성첨단소재(35억원), 이오테크닉스(34억원), 삼성물산(32억원), 서진시스템(31억원), 한화솔루션(31억원) 등입니다."
2023.06.01,삼성에스디에스,"23만845건, 삼성에스디에스 21만6303건, 포스코퓨처엠 19만1157건, SK스퀘어 18만8415건, 아모레퍼시픽 17만9595건, 제일기획 17만6459건, 우리금융지주 17만5404건 순입니다."
2023.06.14,삼성에스디에스,[삼성그룹] 시가총액 4조7860억원 증가...삼성증권 1.5% 상승 '주목'
2023.08.21,삼성에스디에스,"순매도 상위종목은 넥스틸(391억원)와 셀트리온(176억원), 삼성전자(005930)(150억원), LX인터내셔널(104억원), HD현대인프라코어(74억원), 한국앤컴퍼니(65억원), 서연이화(57억원) 등입니다."
2023.06.03,삼성에스디에스,"미래에셋증권, 6월 첫째주 SK바이오팜 등 55종목 매수 추천"
2023.06.09,삼성에스디에스,[삼성그룹] 시가총액 1조900억원 감소...삼성화재 2.76% 상승 '주목'
