날짜,기업이름,요약내용
2023.06.04,삼성전기,"전기차 등 전장용 부품 시장은 시스템반도체는 물론 디스플레이, 삼성SDI, 삼성전기 등이 다각적으로 접근할 수 있는 산업입니다."
2023.06.03,삼성전기,"전기차 제조와 자율주행에 필요한 디스플레이, 카메라, 센서, 반도체 등 전기·전자 장비(전장)를 생산할 수 있는 가전 업계와 협력의 필요성이 대두됩니다."
2023.06.07,삼성전기,회사 측은 검사기 수요처로 삼성전기와 대덕전자 LG이노텍 등을 제시했습니다.
2023.06.12,삼성전기,[개장시황] 美빅테크 훈풍에 상승 출발
2023.06.06,삼성전기,SK이노베이션·한국전력·삼성전기 [주간 추천종목-하나증권]
2023.06.05,삼성전기,"하나증권은 SK이노베이션, 한국전력, 삼성전기를 6월 둘째 주(6월5일~6월9일) 주간추천종목으로 선정한다고 5일 밝혔습니다."
2023.06.05,삼성전기,"현대모비스(2.02%), 한온시스템(1.06%), 현대위아(1.64%) 등 자동차 부품주들도 동반 상승했습니다."
2023.06.04,삼성전기,"한편 여의도에서는 추천주로는 삼성전자, 한국전력, 삼성전기, POSCO홀딩스, SK이노베이션 등을 제시했는데 업황 개선 기대감과 실적 호전의 공통점을 갖고 있습니다."
2023.06.03,삼성전기,[하나證 주간추천주]SK이노베이션·한국전력·삼성전기
2023.06.03,삼성전기,[삼성그룹] 시가총액 8조8456억원 증가...삼성중공업 2.15% 상승 '주목'
2023.06.23,삼성전기,한편 1995년 일본 TORAY사의 소재.화학기술력과 삼성전기㈜의 전자부품기술력을 융합해 탄생한 스템코는 디스플레이 제품의 핵심부품인 COF(Chip On Film)와 같은 고정밀 직접회로부품을 설계‧생산하고 있습니다.
2023.06.12,삼성전기,[오후의 쟁점] 여전히 맑음 '엔터' / 앞으로 앞으로 '전기차 충전'
2023.06.09,삼성전기,"1974년생으로, SK그룹에서 젊은 최고경영자(CEO)로 꼽히는 추형욱 사장은 삼성전기 경영기획실을 거쳐 2006년 SK그룹에 합류했습니다."
2023.06.06,삼성전기,"기업지배구조 보고서를 의무공시한 삼성 9개 계열사 중 삼성전자, 삼성물산, 삼성전기는 지난해와 같은 87%의 준수율을 보였습니다."
2023.06.08,삼성전기,삼성전기 주가가 하락세를 보이고 있습니다.
2023.06.01,삼성전기,"삼성전기 카메라 모듈, 삼성디스플레이의 OLED가 현대차에 일부 적용되기 시작했고, 그 범위는 플래그십 차종 핵심 부품으로 확대됐습니다."
2023.07.02,삼성전기,솔루엠은 2015년 삼성전기에서 분사해 설립된 전자부품 전문 제조기업입니다.
2023.06.07,삼성전기,"수요처로는 삼성전기와 대덕전자 LG이노텍, 심텍 등과 일본의 이비덴(Ibiden), 신코전기(shinko입니다."
2023.06.08,삼성전기,"이사회 항목 가운데 '집중투표제 채택'은 한 곳도 준수하지 못했고 '이사회 의장과 대표이사 분리'도 삼성전자, 삼성전기, 삼성물산, 삼성바이로로직스, 삼성엔지니어링 5곳만 이행했습니다."
2023.06.01,삼성전기,"호암재단, '2023 삼성호암상 시상식' 개최"
2023.06.11,삼성전기,"실제로 이후 삼성전기의 카메라모듈, 삼성디스플레이의 유기발광다이오드(OLED)가 일부 현대차 모델에 적용됐습니다."
2023.06.02,삼성전기,"삼성전기, 필리핀서 5층규모 신규사옥 완공 삼성전기 필리핀 법인(SEMPHIL)이 5층 규모의 신규사옥을 완공하고 직원복지와 지속적인 성장에 대한 의지를 31일(현지시간) 공개행사에서 표명했습니다."
2023.06.01,삼성전기,"이재용 회장, 2년 연속 삼성호암상 시상식에…'말없이 입장'(종합)"
2023.06.01,삼성전기,호암재단 남다른 애정 이재용...오너일가 중 나홀로 시상식 참석
2023.06.06,삼성전기,"특히 탄소 다배출 업종인 전자업계의 참여가 눈에 띄는 가운데삼성전자, 삼성전기, 삼성SDI, SK하이닉스, LG이노텍 등이 RE100 가입사에이름을 올렸습니다."
2023.06.04,삼성전기,중국 최대 쇼핑축제인 '618 축제'를 앞두고 2·4분기 중화권 스마트폰업체들의 회복 가능성에 주목했습니다.
2023.06.06,삼성전기,톈진 삼성전기 공장 방문 사실조차 철저히 비밀에 부쳐졌습니다.
2023.06.05,삼성전기,"외인 순매수 상위 10개 종목은 삼성전자(2조5670억원), SK하이닉스(1조4717억원), 현대차(2144억원), LG전자(2086억원), 네이버(NAVER)(1787억원), 코스모신소재(1711억원), LG에너지솔루션(1516억원), 삼성SDI(1439억원), 기아(1358억원), 삼성전기(970억원) 순입니다."
2023.06.11,삼성전기,"현대차그룹은 현재 국내 배터리 3사 중 삼성의 전기차 배터리 업체인 삼성SDI를 제외한 LG에너지솔루션, SK온과 각각 배터리 합작법인의 설립을 추진하고 있습니다."
2023.06.08,삼성전기,"오현진 키움증권 연구원도 ""국내 기업 가운데 LG 이노텍, 삼성전기, LG디스플레이의 부품이 들어갈 예정이다""고 말했습니다."
2023.07.02,삼성전기,"흑자가 예상된다""며 ""자동차의 전장화, 전기차 비중 확대, 거래처 다변화로 전장부문은 기대 이상의 성장을 보일 것""이라고 덧붙었습니다."
2023.06.11,삼성전기,LG이노텍과 나무가는 글로벌 플랫폼 기업들과 증강현실용 3D 카메라를 개발 중입니다.
2023.06.02,삼성전기,1분기에 나란히 저조한 실적을 발표한 LG이노텍과 삼성전기도 하반기 반등 기대가 큽니다.
2023.06.12,삼성전기,"이는 삼성전자, 삼성전기, 삼성디스플레이 등 삼성그룹 전자 계열사의 평균 임금인상률인 4.1%보다 높은 수준입니다."
2023.06.12,삼성전기,대신증권은 12일 삼성전기가 2분기 예상을 웃도는 실적을 기록할 것으로 전망했습니다.
2023.07.02,삼성전기,다만 전자부품사들은 경기침체의 그늘에 있습니다.
2023.06.01,삼성전기,싸이토젠은 삼성전기 전략기획 고문 출신 전병희 대표가 설립한 정밀 의료 암 진단 기업입니다.
2023.06.09,삼성전기,"역대급 실적에 따라 삼성전자와 삼성디스플레이, 삼성전기 등 전자 계열사의 평균 임금 인상률 4.1% 보다는 높게 측정됐습니다."
2023.06.01,삼성전기,[가봤더니] 호암상 시상식 나 홀로 참석한 이재용 회장
2023.06.02,삼성전기,업체당 최대 1억 5000만 원 지원 중소기업중앙회(회장 김기문)와 삼성(삼성전자·삼성전기·삼성SDI)은 중소벤처기업부 주관 '2023년 대·중소 상생형 스마트공장 구축 지원사업' 도입기업 신청·접수를 받습니다.
