날짜,기업이름,요약내용
2023.06.01,삼성전자,인텔·엔비디아·퀄컴 등과 '라이즈' 프로젝트 운영 이사회 멤버 참여 삼성전자가 첨단 반도체 생태계 구축 및 확산을 위한 오픈소스 소프트웨어(SW) 개발 프로젝트에 참여합니다.
2023.06.01,삼성전자,"갤럭시S23 촬영 단편영화, 2억5000만뷰 돌파 삼성전자(005930)는 중국 상해 디즈니랜드와 파트너십을 맺고 갤럭시 S23 울트라로 촬영한 단편 영화 공개 후 열흘 만에 2억5000만뷰를 돌파했다고 1일 밝혔습니다."
2023.06.01,삼성전자,이재용 삼성전자 회장이 1일 오후 서울 중구 서울신라호텔에서 열린 '2023 삼성호암상 시상식'에 참석하고 있습니다.
2023.06.01,삼성전자,이영희 삼성전자 글로벌마케팅실장(사장)이 한국에서 갤럭시 언팩을 개최하는 것을 공식화하고 이유에 대해 언급했습니다.
2023.06.01,삼성전자,"삼성전자, SK하이닉스 등 대장주가 반등하면서 소부장도 수혜를 받을 것으로 기대되고 있습니다."
2023.06.01,삼성전자,"삼성전자(005930)는 지난해 별도 및 연결기준 매출이 각각 200조원, 300조원을 처음으로 돌파해 21년 연속 국내 매출 1위 기업 자리를 지켰습니다."
2023.06.01,삼성전자,삼성전자가 1일부터 내달 31일까지 대국민 TV 보상 페스티벌 '삼성 TV로 바꿔보상' 프로모션을 진행합니다.
2023.06.01,삼성전자,삼성전자가 다음 달 19일까지 업사이클링·재활용을 주제로 한 디자인 공모전 '리크리에이트 디자인 챌린지'를 한다고 1일 밝혔습니다.
2023.06.02,삼성전자,삼성전자가 소리를 잘 듣지 못하는 청각 장애인의 가전 제품 접근성 향상을 위해 청소기 사용법을 수어로 안내합니다.
2023.06.01,삼성전자,삼성전자가 미국 소비자들이 선호하는 브랜드 조사에서 7위를 기록했습니다.
2023.06.02,삼성전자,기업 가운데선 삼성전자가 이번 프로젝트에 함께 합니다.
2023.06.02,삼성전자,삼성전자(005930)는 문화체육관광부와 협업해 청소기 사용법을 수어로 안내한다고 2일 밝혔습니다.
2023.06.02,삼성전자,삼성전자·SK하이닉스 등 주요 반도체 업체들의 감산에도 메모리 반도체인 D램 가격이 하락했습니다.
2023.06.02,삼성전자,핵심요약 문화체육관광부 '수어와 만나다' 프로젝트에 참여 온·오프라인 매장서 수어 상담 서비스 지원도 삼성전자가 청소기 사용법을 수어로 안내합니다.
2023.06.02,삼성전자,경계현 삼성전자 반도체부문(DS) 사장이 미국에서 여성 인재 확보의 중요성에 대해 강조했습니다.
2023.06.02,삼성전자,국내 대표 반도체주인 삼성전자와 SK하이닉스가 미국 반도체 업체 엔비디아의 주가 반등에 2일 장 초반 동반 강세입니다.
2023.06.03,삼성전자,국내 증시 대표주 삼성전자가 연일 불기둥을 뿜으며 코스피 강세장을 주도하고 있습니다.
2023.06.02,삼성전자,"5세대 폴더블폰 공개 행사 다음달 코엑스서 열릴 듯 이영희 사장 ""한국, 의미 있고 중요한 시장"" 차세대 접는(폴더블) 스마트폰 출시를 앞둔 삼성전자가 처음으로 공개 이벤트(갤럭시 언팩)를 국내에서 진행할 전망입니다."
2023.06.02,삼성전자,사진|위메프 위메프가 삼성전자 제품을 최대 30% 할인해주는 '삼성WE빅세일'을 개최합니다.
2023.06.02,삼성전자,"중국이 미국의 마이크론 반도체 판매를 금지한 가운데, 삼성전자와 SK하이닉스에 대한 미국의 압박이 높아지고 있습니다."
2023.06.03,삼성전자,특히 내부거래 중 그룹 내 맏형인 삼성전자(005930)의 비중이 50%에 육박하는 등 의존도가 높았습니다.
2023.06.03,삼성전자,"나머지 기업의 ITR은 한국전력 3.2도, GS 3.2도, LG화학 3.2도, 포스코홀딩스 2.4도, SK 2.2도, 삼성전자 2.3도 순으로 높았습니다."
2023.06.03,삼성전자,"RISE(RISC-V Software Ecosystem) 로고./사진=삼성전자 삼성전자는 오픈소스 비영리단체 리눅스재단이 발족한 오픈소스 소프트웨어 개발 프로젝트 'RISE(RISC-V Software Ecosystem, 라이즈)'의 운영 이사회 멤버로 활동하게 됐다고 5월 31일(미국시간) 밝혔습니다."
2023.06.03,삼성전자,"2일 코스피 시장에서 외국인은 삼성전자, LG화학, 메리츠금융지주, SK아이테크놀로지를 집중 매수했습니다."
