날짜,기업이름,요약내용
2023.06.01,삼성전자우,"시가총액 상위 종목에서는 셀트리온(2.80%), NAVER(2.01%), 삼성전자우(1.54%), 삼성바이오로직스(0.64%) 등이 강세입니다."
2023.06.01,삼성전자우,"네이버(2.26%), SK하이닉스(1.57%), 삼성전자우(0.85%), 삼성바이오로직스(0.51%) 등의 주가가 오른 반면 LG에너지솔루션(-2.5%), 기아(-1.98%), 삼성SDI(-1.39%), 현대차(-1.25%), LG화학(-0.87%), 삼성전자(-0.70%) 등은 하락했습니다."
2023.06.01,삼성전자우,"코스피, 기관 대량 매물에 '약세'…외인 SK하이닉스·삼성전자·네이버·코스..."
2023.06.01,삼성전자우,"시가총액 1위 삼성전자는 전거래일 보다 0.70% 하락한 7민900원에 거래를 마감했고, NAVER는 2.26% 상승해 시총 상위 10대 종목에서 가장 강한 상승세를 나타냈습니다."
2023.06.01,삼성전자우,"[데이터로 보는 증시]포스코퓨처엠·SK하이닉스, 기관·외국인 코스피 순매수..."
2023.06.01,삼성전자우,"31일 코스피 시장에서 기관은 LG에너지솔루션, 삼성전자우, LG화학, 하이브를 집중 매수했습니다."
2023.06.01,삼성전자우,"코스피 시가총액 상위 10개 종목 중 NAVER(035420) 2.26%, SK하이닉스(000660) 1.57%, 삼성전자우(005935) 0.85%, 삼성바이오로직스(207940) 0.51% 등은 상승했습니다."
2023.06.01,삼성전자우,이날 오전 9시 30분 기준 시가총액 상위권 종목 중 삼성전자 주가는 전 거래일 대비 0.28% 상승한 7만1600원에 거래되고 있습니다.
2023.06.01,삼성전자우,"개인과 외국인이 3506억원, 12억원어치를 순매수했으나 기관이 3768억원어치 순매도하면서 소폭 하락했습니다."
2023.06.02,삼성전자우,외국인이 삼성전자를 비롯해 삼성그룹주 종목 전반에 대한 순매수 규모를 늘린 덕분에 주가가 강세를 보이면섭니다.
2023.06.01,삼성전자우,"시가총액 상위 10개 종목 중에서는 삼성전자(-0.84%)와 LG에너지솔루션(-0.83%), SK하이닉스(-2.21%), 삼성바이오로직스(-0.13%), 현대차(-0.60%), 기아(-1.28%) 등이 내리고 있습니다."
2023.06.02,삼성전자우,"시가총액 상위 10개 종목은 삼성바이오로직스(-0.38%), 보합 마감한 SK하이닉스를 제외하고 상승 마감했습니다."
2023.06.02,삼성전자우,"삼성전자(1.83%), 삼성전자우(1.52%), 현대차(1.01%), 기아(1.19%) 등도 1% 넘는 상승률을 보였습니다."
2023.06.02,삼성전자우,"코스피 시가총액 상위 10개 종목 중 LG화학(051910) 4.95%, 삼성전자(005930) 1.83%, 삼성전자우(005935) 1.52%, 기아(000270) 1.19%, 현대차(005380) 1.01%, 삼성SDI(006400) 0.99%, LG에너지솔루션(373220) 0.68%, NAVER(035420) 0.25% 등은 상승했습니다."
2023.06.02,삼성전자우,LG화학(4.95%) △삼성전자(1.83%) △삼성전자우(1.52%) △기아(1.19%) △현대차(1.01%) △삼성SDI(0.99%) △NAVER(0.25%) 등은 상승세로 장을 마쳤습니다.
2023.06.02,삼성전자우,"시가총액 상위종목 가운데에선 SK하이닉스(+0%)가 보합권으로 거래를 마감한 반면, 삼성전자(+1.83%), LG에너지솔루션(+0.68%), LG화학(+4.95%), 삼성전자우(+1.52%), 삼성SDI(+0.99%), 현대차(+1.01%), 기아(+1.19%), NAVER(+0.25%) 등 대부분 종목이 상승 마감했습니다."
2023.06.02,삼성전자우,"시가총액 상위 10종목에서는 LG화학(4.95%), 삼성전자(1.83%), 삼성전자우(1.52%) 등이 상승 마감했고, 삼성바이오로직스(-0.38%)는 하락 마감했습니다."
2023.06.02,삼성전자우,"코스피, 개인·외인 방어에 0.67% 상승 출발···2586.27 개장"
2023.06.02,삼성전자우,"LG화학(4.95%) 주가가 5%에 가깝게 상승했으며 삼성전자(1.83%), LG에너지솔루션(0.68%), 삼성전자우(1.52%), 삼성SDI(0.99%), 현대차(1.01%), 기아(1.19%), 네이버(0.25%) 등 전부 8개 종목 주가가 올랐습니다."
2023.06.02,삼성전자우,삼성전자도 2.5% 비중으로 담고 있습니다.
2023.06.03,삼성전자우,이번 주(5월 29일~6월 2일) 투자상품 시장에서는 삼성전자 우선주에 투자하는 랩어카운트(종합자산관리계좌) 상품이 나와 눈길을 끌었습니다.
2023.06.03,삼성전자우,한화투자증권 한화투자증권은 '한화 델타랩 삼성전자우'를 출시했다고 30일 밝혔습니다.
2023.06.04,삼성전자우,"[데이터로 보는 증시]SK이노베이션·삼성전자, 기관·외국인 주간 코스피 순매..."
2023.06.03,삼성전자우,"우대식 아수라팩토리 대표 ""대전 격투를 위한 최고의 환경, 아수라로 구축해 ..."
2023.06.04,삼성전자우,"한주간 순매수를 주도한 외국인들은 삼성전자, SK하이닉스 등 반도체 투톱 종목만 1조3000억원 넘게 사들여 눈길을 끌었습니다."
2023.06.04,삼성전자우,가전업계에서는 최근 국내 가전 쌍두마차 격인 삼성전자와 LG전자의 중동·아프리카 시장 공략 행보가 해외 소비자들의 '이목'을 사로잡고 있습니다.
2023.06.05,삼성전자우,"KB증권은 이날 삼성전자에 대해 반도체가 좋아질 일만 남았다며 목표주가 8만5000원과 투자의견 매수를 유지했고, 최근 SK증권은 하반기 DDR5 점유율 회복이 시작될 것이라며, 투자의견 매수를 유지하고 목표주가 9만원으로 올려잡았습니다."
2023.06.05,삼성전자우,코스피 시가총액 상위 10개 종목에서 △LG에너지솔루션(+1.02%) △LG화학(+0.28%) △삼성SDI(+0.28%) △현대차(+0.75%) △기아(+1.17%)는 상승했고 △삼성전자(-0.69%) △SK하이닉스(-1.45%) △삼성전자우(-0.33%)는 하락했습니다.
2023.06.05,삼성전자우,"삼성전자(-0.69%), SK하이닉스(-1.45%), 삼성전자우(-0.33%) 등은 하락 마감했습니다."
2023.06.05,삼성전자우,이날 코스피 상승에도 대형 반도체주인 삼성전자(005930)(-0.69%)와 SK하이닉스(000660)(-1.45%)는 외국인의 매도세에 소폭 하락마감했습니다.
2023.06.05,삼성전자우,시가총액 상위 10개 종목의 희비는 엇갈렸습니다.
2023.06.04,삼성전자우,[중국通] 중국몽은 한편의 드라마일뿐
2023.06.05,삼성전자우,"시가 총액 상위 종목 중 SK하이닉스(+0.09%), 현대차(+0.75%), 기아(+0.825), NVER(+0.49%)가 상승하고, 삼성전자(-0.28%)와 삼성전자우(-0.17%), 삼성SDI(-0.28%)가 하락하고 있습니다."
2023.06.04,삼성전자우,"같은 기간 외국인은 삼성전자를 2조5670억 원, SK하이닉스를 1조4717억 원어치 순매수했습니다."
2023.06.05,삼성전자우,"[데이터로 보는 증시]삼성전자·두산에너빌리티, 기관·외국인 코스피 순매수..."
2023.06.05,삼성전자우,삼성전자(-0.69%) △SK하이닉스(-1.45%) △삼성전자우(-0.33%) 등은 떨어졌습니다.
2023.06.05,삼성전자우,"반면 삼성전자(-0.69%)·삼성전자우(-0.33%)·SK하이닉스(-1.45%) 등은 하락했고, 삼성바이오로직스와 NAVER는 보합으로 장을 마쳤습니다."
2023.06.07,삼성전자우,시가총액 상위 10개 종목의 희비는 엇갈렸습니다.
2023.06.05,삼성전자우,"시가총액 1위 삼성전자는 전거래일 보다 0.69% 하락한 7만1700원에 거래를 마감했고, 기아는 1.16% 상승해 시총 상위 10대 종목에서 가장 강한 상승세를 나타냈습니다."
2023.06.07,삼성전자우,신안군장학재단 박우량 이사장(좌)과 삼성전자3호광장점 김세웅 대표(우)가 장학금 기탁식 기념 촬영을 하고 있습니다.
2023.06.07,삼성전자우,"KB증권은 전일 삼성전자에 대해 반도체가 좋아질 일만 남았다며 목표주가 8만5000원과 투자의견 매수를 유지했고, 최근 SK증권은 하반기 DDR5 점유율 회복이 시작될 것이라며, 투자의견 매수를 유지하고 목표주가 9만원으로 올려잡았습니다."
2023.06.07,삼성전자우,"개인투자자들이 가장 많이 순매도한 건 반도체로 삼성전자, SK하이닉스를 총 10조원 팔았습니다."
2023.06.07,삼성전자우,"반면, 삼성전자(-0.98%)와 SK하이닉스(-0.64%), 현대차(-2.29%), 기아(-4.87%) 등은 하락했습니다."
2023.06.07,삼성전자우,"삼성전자(005930) -0.7%, 삼성전자우(005935) -0.33%, SK하이닉스(000660) -0.18% 등은 하락했습니다."
2023.06.07,삼성전자우,"반면 삼성전자(-0.98%), SK하이닉스(-0.64%) 등 반도체주 주가가 약세를 보였습니다."
2023.06.07,삼성전자우,이 가운데 기아는 전장 대비 4200원(-4.87%) 하락한 8만2000원으로 가장 큰 하락폭을 기록했습니다.
2023.06.07,삼성전자우,"시가총액 1위 삼성전자는 전거래일 보다 0.56% 하락한 7만1300원에 거래되며 다소 부진한 반면, LG화학 종목은 2.49% 상승해 시총 상위 10대 종목에서 가장 강한 상승세를 보이고 있습니다."
2023.06.08,삼성전자우,신안군장학재단 박우량 이사장(좌)과 삼성전자3호광장점 김세웅 대표(우)가 장학금 기탁식 기념 촬영을 하고 있습니다.
2023.06.08,삼성전자우,"코스피 '네 마녀의 날', 외인 매도에 2,610대 턱걸이…외인 코스모신소재·두..."
2023.06.08,삼성전자우,최근 증권가는 반도체 업황 개선 양상이 나타나고 있다며 삼성전자에 대한 비중을 늘리고 있습니다.
2023.06.08,삼성전자우,시가총액 상위 10개 종목 가운데 △NAVER(-2.20%) △LG에너지솔루션(-2.15%) △LG화학(-1.21%) △삼성SDI(-0.82%) △삼성전자(-0.14%) △삼성바이오로직스(-0.13%) △POSCO홀딩스(-0.13%) 등은 떨어졌습니다.
2023.06.08,삼성전자우,"코스피 시가총액 상위 10개 종목 중 SK하이닉스(000660) 1.57%, 삼성전자우(005935) 0.17%, 현대차(005380) 0.15% 등은 상승했습니다."
2023.06.08,삼성전자우,"삼성전자(-0.85%), LG에너지솔루션(-0.99%), SK하이닉스(-1.02%), 삼성바이오로직스(-0.38%), LG화학(-0.13%), 삼성SDI(-0.82%), 삼성전자우(-0.50%), 현대차(-0.76%), NAVER(-1.71%) 등입니다."
2023.06.08,삼성전자우,다만 외국인은 국내 증시 대장주 삼성전자에 대해 최근 2거래일간 이어진 매도세를 멈추고 이날 160억원어치를 순매수했습니다.
