날짜,기업이름,요약내용
2023.06.04,삼성중공업,삼성중공업이 선박 전기장치 작업을 위탁하면서 작업 내용과 하도급 대금 등을 적은 서면을 수급사업자가 작업을 시작하기 전까지 발급하지 않아 공정거래위원회(공정위)로부터 시정명령과 과징금 3600만원을 부과 받았습니다.
2023.06.01,삼성중공업,HSD엔진은 600억원 규모의 선박용 엔진 공급 계약을 체결했다고 1일 공시했습니다.
2023.06.07,삼성중공업,삼성중공업 로고 삼성중공업 주가가 약세를 보이고 있습니다.
2023.06.06,삼성중공업,22분기 만에 흑자 전환에 성공한 삼성중공업이 시장점유율 1위를 달리고 있는 '부유식 액화천연가스 생산설비(FLNG)' 수주 러시로 지속적인 성장을 꿈꿉니다.
2023.06.02,삼성중공업,[오늘의 주요공시] 삼성중공업‧포스코퓨처엠 등
2023.06.07,삼성중공업,노르쉬핑 2023서 ABS AIP 승인받아 선체 거동 감시해 경보 알려…선체 안전성 향상 삼성중공업이 미국선급협회(ABS)로부터 선체 구조 건전성 모니터링 시스템 기술을 인정받았습니다.
2023.06.11,삼성중공업,"[주간 투자주체 매매동향] 기관, 삼성전자·SK하이닉스 집중 매수"
2023.06.09,삼성중공업,업계에 따르면 조선 빅3(HD한국조선해양·삼성중공업·한화오션) 중 올해 1분기 흑자를 기록한 곳은 삼성중공업이 유일했습니다.
2023.06.07,삼성중공업,"7일 삼성중공업과 영국 조선해운시황 전문기관인 클락슨리서치에 따르면, 5월 선박 발주량 79척 가운데 한국이 51만CGT(17척, 25%), 중국이 141만CGT(52척, 68%)를 수주한 것으로 나타났습니다."
2023.06.06,삼성중공업,창원해경에 따르면 경유 4000ℓ를 실은 예인선 A호는 삼성중공업에서 화물 적재 후 출항 중에 플로팅도크 앵커체인과 접촉돼 우현 선미가 파공되면서 다량의 해수가 기관실로 유입돼 완전 침몰됐습니다.
2023.06.01,삼성중공업,삼성중공업이 '암모니아 실증설비' 제조 승인을 받고 착공을 시작한다고 1일 밝혔습니다.
2023.06.04,삼성중공업,"또한, 덴마크 시보그사, 삼성중공업, 한화오션, 한국전력기술, 한국원자력연구원 등과 함께 육상원전뿐만 아니라, 선박 및 해양플랜트에 적용할 수 있는 용융염원자로 등의 차세대원전 기술개발 및 실증 연구도 추진합니다."
2023.06.03,삼성중공업,"롯데케미칼 3.8도, 삼성중공업 3.7도, 현대중공업 3.6도, 한온시스템 3.6도 순으로 조사됐습니다."
2023.07.03,삼성중공업,"그래픽=정승아 디자이너 삼성중공업1우선주, SK네트웍스1우선주, DB하이텍1우선주, 현대비앤지스틸1우선주, 흥국화재해상보험2우선주 등 상장주식 수 요건을 맞추지 못한 우선주 5종목이 상장폐지 절차에 들어갔습니다."
