날짜,기업이름,요약내용
2023.06.02,삼성화재,(삼성화재 관계자) 지난 1일 서울시 강남구 코엑스 1층 A홀 '밋업(Meet up)' 부스존의 열기는 뜨거웠습니다.
2023.06.10,삼성화재,"한편, 삼성화재 종목은 -2.89%를 기록해 삼성그룹 계열사 중 가장 부진한 흐름을 나타냈습니다."
2023.06.07,삼성화재,'오모오모' 캐릭터 상품 판매 부수업무 신고 삼성화재가 펫 커뮤니티 서비스 'O모O모(오모오모)'를 통한 캐릭터 판매에 나섭니다.
2023.06.02,삼성화재,"현재 펫보험 시장점유율은 메리츠화재와 삼성화재가 90% 이상을 차지한 것으로 알려져 있는 만큼, KB손해보험이 이들을 따라 잡을 수 있을지 집중됩니다."
2023.06.01,삼성화재,호암재단 남다른 애정 이재용...오너일가 중 나홀로 시상식 참석
2023.06.06,삼성화재,삼성화재는 보장 한도를 업계 최고 수준으로 확대한 자동차보험 '법률비용 지원 특약V'를 출시했습니다.
2023.06.05,삼성화재,법률비용지원특약은 중대 교통사고로 형사처벌이 발생할 때 변호사 선임비용이나 형사합의금과 같은 비용손해를 보장해주는 담보입니다.
2023.06.10,삼성화재,"삼성화재, 삼성생명, LG AI 연구원 등이 듀오와 함께 마케팅프론티어 대상을 수상했습니다."
2023.06.04,삼성화재,사진은 인천공항 제1터미널 출국장 모습./사진=미디어펜 김상문 기자 4일 보험업계에 따르면 빅5 손해보험사인 삼성화재·현대해상·DB손해보험·KB손해보험·메리츠화재의 올 1~4월 해외여행자보험 신계약 건수는 40만7659건으로 2년 전인 22만1586건보다 84% 증가했습니다.
2023.06.08,삼성화재,메리츠화재는 1위 삼성화재와 격차도 좁혔습니다.
2023.06.08,삼성화재,"DB손해보험과 삼성화재, 한화손해보험은 탈석탄 금융선언을 마쳤습니다."
2023.06.06,삼성화재,실제로 삼성화재와 한화손해보험은 펫보험에 특화한 자회사 설립도 검토중입니다.
2023.06.11,삼성화재,"삼성화재 7억7,000만원, DB손보 4억4,000만원, 메리츠화재 4억2,000만원, KB손보 4억1,000만원, 현대해상 3억4,000만원입니다."
2023.06.10,삼성화재,"삼성화재, 현대해상, KB손보, DB손보 이상 4대 연금저축 10년 수익률은 연평균 1.5%를 넘지 못합니다."
2023.06.01,삼성화재,이는 손보업계 1위사인 삼성화재보다 높은 수치로 삼성화재는 1조4764억원으로 나타났습니다.
2023.06.03,삼성화재,보도에 따르면 A법무법인의 '백내장 수술보험금 청구 공동소송 보험사 리스트(1~10차)'에 따르면 보험사를 대상으로 제기된 보험소비자 공동소송 전체 건수(894건) 중 국내 5대 손보사(삼성화재·현대해상·DB손해보험·KB손해보험·메리츠화재)의 비중은 61.3%로 나타났습니다.
2023.06.07,삼성화재,"삼성화재, 삼성생명, LG AI 연구원 등이 듀오와 함께 마케팅프론티어 대상을 수상했습니다."
2023.06.10,삼성화재,'삼성화재 다이렉트 착' 해외여행보험은 해외여행 중 비어있는 집에 대한 강도‧절도 피해를 보장하는 '여행 중 자택 도난손해 특약'을 선보였습니다.
