날짜,기업이름,요약내용
2023.06.01,셀트리온,"코스닥시장 시가총액 상위 10개 종목 가운데 셀트리온헬스케어(3.92%), 셀트리온제약(3.05%), HLB(1.35%), 제이와이피엔터테인먼트(0.98%), 에코프로비엠(0.80%), 에코프로(0.53%), 카카오게임즈(0.13%) 주가가 오르고 있습니다."
2023.06.01,셀트리온,셀트리온의 램시마(성분 인플릭시맙) 피하주사(SC) 제형이 유럽 시장에서 높은 성장세를 보이고 있습니다.
2023.06.01,셀트리온,"셀트리온, 악템라 바이오시밀러 1상 결과 공개"
2023.06.01,셀트리온,"[데이터로 보는 증시]셀트리온헬스케어, 기관·외국인 코스닥 순매수 1위(6월..."
2023.06.01,셀트리온,"관련해 KB증권은 건강관리에서 삼성바이오로직스(207940), 셀트리온(068270)을 추천했습니다."
2023.06.01,셀트리온,"[6월 제약사 이모저모]동아제약, 셀트리온, 파로스아이바이오, 한국GSK등 소식"
2023.06.01,셀트리온,셀트리온헬스케어 공매도가 51만건 이상 증가했습니다.
2023.06.01,셀트리온,"시가총액 상위 10개 종목은 엘앤에프(-1.48%), 펄어비스(-1.1%), 에코프로(-0.18%)를 제외하고 상승 마감했습니다."
2023.06.01,셀트리온,"암젠, J&J와 합의…출시 일정 2023년→2025년 변경 셀트리온, 품목허가 신청…삼성에피스·동아ST 준비中 'K-바이오'가 글로벌 23조원 규모의 스텔라라(성분명 우스테키누맙) 바이오시밀러(바이오의약품 복제약) 시장 공략에 박차를 가합니다."
2023.06.01,셀트리온,지난해 같은 기간 대비 41.0% 늘었습니다.
2023.06.02,셀트리온,바이오의약품 개발 기업 셀트리온이 유럽학회에 참가해 자가면역질환 치료제 '램시마'(성분명 인플릭시맙)의 경쟁력을 강조했습니다.
2023.06.02,셀트리온,2023년 1분기 매출총이익 톱5 삼바∙셀트리온∙한미약품∙대웅제약∙유한양행
2023.06.02,셀트리온,"시총 상위 10개 종목은 셀트리온제약(-0.23%), 보합 마감한 셀트리온헬스케어, 카카오게임즈를 제외하고 상승 마감했습니다."
2023.06.02,셀트리온,"셀트리온그룹, 유럽 학회서 자가면역질환 치료제 심포지엄 열어"
2023.06.02,셀트리온,셀트리온이 바이오시밀러 분야에서 꾸준히 성과를 보이며 글로벌 경쟁력을 높이고 있습니다.
2023.06.02,셀트리온,셀트리온홀딩스(대표 유헌영)가 서정진 회장의 혼외자 생모가 대표로 있는 회사 두 곳의 경영상황을 공개하지 않으면서 공시를 위반한 배경에 관심이 모아집니다.
2023.06.02,셀트리온,"1일 코스닥 시장에서 외국인은 셀트리온헬스케어, JYP Ent., 루닛, 와이지엔터테인먼트를 집중 매수했습니다."
2023.06.02,셀트리온,노바티스가 셀트리온을 상대로 천식·두드러기 치료제 '졸레어(오말리주맙)' 바이오시밀러의 특허 침해 여부를 따지고 나섰습니다.
2023.06.02,셀트리온,"셀트리온그룹, 유럽류마티스학회서 자가면역질환 치료제 경쟁력 강조 셀트리온그룹은 지난 1일(현지시간) 이탈리아 밀라노 미코 컨벤션센터에서 열린 유럽류마티스학회서 '인플릭시맙 IV에서 SC로–류마티스 질환의 주요 치료제'를 주제로 학술 심포지엄을 개최했습니다."
2023.06.02,셀트리온,"[내 종목을 부탁해] 복잡한 계좌 해결 방법은? <셀트리온헬스케어>,<에스비비..."
2023.06.03,셀트리온,"SK온, 포스코인터내셔널, LG생활건강, LS일렉트릭, 셀트리온, KT커머스 등 대기업 신입사원 모집이 잇따르고 있습니다."
2023.06.03,셀트리온,"2022-2023 KB리그 준PO 2차전(난가) 셀트리온, 킥스 3-1로 꺾고 최종전으로 (한게임바둑=한창규 기자) ""박진솔 선수의 맞춤형 카드로 상대전적에서 앞서는 최철한, 송규상 선수를 앞쪽에 배치했습니다."
2023.06.03,셀트리온,정부가 바이오 업종을 조세특례제한법상 국가전략기술에 포함시켰기 때문입니다.
2023.06.03,셀트리온,"2일 코스닥 시장에서 외국인은 에코프로, 이오플로우, 윤성에프앤씨를 집중 매수했습니다."
2023.06.03,셀트리온,"이번 협의회에서는 기우성 셀트리온 부회장의 '셀트리온의 성공비결과 해양바이오 산업의 성장을 위한 제언', KIMST 사업기획실 서경석 실장의 '해조류와 바이오경제' 등 2건의 강연과 함께 참석자들의 질의응답이 활발히 이루어졌습니다."
2023.06.03,셀트리온,냈던 회사였지만 2010년대 들어서는 중국발 물량공세에 어려움을 겪기도 했습니다.
2023.06.03,셀트리온,셀트리온(068270)은 허셉틴(트라스투주맙) 바이오시밀러의 안전성과 효능데이터를 공개합니다.
2023.06.04,셀트리온,지난 1일(현지시간) 이탈리아 밀라노 미코 컨벤션센터에서 열린 유럽류마티스학회(EULAR 2023)에서 셀트리온 관계자가 류마티스 질환의 주요 치료제로 램시마와 램시마SC를 설명하고 있습니다.
2023.06.03,셀트리온,BGF리테일·셀트리온·신한지주·에코프로비엠 등 32개(33%) 기업은 2도 이내 그룹(B)에 속했습니다.
2023.06.03,셀트리온,셀트리온과 롯데바이오로직스도 이번 행사에 부스를 마련했습니다.
2023.06.04,셀트리온,킥스는 3일 저녁 성동구 마장로 한국기원 바둑TV 스튜디오에서 열린 2022-2023 KB국민은행 바둑리그의 난가리그 준플레이오프 3차전에서 셀트리온을 3-0으로 완파했습니다.
2023.06.04,셀트리온,"[주간 투자자 동향] 외국인, 반도체 투톱 1조3000억 싹쓸이"
2023.06.04,셀트리온,"[데이터로 보는 증시]엘앤에프·이오플로우, 기관·외국인 주간 코스닥 순매수..."
2023.06.04,셀트리온,"올해 블록버스터 자가면역질환 치료제 '휴미라'의 바이오시밀러 미국 출시를 앞둔 셀트리온도 행사에 참여해, 경쟁력을 소개합니다."
2023.06.04,셀트리온,"롯데바이로직스가 인천 송도에 3조7000억원을 들여 CDMO 공장을 짓겠다는 투자의향서를 제출한데다 삼성바이오로직스, 셀트리온 등도 공장을 계속 신설 중입니다."
2023.06.04,셀트리온,"SK바이오팜 뒤를 이어 셀트리온헬스케어, HLB 종목도 각각 4.07%, 3.68%씩 상승해 상승률 상위권에 이름을 올렸습니다."
2023.06.04,셀트리온,현재 삼성바이오에피스(하드리마)와 셀트리온(유플라이마)이 고농도(100㎎) 제품으로 미국 출시를 앞두고 있습니다.
2023.06.05,셀트리온,셀트리온이 미국 바이오 기업인 '라니 테라퓨틱스'와 '경구형 아달리무맙(RT-105)' 개발을 위한 계약을 체결했다고 5일 밝혔습니다.
2023.06.04,셀트리온,"한 연구원은 ""한국전력, 셀트리온과 같은 유틸리티, 바이오도 다루긴 했지만 그린산업을 주로 커버했다""라며 ""초기에는 아예 신산업이어서 부침도 심하고 하겠다는 사람이 없었습니다."
2023.06.04,셀트리온,"""삼성전자, SK하이닉스와 반도체 부품주 가운데 실적이 좋은 종목에서 나올 가능성이 큽니다."
2023.06.05,셀트리온,바이오의약품 개발 기업 셀트리온이 파트너 탐색에 나섭니다.
2023.06.05,셀트리온,자가면역 바이오시밀러 셀트리온이 자가면역질환 치료제인 휴미라의 바이오시밀러(복제약)인 CT-P17(성분명 아달리무맙)의 먹는 형태인 '경구형 아달리무맙(개발명 RT-105)' 개발 계약을 미국 바이오테크 '라니 테라퓨틱스'와 체결했다고 5일 밝혔습니다.
2023.06.05,셀트리온,사진=셀트리온 셀트리온은 미국 캘리포니아 산호세에 기반을 둔 바이오텍 라니 테라퓨틱스(이하 라니)와 '경구형 아달리무맙(개발명 RT-105)' 개발을 위한 계약을 체결했다고 5일 밝혔습니다.
2023.06.05,셀트리온,셀트리온 셀트리온이 미국 바이오 업체 '라니 테라퓨틱스'와 먹는 자가면역질환 치료제 '경구형 아달리무맙'(개발명 RT-105) 개발 계약을 체결했다고 5일 밝혔습니다.
2023.06.05,셀트리온,"예정 셀트리온은 5일부터 8일(현지시간)까지 나흘간 미국 보스턴에서 진행되는 '바이오 인터내셔널 컨벤션(Bio International Convention, 이하 바이오 USA) 2023'에 참가해 글로벌 파트너링 활동을 펼친다고 5일 밝혔습니다."
2023.06.05,셀트리온,셀트리온이 미국 보스턴에서 진행되는 바이오 USA 2023에 참가합니다.
2023.06.05,셀트리온,"셀트리온 셀트리온은 미국 캘리포니아 산호세(San Jose)에 기반을 둔 바이오텍 라니 테라퓨틱스(Rani Therapeutics, 이하 '라니')社와 '경구형 아달리무맙(개발명: RT-105)' 개발을 위한 계약을 체결했다고 5일 밝혔습니다."
2023.06.06,셀트리온,셀트리온그룹이 오는 9일부터 사흘간 강원도 양양 설해원에서 올 시즌 KLPGA 투어 12번째 대회인 '셀트리온 퀸즈 마스터즈(이하 퀸즈마스터즈)'를 개최한다고 6일 밝혔습니다.
2023.06.05,셀트리온,(자료=셀트리온) 셀트리온이 5일부터 8일(현지시간)까지 미국 보스턴에서 진행되는 '바이오 인터내셔널 컨벤션(바이오 USA) 2023'에 참가해 파트너링 강화를 통해 글로벌 네트워크 확대에 집중합니다.
2023.06.05,셀트리온,"사진=셀트리온 셀트리온은 미국 캘리포니아 산호세에 기반을 둔 바이오텍 라니 테라퓨틱스(Rani Therapeutics, 이하 라니)사와 '경구형 아달리무맙(개발명: RT-105)' 개발을 위한 계약을 체결했다고 5일 밝혔습니다."
2023.06.06,셀트리온,‘총상금 12억’ 셀트리온 퀸즈 마스터즈의 모든 것
2023.06.06,셀트리온,셀트리온이 미국 바이오 기업인 라니테라퓨틱스(라니)와 개발에 휴미라(성분명 아달리무맙) 바이오시밀러의 경구형 제제 개발에 나섭니다.
2023.06.06,셀트리온,5~8일까지 미국 보스턴에서 열린 글로벌 제약·바이오 콘퍼런스 '2023 바이오 인터내셔널 컨벤션'에 셀트리온 부스가 설치돼 있습니다.
2023.06.06,셀트리온,방신실은 9일부터 사흘간 강원도 양양의 설해원 더 레전드 코스(파72)에서 열리는 KLPGA 투어 셀트리온 퀸즈 마스터즈(총상금 12억원)에 출전합니다.
2023.06.06,셀트리온,이 초대형 시장에 삼성바이오에피스와 셀트리온이 바이오시밀러(생체의약품)를 앞세워 진입합니다.
2023.06.06,셀트리온,박민지는 9일부터 11일까지 사흘 동안 강원 양양의 설해원 더 레전드 코스(파72‧6678야드)에서 열리는 KLPGA 투어 셀트리온 퀸즈 마스터즈(총상금 12억원)에 출전합니다.
2023.06.06,셀트리온,드라마 '비밀의 여자'는 총 100부작 예정이며 OTT는 웨이브에서 스트리밍합니다.
2023.06.07,셀트리온,셀트리온그룹은 오는 9일부터 사흘간 강원도 양양의 설해원에서 올시즌 KLPGA투어 12번째 대회인 '셀트리온 퀸즈 마스터즈'를 개최합니다.
2023.06.07,셀트리온,TS트릴리온이 오는 9일 개최 예정인 '2023 셀트리온 퀸즈 마스터즈' 골프 대회에 '골드플러스TS샴푸 선물세트'를 협찬했습니다.
2023.06.07,셀트리온,서정진 셀트리온 회장의 차남인 서준석 셀트리온헬스케어 이사회 의장 셀트리온이 의약품 최대 시장인 미국에 자가면역질환 치료제 '휴미라'의 바이오시밀러(바이오의약품 복제약)를 다음달 출시합니다.
2023.06.07,셀트리온,"KLPGA 투어 신인 돌풍 방신실, 셀트리온 퀸즈 마스터즈서 2개 대회 연속 우승 도전 한국여자프로골프(KLPGA) 투어 2023 시즌 흥행의 중심에 선 방신실이 셀트리온 퀸즈 마스터즈(총 상금 12억 원)에서 2개 대회 연속 우승에 도전합니다."
2023.06.07,셀트리온,시가총액 상위 10개 종목의 희비는 엇갈렸습니다.
2023.06.07,셀트리온,"바이오 USA 2023 셀트리온 부스 셀트리온이 현지시간 지난 5일부터 8일까지 나흘간 미국 보스턴에서 진행되는 '바이오 인터내셔널 컨벤션(Bio International Convention, 이하 바이오 USA) 2023'에 참가해 글로벌 파트너링 활동을 펼친다고 밝혔습니다."
2023.06.07,셀트리온,"[6월 제약사 이모저모]셀트리온, 오름테라퓨틱, 온라인팜, 카이노스메드 등 소..."
2023.06.08,셀트리온,미국 보스턴에서 7일(현지시간) 열리고 있는 '2023 바이오 인터내셔널 컨벤션'(바이오USA)에 참가한 셀트리온 부스에서 미팅이 진행되고 있습니다.
2023.06.07,셀트리온,"셀트리온은 미국 캘리포니아 산호세(San Jose)에 기반을 둔 바이오텍 라니 테라퓨틱스(Rani Therapeutics, 이하 '라니')社와 '경구형 아달리무맙(개발명: RT-105)' 개발을 위한 계약을 체결했다고 지난 5일 밝혔습니다."
2023.06.08,셀트리온,한국여자프로골프(KLPGA) 투어 셀트리온 퀸즈 마스터즈가 오는 9일부터 사흘간 강원도 양양 설해원 더 레전드 코스(파72)에서 열립니다.
2023.06.08,셀트리온,"8일 강원도 양양에 위치한 설해원에서 열린 '셀트리온 퀸즈 마스터즈' 미디어데이 행사에서 방신실, 박민지, 박지영, 박현경이 포즈를 취하고 있습니다."
2023.06.08,셀트리온,내년 코스피 헬스케어 상위 5개 기업(삼성바이오로직스·셀트리온·유한양행·SK바이오팜·한미약품)의 실적이 회복될 것이란 전망이 나오고 있습니다.
2023.06.07,셀트리온,셀트리온은 이번 바이오 USA 2023에서 글로벌 기업과의 파트너십 모색을 위해 노력합니다.
2023.06.08,셀트리온,"(1917억원), 셀트리온(1824억원), 한미약품(599억원), 종근당(315억원), 대웅제약(245억원), 유한양행(226억원), JW중외제약(203억원), 제일약품(162억원), 보령(160억원), 광동제약(158억원입니다."
2023.06.08,셀트리온,"사진=캐시닥 ◆금융건강 앱 '캐시닥'과 유사한 '타임스프레드', '지니어트'에서 6월 8일 오후 5시 30분 현재 출제되고 있는 '셀트리온 가네신파워' 관련 문제의 정답은 '두뇌건강입니다."
2023.06.08,셀트리온,"2023시즌 12번째 대회인 '셀트리온 퀸즈 마스터즈(총상금 12억원, 우승상금 2억1600만원)가 오는 9일부터 11일까지 사흘간 강원도 양양군에 위치한 설해원 더 레전드 코스(파72)에서 막을 올립니다."
2023.06.08,셀트리온,바스젠바이오는 최근 셀트리온(068270)과 엔젤투자자로부터 30억원 규모의 시리즈B 투자를 받았다고 밝혔습니다.
2023.06.09,셀트리온,셀트리온의 자가면역질환 치료제 램시마SC(피하주사)가 뉴질랜드 시장을 뚫었습니다.
2023.06.09,셀트리온,"셀트리온그룹의 지주사인 셀트리온 홀딩스가 계열사한테서 받는 브랜드 사용료, 이른바 '간판값'을 2배 올린 것으로 확인됐습니다."
2023.06.08,셀트리온,사진제공=KLPGA 한국여자프로골프(KLPGA) 투어의 '라이징 스타' 방신실(19)이 첫 승 이후에 풀 시드권자로 첫 출격합니다.
2023.06.08,셀트리온,'셀트리온 가네신파워' 캐시닥· 타임스프레드· 지니어트 용돈퀴즈 정답이 공개가 됐습니다.
2023.06.09,셀트리온,바이오의약품 개발 기업 셀트리온은 최근 뉴질랜드 의약품의료기기안전청(MEDSAFE)으로부터 자가면역질환 치료 바이오시밀러(바이오의약품 복제약) '램시마SC'의 품목허가를 획득했다고 9일 밝혔습니다.
2023.06.09,셀트리온,셀트리온은 2015년 뉴질랜드에서 램시마IV의 품목허가를 획득한 바 있습니다.
2023.06.09,셀트리온,"국내에서는 삼성바이오로직스, 롯데바이오로직스, 셀트리온 등 289개사가 참가했습니다."
2023.06.09,셀트리온,'슈퍼 루키' 방신실은 2언더파 공동 15위…선두와 3타 차 박민지가 한국여자프로골프(KLPGA) 투어 셀트리온 퀸즈 마스터즈(총상금 12억원) 3년 연속 우승에 청신호를 켰습니다.
2023.06.09,셀트리온,"올시즌 한국여자프로골프, KLPGA 투어 12번째 대회, '셀트리온 퀸즈 마스터즈'가 양양에서 시작됐습니다."
2023.06.09,셀트리온,"뷰어스 탁지훈 기­자 jhtak@viewers.co.kr 셀트리온은 최근 뉴질랜드 의약품의료기기안전청(MEDSAFE, New Zealand Medicines and Medical Devices Safety Authority)으로부터 자가면역질환 치료제 램시마SC의 품목허가를 획득했다고 9일 밝혔습니다."
2023.06.09,셀트리온,셀트리온은 앞선 2020년 호주에서도 램시마SC의 허가를 획득해 오세아니아에서의 입지를 강화한 바 있습니다.
2023.06.10,셀트리온,셀트리온이 최근 뉴질랜드 의약품의료기기안전청으로부터 자가면역질환 치료제 램시마SC의 품목허가를 획득했습니다.
2023.06.10,셀트리온,"셀트리온제약과 하나투어, 한샘 등 업체들이 인재 확보에 나섭니다."
2023.06.10,셀트리온,박주영은 10일 강원도 양양 설해원 더 레전드코스(파72·6천678야드)에서 열린 한국여자프로골프(KLPGA) 투어 셀트리온 퀸즈 마스터즈(총상금 12억원) 대회 이틀째 2라운드에서 보기 없이 버디만 5개를 기록했습니다.
2023.06.09,셀트리온,"셀트리온 ""램시마SC, 호주 이어 뉴질랜드도 허가..세계시장 지속 확대"""
2023.06.10,셀트리온,한국여자프로골프(KLPGA) 역사상 5번째로 3연패에 도전하는 박민지(25‧NH투자증권)가 셀트리온 퀸즈 마스터즈(총상금 12억원) 둘째날에도 순위표 가장 높은 자리에 위치했습니다.
2023.06.10,셀트리온,2023년 한국여자프로골프(KLPGA) 투어 셀트리온 퀸즈 마스터즈에 출전한 박주영 프로가 1라운드에서 경기하는 모습입니다.
2023.06.10,셀트리온,사진제공=KLPGA 9일부터 11일까지 사흘 동안 강원도 양양군 설해원(파72)에서 한국여자프로골프(KLPGA) 투어 셀트리온 퀸즈 마스터즈(총상금 12억원)가 펼쳐지고 있습니다.
2023.06.10,셀트리온,"김수지, '셀트리온 퀸즈 마스터즈' 2R 18번 홀 버디 성공 = 사진제공[KLPGA] 김수지는 23시즌에서 아직 우승 소식이 없습니다."
2023.06.11,셀트리온,박민지는 11일 강원도 양양 설해원 더레전드코스(파72·6천495야드)에서 열린 KLPGA 투어 셀트리온 퀸즈 마스터즈(총상금 12억원) 대회 마지막 날 3라운드에서 버디 5개와 보기 4개로 1언더파 71타를 쳤습니다.
2023.06.11,셀트리온,셀트리온은 최근 뉴질랜드 의약품의료기기안전청(MEDSAFE)으로부터 자가면역질환 치료제 램시마SC의 품목허가를 획득했다고 밝혔습니다.
2023.06.10,셀트리온,"10일 강원도 양양에 위치한 설해원 더 레전드 코스(파72ㅣ예선 6,678야드ㅣ본선 6,495야드)에서 2023시즌 KLPGA투어 열두 번째 대회인 '셀트리온 퀸즈 마스터즈'(총상금 12억 원, 우승상금 2억 천 6백만 원) 2라운드가 열렸습니다."
2023.06.11,셀트리온,"2023년 한국여자프로골프(KLPGA) 투어 셀트리온 퀸즈 마스터즈 우승 경쟁에 돌입한 박민지, 이예원 프로가 최종라운드에서 경기하는 모습입니다."
