날짜,기업이름,요약내용
2023.06.01,신한지주,뉴스저널리즘 문제민 기자 = 사진제공=신한금융지주 신한신용정보는 신한금융 사회공헌사업 '희망사회프로젝트'의 일환으로 '소상공인 재기지원사업'의 대상자를 모집한다고 1일 밝혔습니다.
2023.06.01,신한지주,"같은 기간 신한금융지주는 1조3880억원, 하나금융은 1조1022억원, 우리금융은 9113억원을 기록했습니다."
2023.06.01,신한지주,"금융지주의 경우 총자본비율은 KB지주가 16.84%로 가장 높았으며 농협지주 15.97%, 신한지주 15.81%, 우리지주 15.79%, 하나지주 15.31% 등의 순이었습니다."
2023.06.01,신한지주,"또 IFRS의 지속가능성 공시기준 일반요구사항(S1)과 기후관련공시(S2) 상의 데이터 항목을 포함하여, 신한금융지주의 15개 자회사 및 손자회사의 ESG 데이터를 모두 반영했습니다."
2023.06.01,신한지주,이달 9일 후순위채를 발행할 예정인 신한라이프생명보험은 5.2%라는 금리에 최대 3000억 원의 증액발행을 고려하고 있습니다.
2023.06.01,신한지주,"지난해 12월 '3연임'을 포기한 조용병 전 신한금융지주 회장에 대해선 ""후배들에게 기회를 주시는 것""이라고 말했습니다."
2023.06.01,신한지주,"확보해야 하는데, 지금까지 KT 주총을 비춰보면 출석주주는 66% 정도였고, 이중 3분의 2 이상을 확보하려면 44% 이상의 지지를 받아야 합니다."
2023.06.02,신한지주,2일 한국거래소에 따르면 전일 신한지주 외국인 지분율은 59.57%로 집계됐습니다.
2023.06.01,신한지주,"서울 중구 신한금융그룹 본사.<신한금융지주> 신한금융이 올여름 그룹사 킬러 서비스를 한데 모은 슈퍼앱을 발표할 예정인 가운데 앞서 다른 성공 사례처럼 구독 서비스 즉, '유료 멤버십'을 함께 선보일지 금융업계가 주목하고 있습니다."
2023.06.01,신한지주,서울 세종대로 신한금융지주 사옥 / 사진=신한금융지주 최근 국내 주식시장의 '큰손'인 외국인 투자자와 국민연금이 신한금융지주 지분은 처분해 신한금융의 고민이 커지는 분위기입니다.
2023.06.02,신한지주,"아울러 지난해 12월 세번째 연임을 포기한 조용병 전 신한금융지주 회장에게는 ""후배들에게 기회를 주시는 것을 보니 개인적으로 존경스럽다""고 말하는 등 장기집권에 반대하는 듯한 입장을 내비치면서 금융권을 압박했습니다."
2023.06.02,신한지주,외국인 순매수 상위종목은?...SK하이닉스 1240억 사들여 순매수 1위
2023.06.02,신한지주,"(92억원)를 순매수했고 셀트리온(258억원)를 비롯해 DB하이텍(247억원), 하이브(141억원), 이수스페셜티케미컬(92억원), 현대모비스(90억원), NAVER(90억원), LG전자(89억원), 엔씨소프트(80억원), 영풍제지(71억원), KT&G(64억원), 신한지주(62억원), 삼성바이오로직스(57억원)를 순매도 했습니다."
2023.06.02,신한지주,"KB 금융지주, 신한금융지주와 같은 국내 은행사는 물론 카드, 보험, 증권, 핀테크 등 다양한 업종의 국내 금융사들은 이제 디지털 금융 서비스의 경쟁력 확보를 위해 플랫폼 전환을 서두르고 있습니다."
2023.06.02,신한지주,"(64억원), 신한지주(62억원), 삼성바이오로직스(57억원), 메디톡스(51억원), 펄어비스(49억원), 오픈엣지테크놀로지(48억원), 휠라홀딩스(45억원), 슈어소프트테크(43억원) 등입니다."
2023.06.03,신한지주,BGF리테일·셀트리온·신한지주·에코프로비엠 등 32개(33%) 기업은 2도 이내 그룹(B)에 속했습니다.
2023.06.02,신한지주,신한금융지주는 현재까지 총 2866억 원의 자사주를 소각 중에 있습니다.
2023.06.04,신한지주,"[주간 투자자 동향] 외국인, 반도체 투톱 1조3000억 싹쓸이"
2023.06.02,신한지주,[개장시황] 2차전지·반도체·금융·바이오헬스케어 상승
2023.06.03,신한지주,"신한지주도 배당금 지급 방식과 규모, 배당수익률까지 KB금융을 많이 닮았습니다."
2023.06.04,신한지주,"(560억원), SK이노베이션(520억원), 삼성전기(349억원)등을 순매수한 반면 POSCO홀딩스(1349억원)를 비롯해 LG화학(985억원), 엔씨소프트(574억원), 현대차(563억원), KB금융(479억원), 삼성전자우(420억원), KT&G(334억원), 신세계(317억원), DB하이텍(303억원), 신한지주(262억원)등을 매도했습니다."
2023.06.05,신한지주,신한금융지주의 외국인 투자자 지분율이 꾸준히 낮아지고 있어 진옥동 신한금융지주 대표이사 회장의 고민도 깊어지고 있습니다.
2023.06.05,신한지주,"사진=신한지주 신한금융그룹은 5일 서울 노원구에 위치한 신한은행 북부본부에서 사회복지공동모금회, 굿네이버스와 함께 62번째 '희망영웅상' 전달식을 진행했다고 밝혔습니다."
