날짜,기업이름,요약내용
2023.06.03,아모레퍼시픽,"미래에셋증권, 6월 첫째주 SK바이오팜 등 55종목 매수 추천"
2023.06.10,아모레퍼시픽,"이밖에 공매도 잔고비중이 높은 종목은 아모레퍼시픽 3.83%, SK네트웍스 3.50%, 호텔신라 3.39%, DB하이텍 3.37%, SKC 3.26% 등입니다."
2023.06.08,아모레퍼시픽,"삼성카드, '삼성 iD VITA 카드' 출시 기념 아모레퍼시픽 컬레버 이벤트 삼성카드는 '삼성 iD VITA 카드' 출시를 기념해 아모레퍼시픽과 함께 '삼성 iD VITA 카드' 고객을 대상으로 컬래버 이벤트를 진행한다고 8일 밝혔습니다."
2023.06.06,아모레퍼시픽,"신라면세점은 아모레퍼시픽과 함께 '그 시절, 우리가 사랑했던 유행 화장' 전시를 진행하고 있습니다."
2023.06.05,아모레퍼시픽,[브리핑] 아모레퍼시픽·LF·이랜드
2023.06.01,아모레퍼시픽,"이 기간 아모레퍼시픽과 LG생활건강이 각각 15%, 13.3% 하락한 것과 대비됩니다."
2023.06.11,아모레퍼시픽,"중국의 한한령 등에 따른 실적 부진에 고전했던 화장품 대장주 아모레퍼시픽, LG생활건강 등의 주가가 지난 9일 일제히 반등했기 때문입니다."
2023.06.02,아모레퍼시픽,"스킨유 모델 신세경과 신제품 ⓒ사진 제공=아모레퍼시픽 스킨유, 신제품 출시하고 신세경과 캠페인 전개 아모레퍼시픽 바디 케어 브랜드 스킨유(SKIN U)는 샤워젤과 스크럽 신제품을 출시하고 브랜드 모델 신세경과 광고 캠페인을 전개한다고 2일 밝혔습니다."
2023.06.06,아모레퍼시픽,사진=1.아모레퍼시픽 2.더마펌 3.티르티르 국내 화장품 기업들이 해외 석학들과 바이어 등을 대상으로 직접 기술력을 소개하는 자리를 확대하며 글로벌 시장 공략에 적극적으로 나서 관심을 모읍니다.
2023.06.07,아모레퍼시픽,애경산업(018250)이 실적 개선과 함께 주가도 회복세를 보이는 반면 한때 화장품 대장주로 불렸던 LG생활건강(051900)과 아모레퍼시픽(090430) 주가는 바닥권을 맴도는 모습입니다.
2023.06.07,아모레퍼시픽,"아모레퍼시픽 에스트라, 대학생 콘텐츠 크리에이터 'A마스터' 2기 모집 출처=아모레퍼시픽 아모레퍼시픽의 메디뷰티 브랜드 에스트라(AESTURA)가 오늘(7일)부터 'A마스터' 2기 모집을 시작합니다."
2023.06.08,아모레퍼시픽,피부톤 측정 이후 1대1 컬러 컨설팅 작년 9월 아토코스메 입점하며 日 진출 아모레퍼시픽 라네즈가 일본 시장 공략에 박차를 가합니다.
2023.06.05,아모레퍼시픽,아모레퍼시픽은 5월 28일 일요일 서초구 더케이호텔 서울에서 열린 대 한모발학회 학술대회에서 심포지엄을 개최했습니다.
2023.06.03,아모레퍼시픽,사진=한다원 기자 아모레퍼시픽이 맞춤형 메이크업 전문 브랜드 '톤워크(TONEWORK)'를 출시했습니다.
2023.06.09,아모레퍼시픽,아모레퍼시픽이 일본에 더마 코스메틱(기능성 화장품) 브랜드 '에스트라'를 확대하고 있습니다.
2023.06.07,아모레퍼시픽,아모레퍼시픽의 메디뷰티 브랜드 에스트라는 7일부터 'A마스터' 2기 모집을 시작합니다.
