날짜,기업이름,요약내용
2023.07.14,우리금융지주,14일 금융권에 따르면 오는 25일 KB금융지주를 시작으로 27일 신한‧하나‧우리금융지주의 상반기 실적이 공개됩니다.
2023.07.10,우리금융지주,"10일 금융권에 따르면 KB금융지주와 신한금융지주, 우리금융지주는 오는 14일 전 임원진이 참석하는 하반기 경영전략회의를 엽니다."
2023.07.27,우리금융지주,"전년比 12.7%↓, 사모펀드 관련 충당금 540억 반영···CET1비율 12% 유지 우리금융지주의 올 상반기 당기순이익이 전년에 비해 감소한 것으로 나타났습니다."
2023.07.09,우리금융지주,[인사] 우리금융지주
2023.07.14,우리금융지주,"진옥동 신한금융지주 회장, 임종룡 우리금융지주 회장 임 회장은 취임 이후 줄곧 증권사 인수에 공개적으로 의지를 드러내고 있습니다."
2023.07.14,우리금융지주,임종룡 우리금융지주 회장 역시 이날 서울 중구 회현동 소재 본점에서 열린 하반기 경영전략회의에서 내실경영의 일환으로 기업문화혁신을 적극 강조한 것으로 알려진 상태입니다.
2023.07.23,우리금융지주,"왼쪽 카드부터 카드의정석 EVERY MILE SKYPASS, 카드의정석 EVERY 1, 카드의정석 EVERY CHECK.ㅣ우리카드 제공 우리금융지주 자회사 우리카드는 독자적인 가맹점 운영 개시와 동시에 '카드의정석' 3종을 새롭게 출시한다고 24일 밝혔습니다."
2023.08.18,우리금융지주,카드·종금·캐피탈 등 자회사 돌며 본업 경쟁력 강화 주문 기업금융 시너지 강조…하반기 자산클린화 중점 목표로 우리금융지주가 연내 비은행 강화라는 과제를 풀 수 있을지 관심거리입니다.
2023.07.11,우리금융지주,"우리금융, 그룹 IT 서비스 '직접 운영'으로 전환 우리금융지주는 시장의 요구에 능동적으로 대응하고, 속도감 있는 디지털 전환을 위해 주요 IT 개발 및 운영업무를 은행과 카드사가 직접 수행하는 체제로 전환하는 방안을 추진합니다."
2023.07.10,우리금융지주,하나금융지주는 KDB생명 매각 초기부터 우리금융지주와 함께 유력한 인수 후보 중 하나로 거론된 바 있으나 앞선 예비입찰에서는 참여의사를 밝히지 않았습니다.
2023.07.09,우리금융지주,[인사] 우리금융지주
2023.07.24,우리금융지주,"24일 금융권에 따르면 오는 25일 KB를 시작으로 27일 신한, 하나, 우리 등 주요 금융지주사들이 2분기 실적을 발표합니다."
2023.07.09,우리금융지주,"하이브, 공매도 거래량 '감소'... 공매 거래대금 '49억 규모'"
2023.07.10,우리금융지주,최근 우리금융지주의 주요 관심사는 단연 비은행 계열사 인수합병(M&A)의 성사 여부입니다.
2023.07.23,우리금융지주,우리카드는 BC카드 결제망에서 독립한 기념으로 신상품 3종을 내놓고 마케팅을 강화합니다.
2023.07.08,우리금융지주,"이엔플러스, 공매도 거래량 '18건 증가'... 주가 '입꼬리 승천'"
2023.07.11,우리금융지주,우리금융지주 제공 우리금융그룹이 정보기술(IT) 서비스를 그룹 내 특정 자회사 한 곳이 맡던 기존 방식에서 벗어나 우리은행 등 주요 자회사가 직접 수행하는 방식으로 바꿀 방침입니다.
