날짜,기업이름,요약내용
2023.06.01,카카오,카카오모빌리티 대리 기사가 월 2만2천원을 내면 단독 배정권 등을 이용할 수 있는 유료 멤버십 '프로' 서비스를 이달 말 종료합니다.
2023.06.01,카카오,포털 서비스를 운영 중인 네이버와 카카오가 이용자 보호를 위해 게시물에 포함하면 안 되는 '혐오 표현'을 구체화해 적용하기로 했습니다.
2023.06.01,카카오,카카오뱅크는 26주 적금 상품 가입자에게 카카오웹툰 앱에서 사용할 수 있는 캐시 쿠폰을 제공하는 '26주 적금 with 카카오웹툰'을 출시한다고 1일 밝혔습니다.
2023.06.01,카카오,카카오게임즈가 기존 인기작의 서비스 지역 확대와 신작 출시로 재도약의 발판을 마련할지 귀추가 주목되고 있습니다.
2023.06.01,카카오,이투데이=정성욱 기자 | 한국금융지주 자회사 한국투자증권은 카카오뱅크 앱(애플리케이션) 내 발행어음 거래 서비스 '약속한 수익 받기'를 시작한다고 1일 밝혔습니다.
2023.06.01,카카오,카카오가 약 840평 규모의 신규 직장 어린이집 '별이든'을 개원했다고 1일 밝혔습니다.
2023.06.01,카카오,네이버와 카카오에서 제공하는 인물정보 서비스에 새로운 직업명 5개가 추가됐습니다.
2023.06.01,카카오,카카오뱅크는 한국투자증권과 손잡고 '약속한 수익 받기' 서비스를 출시한다고 1일 밝혔습니다.
2023.06.01,카카오,네이버웹툰과 카카오웹툰이 자사 공모전에 사람이 직접 그린 웹툰만 출품할 수 있는 공모전을 열거나 생성형 AI 활용 출품을 제한하는 규정을 신설해 주목됩니다.
2023.06.01,카카오,카카오 VX 스크린 골프 브랜드 프렌즈 스크린이 한국타이어와 함께 '한국타이어 춘식이컵'을 개최합니다.
2023.06.02,카카오,카카오는 중소 비즈니스 파트너들에게 제공하는 온라인 비즈니스 교육 프로그램 '카카오비즈니스 세미나'를 제작하는 스튜디오를 판교 아지트에 개설했다고 2일 밝혔습니다.
2023.06.02,카카오,카카오뱅크(323410)는 이달 1일 출시한 '26주적금 with 카카오웹툰'이 출시 하루 만에 10만좌 이상 팔렸다고 2일 밝혔습니다.
2023.06.02,카카오,나머지 8건은 카카오톡을 기반으로 한 새로운 유형의 피해로 파악됐습니다.
2023.06.02,카카오,A씨는 사회관계망서비스(SNS) 광고를 통해 알게 된 카카오톡 링크(URL)를 타고 들어가 신원을 알 수 없는 판매자로부터 33만8000원 상당의 다이어트 한약을 구매했습니다.
2023.06.02,카카오,"""예솔아, 아빠가 삼전이랑 카카오도 사놨어""는 더 글로리 명대사로 꼽힙니다."
2023.06.02,카카오,"카카오는 ""소상공인을 지원하기 위해 판교 사옥에 방송 스튜디오인 '카카오비즈니스 스튜디오'를 개설한다""고 2일 발표했습니다."
2023.06.02,카카오,카카오게임즈 '우마무스메 프리티 더비' 1주년 오프라인 행사 여기에 관람객들과 함께 호흡할 수 있는 생동감 넘치는 특별 무대 시간도 마련합니다.
2023.06.02,카카오,카카오가 판교에 '카카오 비즈니스 스튜디오'를 열었습니다.
2023.06.02,카카오,네이버와 카카오가 운영하는 웹툰·웹소 플랫폼이 생성형 인공지능(AI) 활용에 대한 고민이 커지고 있습니다.
2023.06.02,카카오,카카오의 알뜰폰 계열사 스테이지파이브가 ESG(환경·사회·지배구조) 위원회를 설립하고 초대 의장으로 민원기 전 과학기술정보통신부 차관을 선임했습니다.
2023.06.03,카카오,카카오의 '투데이 버블'은 정보의 출처가 방대하고 분석 대상 기간이 더 길며 순위 없이 무작위로 여러 키워드가 노출됩니다.
2023.06.03,카카오,카카오웹툰 스튜디오 또한 지난 5월 30일 공지를 통해 오는 6일까지 '인간이 웹툰을 지배함' 게릴라 공모전을 연다고 밝혔습니다.
2023.06.03,카카오,"카카오, ESG 보고서 통해 서비스 장애 대응 소개 카카오가 ESG(환경·사회·지배구조) 측면의 목표와 성과를 담은 세번째 연간 보고서 '2022 카카오의 약속과 책임'을 발간했습니다."
2023.06.03,카카오,특히 올해 주가가 지지부진한 카카오에 주목했습니다.
2023.06.03,카카오,"카카오게임즈가 국내 PC방 프랜차이즈와 함께 컬래버레이션을 진행하고, 이용자들에게 다양한 혜택을 제공하고 있습니다."
2023.06.03,카카오,카카오뱅크가 반년 만에 새롭게 선보인 '카카오웹툰 26주 적금이' 하루 만에 가입 좌수 10만 좌를 달성하면서 인기를 끌고 있습니다.
2023.06.03,카카오,카카오페이는 6월 한 달간 지난달 같은 날짜의 나와 카드 소비액을 겨루는 '카드 절약 챌린지'를 진행한다고 3일 밝혔습니다.
2023.06.04,카카오,국내 양대 테크 기업인 네이버(NAVER)와 카카오가 중소 비즈니스 파트너와 동반 성장을 위해 다양한 프로그램을 마련했습니다.
2023.06.03,카카오,"단순 만화를 넘어 문화로까지 확대될 수 있는 대표 콘텐츠, 국내 웹툰 작품들을 낱낱이 파헤쳐 봅니다."
2023.06.03,카카오,"2일 코스피 시장에서 기관은 카카오, 한화솔루션, POSCO홀딩스, SK이노베이션을 집중 매수했습니다."
2023.06.04,카카오,'최고'의 아티스트 아이유를 보유한 카카오엔터테인먼트가 적자의 늪에 빠졌습니다.
2023.06.04,카카오,카카오 주가가 상승장에서 소외되며 투자자들의 실망감이 커지고 있습니다.
2023.06.04,카카오,위기에 빠진 카카오 기업간거래(B2B) 전문 자회사 '카카오엔터프라이즈'가 사업 구조를 개편하고 허리띠를 졸라맵니다.
2023.06.04,카카오,카카오뱅크가 플랫폼 사업 확대와 연체율 관리를 통해 수익성 및 건전성 제고에 주력하고 있습니다.
2023.06.04,카카오,카카오게임즈(대표 조계현)는 오는 10일부터 11일까지 이틀간 서울 광진구 파이팩토리 스튜디오에서 '우마무스메 프리티 더비'의 1주년 오프라인 행사를 개최한다고 4일 밝혔습니다.
2023.06.04,카카오,네이버와 카카오 등 국내 대표 온라인 플랫폼 기업들은 '생성형 AI'를 활용한 작품의 공모를 불허하는 등 규제에 나섰습니다.
