날짜,기업이름,요약내용
2023.06.01,카카오뱅크,"카카오뱅크, 한국투자증권과 '약속한 수익 받기' 서비스 개시 카카오뱅크가 한국투자증권과 손잡고 '약속한 수익 받기' 서비스를 출시합니다."
2023.06.01,카카오뱅크,한국투자증권은 카카오뱅크 앱(애플리케이션) 내 발행어음 거래 서비스 '약속한 수익 받기'를 시작한다고 1일 밝혔습니다.
2023.06.04,카카오뱅크,카카오뱅크는 영상통화 기반으로 이상금융거래탐지시스템 거래제한 해제 등을 안내하고 있습니다.
2023.06.08,카카오뱅크,"카카오뱅크, 청소년 생활 서비스 'mini 생활' 출시 카카오뱅크가 청소년 고객을 위한 생활 플랫폼 서비스 'mini 생활'을 선보였습니다."
2023.06.03,카카오뱅크,"외국계 은행은 한국씨티은행이 올해 1분기 849억원의 순이익으로 전년 동기보다 두배 늘었고, 인터넷은행인 카카오뱅크는 순이익 1019억원으로 52.5% 급증했습니다."
2023.06.06,카카오뱅크,5대 은행의 자유적립식 적금 상품의 금리도 3.75~5.65%를 나타내며 전월 취급 평균 금리(3.01~4.35%)를 상회했습니다.
2023.06.06,카카오뱅크,"분양잔금대출 감정평가 업체 입찰 공고 ""2024년 출시 목표"" 인터넷 전문은행 맏형 카카오뱅크가 '분양 잔금 대출' 부문으로 여신 포트폴리오를 확대합니다."
2023.06.04,카카오뱅크,"[주간 투자자 동향] 외국인, 반도체 투톱 1조3000억 싹쓸이"
2023.06.09,카카오뱅크,"2023년 6월 2주차 금융업계기상도는 KB국민은행·신한은행·하나은행·NH농협은행·IBK기업은행·카카오뱅크의 '맑음', 케이뱅크의 '구름조금', 토스뱅크의 '흐림', 우리은행의 '비'로 기록됐습니다."
2023.06.01,카카오뱅크,카카오뱅크(323410)는 카카오엔터테인먼트와 함께 이달 1~30일 저축하면서 웹툰을 볼 수 있는 '26주적금 with 카카오웹툰'을 출시한다고 1일 밝혔습니다.
2023.06.04,카카오뱅크,토스뱅크의 중저신용자 신용대출 비중은 42.06%로 카카오뱅크(25.7%)와 케이뱅크(23.9%)보다 높습니다.
2023.06.03,카카오뱅크,한국투자증권 한국투자증권은 카카오뱅크 앱 내 발행어음 거래 서비스 '약속한 수익 받기'를 시작한다고 1일 밝혔습니다.
2023.06.01,카카오뱅크,오늘경제 한국투자증권은 카카오뱅크 앱을 통해 발행어음 거래 서비스 '약속한 수익 받기'를 시작한다고 1일 밝혔습니다.
2023.06.03,카카오뱅크,"한국투자증권의 협의체 '한국투자 ST 프렌즈'는 인터넷전문은행인 카카오뱅크와 토스뱅크가 토큰증권을 기록할 분산원장(블록체인)의 금융기관 시범 운영 파트너로 참여하고, 카카오엔터프라이즈가 분산원장 구축을 위한 기술 파트너로 있습니다."
2023.06.08,카카오뱅크,카카오뱅크는 청소년 고객을 위한 생활 플랫폼 서비스 'mini 생활' 출시하고 기념 이벤트를 진행합니다.
2023.06.02,카카오뱅크,"카카오뱅크, 토스뱅크가 상품을 출시해 인기를 끌자 최근 시중은행까지 경쟁적으로 모임통장을 내놓고 있습니다."
2023.06.09,카카오뱅크,"뱅크와 페이, 에스엠은 할인율 40%를 각각 적용해, 총 자회사 적정 지분가치는 18조8000억원으로 추정됩니다."
2023.06.08,카카오뱅크,반면 가장 큰 하락률을 보인 종목은 카카오뱅크입니다.
2023.06.07,카카오뱅크,한국투자밸류의 카카오뱅크 지분 매각에 따른 일회성 이익의 영향을 제외하면 전분기 대비 당기순이익은 272억원(7.8%) 증가했습니다.
2023.06.07,카카오뱅크,다른 인터넷전문은행들인 카카오뱅크와 케이뱅크 예대율도 80%대로 토스뱅크에 비해 훨씬 높은 편입니다.
2023.06.06,카카오뱅크,"하지만, 카카오뱅크를 비롯해 케이뱅크, 토스뱅크 틍 인터넷전문은행 3사는 앞서 출시된 청년희망적금에 이어 이번 청년도약계좌에도 참여하지 않기로 했습니다."
2023.06.07,카카오뱅크,카카오뱅크(대표 윤호영)의 경우 민원 점유율이 70.6%로 가장 높았고 토스뱅크(대표 홍민택)도 29.4%로 뒤를 이었습니다.
2023.06.01,카카오뱅크,한국투자증권은 카카오뱅크 앱(애플리케이션) 내 발행어음 거래 서비스 '약속한 수익 받기'를 시작한다고 1일 밝혔습니다.
2023.06.04,카카오뱅크,카카오뱅크가 플랫폼 사업 확대와 연체율 관리를 통해 수익성 및 건전성 제고에 주력하고 있습니다.
2023.06.05,카카오뱅크,지난해 10월 15일 오후 3시 30분쯤 카카오가 입주한 판교 SK C&C 데이터센터 화재로 카카오페이와 카카오뱅크의 일부 서비스에 장애가 발생했습니다.
2023.06.03,카카오뱅크,"한국투자증권, 카카오뱅크 내 발행어음 가입 서비스 출시 이번 주에는 다양한 투자 서비스도 나왔습니다."
2023.06.07,카카오뱅크,인터넷전문은행 3사(케이뱅크·카카오뱅크·토스뱅크) 중 일자리창출 우수기업에 선정된 곳은 토스뱅크가 유일합니다.
2023.06.06,카카오뱅크,"(네이버, 카카오, SK텔레콤, KT, LG AI 연구원, 엔씨소프트)나 있기 때문입니다."
2023.06.08,카카오뱅크,카카오뱅크는 청소년 고객을 위한 생활 플랫폼 서비스 '미니(mini) 생활' 출시 기념 이벤트를 한다고 8일 밝혔습니다.
2023.06.03,카카오뱅크,"미래에셋증권, 6월 첫째주 SK바이오팜 등 55종목 매수 추천"
2023.06.08,카카오뱅크,한국핀테크지원센터와 카카오뱅크는 금융·핀테크 분야의 문제를 제시하고 해결하는 핀테크 포용금융 핵셀러레이터를 운영할 예정입니다.
2023.06.03,카카오뱅크,"대출 갈아타기는 대출비교 플랫폼(네이버페이, 뱅크샐러드, 카카오페이, 토스, 핀다 등) 또는 앱스토어·구글 플레이 스토어에서 개별 금융회사 앱(NH농협은행, 신한은행, 우리은행, 기업은행, 하나은행 등)을 내려받아 이용할 수 있습니다."
2023.06.01,카카오뱅크,한국투자증권은 카카오뱅크 앱(애플리케이션) 내 발행어음 거래 서비스 '약속한 수익 받기'를 시작한다고 1일 밝혔습니다.
2023.06.02,카카오뱅크,"(네이버파이낸셜, 카카오페이, 토스, 핀다)과 제휴를 맺고 대출 비교를 할 수 있도록 했습니다."
2023.06.02,카카오뱅크,"아울러 카카오뱅크, 케이뱅크 등 여타 인터넷전문은행은 물론 Sh수협은행까지 비슷한 서비스를 출시하며 혁신성과 인기를 입증했습니다."
2023.06.07,카카오뱅크,"반면 카카오뱅크와 토스뱅크의 올해 1분기 중금리대출 취급 비중은 각각 25.7%, 42.06%로 전년 말 대비 비중이 늘었습니다."
2023.06.03,카카오뱅크,"외국계 은행은 한국씨티은행이 올해 1분기 849억원의 순이익으로 전년 동기보다 두배 늘었고, 인터넷은행인 카카오뱅크는 순이익 1천19억원으로 52.5% 급증했습니다."
2023.06.04,카카오뱅크,"토스뱅크의 지금 이자 받기 서비스가 흥행하자 케이뱅크와 Sh수협은행, 카카오뱅크 등도 잇따라 비슷한 서비스를 출시하기 시작했습니다."
2023.06.09,카카오뱅크,사정이 비슷한 카카오뱅크의 NIM이 전분기대비 21bp 큰 폭으로 하락했지만 케이뱅크 하락폭의 절반 수준에 그쳤습니다.
2023.06.07,카카오뱅크,한국투자증권은 지난 3월 인터넷 전문은행 카카오뱅크ㆍ토스뱅크와 함께 토큰증권 협의체 '한국투자 ST 프렌즈'를 결성하고 본격적으로 토큰증권 생태계 구축에 나선다고 밝혔습니다.
2023.06.02,카카오뱅크,"한국투자증권, 카카오뱅크 발행어음 거래서비스 출시 한국투자증권이 카카오뱅크 앱(애플리케이션) 내 발행어음 거래 서비스 '약속한 수익 받기'를 시작합니다."
2023.06.09,카카오뱅크,온라인·원스톱 대환대출 서비스는 네이버페이·카카오페이·뱅크샐러드·토스·핀다 등 대출비교플랫폼과 개별 금융회사 앱 두 가지 방법으로 이용할 수 있습니다.
2023.06.04,카카오뱅크,카카오뱅크는 지난 1일 출시한 '26주적금 with 카카오웹툰'이 출시 24시간 만에 누적 개설 계좌수 10만 좌를 달성했다고 4일 밝혔습니다.
2023.06.06,카카오뱅크,카카오뱅크나 토스·케이뱅크 인터넷전문은행들은 청년도약계좌의 진행 과정 중 특별중도해지 요건 확인이나 소득증빙 등의 작업이 100% 비대면으로 처리하기 어렵다는 이유로 참가하지 않습니다.
2023.06.11,카카오뱅크,"대구, 부산은행도 1,000억원 넘는 순익에 광주은행은 역대 최대, 카카오뱅크는 50% 넘게 불었습니다."
2023.06.05,카카오뱅크,카카오뱅크는 전거래일 대비 1.51%(400원) 상승해 2만6950원으로 장을 마감했고 DGB금융지주는 전거래일 대비 1.27%(90원) 올라 7150원으로 장을 마쳤습니다.
2023.06.08,카카오뱅크,8일 금융업계에 따르면 카카오뱅크와 토스가 10대 고객을 위한 급식표·시간표 등 정보제공 서비스를 운영 중입니다.
2023.06.01,카카오뱅크,카카오뱅크는 한국투자증권과 손잡고 '약속한 수익 받기' 서비스를 출시한다고 1일 밝혔습니다.
2023.06.04,카카오뱅크,카카오게임즈는 우마무스메 프리티 더비 페스티벌을 오는 10일부터 11일 양일 간 서울시 광진구에 위치한 파이팩토리 스튜디오에서 개최합니다.
2023.06.01,카카오뱅크,한국투자증권 사진 제공 1일 한국투자증권은 카카오뱅크 앱(애플리케이션) 내 발행어음 거래 서비스 '약속한 수익 받기'를 시작한다고 밝혔습니다.
2023.06.11,카카오뱅크,카카오 네이버 쿠팡 등에서 합류한 좋은 인력들이 지금도 주말 없이 일하고 있습니다.
2023.06.08,카카오뱅크,"다른 시중은행의 뱅킹앱 중에서는 카카오뱅크(29만건)가 6위, 하나원큐(22만건) 8위, 우리원뱅킹(22만건) 9위에 그쳤습니다."
2023.06.09,카카오뱅크,"지난해부터 경기 침체 우려로 둔화됐던 투심 회복, 같은 인터넷전문은행인 카카오뱅크의 주가, 현재 시장에서 평가하는 케이뱅크 기업가치 등 복합적인 요인을 중심으로 시장 상황을 조심스럽게 살피는 중입니다."
2023.06.11,카카오뱅크,금융지주가 추진해왔던 통합 원앱·디지털 유니버셜 뱅크가 현실화 되면 하나의 플랫폼을 통해서 은행·증권·보험·카드 업무를 처리할 수 있게 됩니다.
2023.06.11,카카오뱅크,카카오뱅크 '카카오뱅크 자유적금'은 연 3.80%의 금리를 제공합니다.
2023.06.01,카카오뱅크,카카오뱅크는 카카오엔터테인먼트와 함께 '26주적금 with 카카오웹툰'을 출시한다고 1일 밝혔습니다.
2023.06.06,카카오뱅크,"EPAS는 국내에서도 KT, 카카오뱅크, BC카드, 한국연구재단 등 주요 대기업을 비롯해 공공, 금융권 등 100여 곳 이상 고객들이 선택한 솔루션이기도 합니다."
2023.06.02,카카오뱅크,[브랜드평판] 핀테크 관련 상장기업 2023년 6월 빅데이터 분석결과...1위 네이...
2023.06.10,카카오뱅크,"각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주십시오."
2023.06.05,카카오뱅크,카카오뱅크는 출범 이후 은행의 편견을 뛰어넘는 상품을 선보이며 시중 유동성을 빨아들이는 블랙홀이 됐습니다.
2023.06.08,카카오뱅크,은행주의 부진한 흐름 속에 홀로 상승세를 이어가던 카카오뱅크가 주춤하고 있습니다.
2023.06.07,카카오뱅크,텐센트는 앞서 카카오뱅크에 대한 투자로 막대한 수익을 올린 바 있습니다.
2023.06.11,카카오뱅크,카카오·다음CIC 또한 새로운 뉴스 댓글 시스템 '타임톡'을 도입했습니다.
2023.06.03,카카오뱅크,카카오뱅크가 반년 만에 새롭게 선보인 '카카오웹툰 26주 적금이' 하루 만에 가입 좌수 10만 좌를 달성하면서 인기를 끌고 있습니다.
2023.06.05,카카오뱅크,"변경 사실이 없는 고객은 고객센터로 연락을 달라""라는 카카오톡 메시지를 받고 케이뱅크 고객센터에 전화해 계좌를 즉시 정지해 달라고 요청했습니다."
2023.06.01,카카오뱅크,카카오뱅크는 한국투자증권과 손잡고 '약속한 수익 받기' 서비스를 출시한다고 1일 밝혔습니다.
2023.06.12,카카오뱅크,"이어 카카오뱅크(93만7천명), NH농협은행(80만3천명), 신한은행(79만6천명), 하나은행(78만5천명), 우리은행(67만3천명), 케이뱅크(48만3천명), 토스뱅크(27만8천명) 등의 순이었습니다."
2023.06.02,카카오뱅크,카카오뱅크는 '26주적금 with 카카오웹툰'이 출시 하루만에 누적 개설 계좌수 10만좌를 달성했다고 2일 밝혔습니다.
2023.06.11,카카오뱅크,주목할 점은 야후재팬의 모회사인 소프트뱅크와 라인의 관계사인 네이버의 지분이 각각 50대 50이라는 사실입니다.
2023.06.12,카카오뱅크,"뱅크몰, 주택담보대출 제휴 금융사 60곳 선점 주택담보대출 핀테크 기업 뱅크몰이 자사의 서비스에 제휴된 금융사가 60곳을 넘었다고 밝혔습니다."
2023.06.11,카카오뱅크,케이뱅크는 인터넷은행 시장에서 카카오뱅크·토스뱅크 등과 경쟁을 펼치고 있습니다.
2023.06.02,카카오뱅크,한국금융지주 자회사 한국투자증권은 카카오뱅크 앱(애플리케이션) 내 발행어음 거래 서비스 '약속한 수익 받기'를 시작한다고 2일 밝혔습니다.
2023.06.03,카카오뱅크,"카카오뱅크 '26주적금 with 카카오웹툰', 하루만에 10만좌 카카오뱅크는 지난 1일 출시한 '26주적금 with 카카오웹툰'의 누적 계좌 개설 수가 출시 하루(24시간)만에 10만좌를 돌파했다고 지난 2일 밝혔습니다."
2023.06.12,카카오뱅크,경쟁사인 카카오뱅크의 연체율이 같은 기간 0.49%에서 0.58%로 0.09%포인트 상승한 것과 상반된 모습입니다.
2023.06.02,카카오뱅크,"외국계 은행은 한국씨티은행이 올해 1분기 849억원의 순이익으로 전년 동기보다 두배 늘었고, 인터넷은행인 카카오뱅크는 순이익 1천19억원으로 52.5% 급증했습니다."
2023.06.24,카카오뱅크,"주성엔지니어링, 공매도 거래량 '3만건 가량 증가'... 주가 '룰루랄라 콧노래..."
2023.06.13,카카오뱅크,카카오뱅크가 금융 서비스에서부터 일상생활까지 모두 아우르는 청소년 생활플랫폼 구축에 나섰습니다.
2023.06.08,카카오뱅크,"이어 ""현재 인포뱅크 iMessage는 네이버 및 카카오의 공식 챗봇 파트너로 메시징 서비스 포탈 '비즈플러스'를 비롯 웹 메시징 서비스 윙고, 챗봇/콜봇 컨설팅 및 구축 사업 등 기업들의 대고객 커뮤니케이션에 필요한 다양한 서비스를 제공하고 있다.""고 덧붙었습니다."
2023.06.20,카카오뱅크,"2위 KB국민은행, 3위 토스, 4위 NH농협은행 순 [공무원수험신문=] 대학생이 뽑은 금융기업 1위에 카카오뱅크가 선정됐습니다."
2023.06.02,카카오뱅크,"2023년 6월 1주차 금융업계기상도는 KB국민은행·하나은행·우리은행·NH농협은행·IBK기업은행·카카오뱅크·토스뱅크의 '맑음', 케이뱅크의 '구름조금', 신한은행의 '흐림'으로 기록됐습니다."
2023.06.05,카카오뱅크,"금융회사 지배구조법상 은행은 감사위원회를 두고 있는 경우 상임감사직을 의무적으로 둘 필요가 없어 토스뱅크, 카카오뱅크 역시 상임감사직을 별도로 두고 있지 않습니다."
2023.07.20,카카오뱅크,10%(50원) 상승해 4만8200원으로 장을 마쳤습니다.
2023.06.02,카카오뱅크,"은행권의 평균 연체율은 0.33%로 작년 말 대비 0.08%포인트(p) 상승한 추세를 감안하면 지표 수준 자체가 상당히 높고, 이중 인터넷은행인 카카오뱅크와 케이뱅크가 각각 0.58%, 0.82%가량인 것과 비교해도 눈에 띕니다."
2023.06.03,카카오뱅크,"각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주십시오."
2023.06.05,카카오뱅크,현재 케이뱅크는 급성장하는 토스뱅크와 앞질러 가는 카카오뱅크 사이에 낀 상태입니다.
2023.06.23,카카오뱅크,전 은행 중 취급금리가 가장 낮았던 곳은 카카오뱅크입니다.
2023.06.05,카카오뱅크,"카카오뱅크, 케이뱅크, 토스뱅크 등 인터넷은행 3사는 빠졌습니다."
2023.06.05,카카오뱅크,"카카오페이증권(대표 이승효)이 내부거래액 142억 원으로 2위를 차지했고 카카오뱅크(121억 원), 케이큐브홀딩스(25억 원), 카카오페이손해보험(1억 원)이 그 뒤를 이었습니다."
2023.07.07,카카오뱅크,"하나은행이 1,636건의 ESG경영 정보량으로 4위를 기록했습니다."
