날짜,기업이름,요약내용
2023.06.05,크래프톤,치고받은 공방전 끝에 페이즈 1을 제패하고 정상에 올랐지만 웃지 못했습니다.
2023.06.02,크래프톤,"코스피, 외국인·기관 '대량 매수'에 1년만에 2,600 돌파…외인 삼성전자·LG..."
2023.06.03,크래프톤,크래프톤 크래프톤의 독립 스튜디오 라이징윙스가 실시간 전략 디펜스 모바일 게임 '디펜스 더비(Defense Derby)'의 얼리 액세스 테스트 기록을 공개했습니다.
2023.06.08,크래프톤,장병규 크래프톤 이사회 의장/캐리커쳐=디미닛 크래프톤이 패스트트랙아시아 최대주주가 됐습니다.
2023.06.08,크래프톤,크래프톤 독립 스튜디오 라이징윙스는 소셜 샌드박스 서비스 '마르코 엔터테인먼트'로 '스팀 넥스트 페스트'에 참가한다고 8일 밝혔습니다.
2023.06.05,크래프톤,"AP신문(AP뉴스)/ 이미지 제공 = 크래프톤 ▲디플러스 기아 파비안(FAVIAN, 박상철) 선수 디플러스 기아(DK)의 팀장 파비안(FAVIAN, 박상철) 선수가 PMPS 2023 시즌2 페이즈1 준우승에 대한 아쉬움을 강하게 드러냈습니다."
2023.06.06,크래프톤,크래프톤은 최근 '배틀그라운드 모바일 인도(BGMI)' 앱 마켓 신규 다운로드 허용을 인도 정부로부터 조건부로 승인 받았습니다.
2023.06.01,크래프톤,게임사 크래프톤은 지난 4월 딥러닝 본부에 윤리위원회를 꾸리고 AI 윤리 논의와 데이터 사용 관련 가이드를 만드는 데 힘쓰고 있습니다.
2023.06.08,크래프톤,투자 다각화로 미래 성장 동력 확보 총력 크래프톤이 스타트업 지주회사 패스트트랙아시아에 투자를 단행했다고 8일 밝혔습니다.
2023.06.05,크래프톤,크래프톤 주가가 '배틀그라운드 모바일 인도' 서비스 재개에 주목을 받는 가운데 반등하며 19만원대를 회복했습니다.
2023.06.02,크래프톤,"1분기 매출액과 영업이익이 각각 4788억원, 816억원으로 전년동기 대비 39.42%, 66.57% 줄어 게임업종의 대장주인 크래프톤과 대조를 보였습니다."
2023.06.02,크래프톤,[게임 K-뉴딜] NHN 1.71% 올라 업종 내 상승률 상위권
2023.06.03,크래프톤,"한편, '배틀그라운드 모바일 프로 시리즈(PMPS) 2023'은 배틀그라운드 모바일의 국내 최강 팀을 가리는 프로 리그입니다."
2023.06.10,크래프톤,"배틀그라운드 모바일, 항저우 아시안게임 국가대표 명단 확정=크래프톤은 제19회 항저우 아시안게임 '배틀그라운드 모바일' 종목에 출전할 대한민국 국가대표 최종 명단이 확정됐다고 밝혔습니다."
2023.06.03,크래프톤,"한편, '배틀그라운드 모바일 프로 시리즈(PMPS) 2023'은 배틀그라운드 모바일의 국내 최강 팀을 가리는 프로 리그입니다."
