날짜,기업이름,요약내용
2023.06.04,포스코인터내셔널,포스코그룹의 이차전지 밸류체인에서 원료공급과 트레이딩을 맡고 있는 포스코인터내셔널은 지난달 호주계 광업회사 블랙록마이닝의 자회사인 탄자니아 파루 그라파이트와 이차전지용 천연흑연 장기 공급계약을 체결했습니다.
2023.06.02,포스코인터내셔널,"포스코홀딩스는 자동차, 조선, 가전 등 산업에 원자재를 공급하는 철강사업(포스코)을 주력으로 하고 있으며 무역·건설·에너지를 포함한 친환경인프라사업(포스코인터내셔널, 포스코건설, 포스코에너지 등)도 운영합니다."
2023.06.05,포스코인터내셔널,포스코인터내셔널이 매크로(거시경제) 환경 악화에도 올해 수익성이 성장할 것이라는 증권가 전망에 장 초반 강세입니다.
2023.06.04,포스코인터내셔널,정부의 SAF 실증 파트너 GS칼텍스는 지난해 포스코인터내셔널과 업무협약(MOU)을 맺고 △바이오 제품 생산 △원료 정제 △차세대 바이오 연료 사업 등을 공동 추진합니다.
2023.06.01,포스코인터내셔널,포스코홀딩스 자회사인 포스코인터내셔널은 동박 원료인 구리를 포함한 광물 트레이딩 경험을 보유하고 있습니다.
2023.06.11,포스코인터내셔널,우크라이나에서 발생한 키호우카댐 붕괴에도 흑해 연안에 있는 포스코인터내셔널의 곡물터미널은 이상 없는 것으로 확인됐습니다.
2023.06.05,포스코인터내셔널,시가 총액 상위 종목 살펴보면 오르면서 마감된 종목이 우세한 가운데 LG전자의 펀더멘탈에는 증권가의 호평이 제기되면서 LG전자 주가가 52일 연속 신고가를 기록한 채 3거래일 연속 오름세를 이어갔고 포스코 인터내셔널이 증권가의 호평에 힘입어 6% 넘는 강세로 장을 마감했습니다.
2023.06.05,포스코인터내셔널,대신증권이 포스코인터내셔널에 대해 경기 침체 국면에서도 올해 성장이 가능할 것으로 판단하며 투자의견 '매수'와 목표주가 3만7000원을 신규 제시했습니다.
2023.06.04,포스코인터내셔널,"[주간 투자자 동향] 외국인, 반도체 투톱 1조3000억 싹쓸이"
2023.06.05,포스코인터내셔널,"대신증권은 포스코인터내셔널에 대해 매크로 환경 악화 국면이지만 동사의 이익 체력을 감안하면 올해도 성장이 가능할 것이라며 투자의견 '매수', 목표주가 3만7000원을 제시했습니다."
2023.06.05,포스코인터내셔널,"포스코그룹은 지주사 포스코홀딩스와 포스코퓨처엠, 포스코뿐 아니라 포스코인터내셔널까지 나서 2차전지 소재 공급망 구축에 온힘을 기울이고 있습니다."
2023.06.08,포스코인터내셔널,포스코인터내셔널이 블록체인 기술을 활용한 디지털 무역 거래에 속도를 냅니다.
2023.06.05,포스코인터내셔널,2분기 철강 부문의 높은 마진률과 에너지 부문의 견조한 이익이 예상된다는 증권가 호평에 포스코인터내셔널이 장 초반 강세입니다.
2023.06.01,포스코인터내셔널,"1일 포스코그룹에 따르면 포스코홀딩스, 포스코인터내셔널, 포스코퓨처엠 등으로 구성된 2차전지 밸류체인을 구축했습니다."
2023.06.11,포스코인터내셔널,포스코인터내셔널은 호주 블랙록마이닝 자회사로부터 탄자니아 천연 흑연을 25년간 총 75만톤(t)을 공급받는 계약을 체결했습니다.
2023.06.01,포스코인터내셔널,"포스텍이 지난 2월 28일 기준으로 보유하고 있는 포스코 그룹주는 포스코홀딩스 198만주(지분율 2.34%), 포스코퓨처엠 217만주(2.81%), 포스코DX 119만주(0.78%), 포스코인터내셔널 17만주(0.1%), 포스코이앤씨 87만주(2.07%), 포스코기술투자 104만주(5.0입니다."
2023.06.09,포스코인터내셔널,지수 구성 종목 중 포스코인터내셔널은 지난 8일 16.04% 상승해 코스피200 지수 구성 종목 중 주가상승률 1위를 기록했습니다.
2023.06.07,포스코인터내셔널,[쌍끌이 일타강사] AI 관련 이슈라면 다 엮였다! <오픈엣지테크놀로지>
2023.06.06,포스코인터내셔널,"탐사, 개발, 생산 프로젝트를 진행할 뿐만 아니라 CCS, 수소·암모니아 등 신에너지 분야에도 연구를 지속해 안정적 수익모델 구축에 힘쓸 것""이라고 했습니다."
2023.06.07,포스코인터내셔널,대우 무역부문은 2010년 포스코에 인수된 후 대우인터내셔널과 포스코대우라는 사명을 쓰다가 2019년부터 포스코인터내셔널로 변경됐습니다.
2023.06.01,포스코인터내셔널,"포스코홀딩스는 자동차, 조선, 가전 등 산업에 원자재를 공급하는 철강사업(포스코)을 주력으로 하고 있으며 무역·건설·에너지를 포함한 친환경인프라사업(포스코인터내셔널, 포스코건설, 포스코에너지 등)도 운영합니다."
2023.06.11,포스코인터내셔널,"레인보우로보틱스, 공매도 거래량 '5만건 가량 증가'... 공매 거래대금 '77억..."
2023.06.09,포스코인터내셔널,"주요 사업부문은 자회사 포스코의 철강, 자회사 포스코인터내셔널 및 포스코이앤씨(옛 포스코건설)의 친환경인프라, 자회사 포스코퓨처엠(옛 포스코케미칼)의 친환경미래소재 등입니다."
2023.06.01,포스코인터내셔널,포스코인터내셔널이 당진LNG터미널 사업을 본격화하며 국내 LNG(액화천연가스)사업 강화와 에너지안보 강화에 기여할 전망입니다.
2023.06.02,포스코인터내셔널,이 회사는 호주 배터리 음극재 기업인 에코그라프와 10년간 구속력 없는 음극재 원재료 공급 계약을 체결했습니다.
2023.06.08,포스코인터내셔널,8일 포스코인터내셔널 주가가 장 초반 15% 넘게 상승하고 있습니다.
2023.06.03,포스코인터내셔널,"SK온, 포스코인터내셔널, LG생활건강, LS일렉트릭, 셀트리온, KT커머스 등 대기업 신입사원 모집이 잇따르고 있습니다."
2023.06.04,포스코인터내셔널,포스코그룹의 이차전지 밸류체인에서 원료공급과 트레이딩을 담당하는 포스코인터내셔널은 지난달 호주계 광업회사 블랙록마이닝의 자회사인 탄자니아 파루 그라파이트와 이차전지에 활용하는 천연흑연에 대한 장기 공급계약을 체결했습니다.
2023.06.09,포스코인터내셔널,포스코인터내셔널은 9일 코스피 시장에서 오후 1시19분 현재 전 거래일보다 3.75%(1450원) 하락한 3만7250원에 거래되고 있습니다.
2023.06.01,포스코인터내셔널,"대표적인 기업으로는 SK ON, 포스코인터내셔널, LG생활건강, LS일렉트릭, 셀트리온, KT커머스 등이 있습니다."
2023.06.08,포스코인터내셔널,실적 호조에 대한 전망이 이어지며 매수세가 몰린 것으로 풀이됩니다.
2023.06.12,포스코인터내셔널,바이오 플라스틱 생태계 확장 포스코인터내셔널은 '바이오 플라스틱' 사업 확대를 진행합니다.
2023.06.10,포스코인터내셔널,"한전, 가스공사를 제외하고 민간기업으로 보면 포스코인터내셔널이 11위, LG전자가 12위를 각각 기록합니다."
2023.06.01,포스코인터내셔널,"표기순서는 등락률 순위, 종목명, 31일 종가, 주가 등락률입니다."
2023.06.02,포스코인터내셔널,"포스코퓨처엠, 공매도 거래량 '12만건 가량' 감소...공매 거래대금 '223억' 규..."
2023.06.05,포스코인터내셔널,"LG에너지솔루션은 LG화학, LX인터내셔널, 포스코홀딩스, 중국 화유코발트와 컨소시엄을 꾸리고 인도네시아에 대규모 사업을 추진하고 있습니다."
2023.06.02,포스코인터내셔널,"기존 배터리셀·소재 기업 외에 포스코인터내셔널, SKC, OCI, 현대모비스, 현대글로비스, 대한항공, LX판토스 등이 배터리 원료부터 물류까지 관련 사업 키우기에 속도를 내고 있습니다."
2023.06.07,포스코인터내셔널,"이어 기아(41만6067주), HMM(32만6918주), 포스코인터내셔널(28만2365주), HD현대인프라코어(24만3986주), SK하이닉스(20만5557주), 삼성중공업(18만8308주), LG디스플레이(17만7893주), 휠라홀딩스(12만6900주), DB하이텍(12만1804주) 순으로 뒤를 이었습니다."
2023.06.07,포스코인터내셔널,키움증권이 7일 포스코인터내셔널에 대해 이차전지 소재·원료를 안정적으로 공급하는 '조달 창구' 역할에 주목해야 한다고 했습니다.
2023.06.02,포스코인터내셔널,이에 포스코인터내셔널이 2차전지 소재사업 밸류체인 완성으로 실적 커버에 나서고 있습니다.
2023.06.08,포스코인터내셔널,포스코인터내셔널이 685만대에 이르는 구동모터코아 수주에 성공하며 생산부터 유통까지 아우르는 친환경차 부품전문회사로 입지를 굳혀나가고 있습니다.
2023.06.28,포스코인터내셔널,"2016년 북미시장 진출과 해외고객 기반을 넓히기 위해 포스코인터내셔널, 포스코MPPC와의 합작투자를 통해 설립됐기 때문입니다."
2023.06.02,포스코인터내셔널,"이어 팬오션(39만5901주), 포스코인터내셔널(29만824주), DB하이텍(23만4972주), SK하이닉스(23만4949주), HMM(20만9396주), 포스코퓨처엠(18만915주), 메리츠금융지주(17만8787주), LG디스플레이(16만2261주), 기업은행(14만9076주) 순으로 뒤를 이었습니다."
2023.06.08,포스코인터내셔널,"포스코인터, 현대차에 685만대분 구동모터코아 공급 포스코인터내셔널이 대규모 구동모터코아 수주에 성공하며 친환경차 부품전문회사로 입지를 강화하고 있습니다."
2023.06.08,포스코인터내셔널,포스코인터내셔널이 52주 최고가를 새로 썼습니다.
2023.06.03,포스코인터내셔널,포스코인터내셔널과 LX인터내셔널이 충남 당진에 액화천연가스(LNG) 터미널을 함께 짓습니다.
2023.06.12,포스코인터내셔널,지난 1월 포스코에너지와 합병을 완료해 덩치를 키운 포스코인터내셔널은 풍부한 유동성을 기반으로 신사업에 적극적으로 나서고 있습니다.
2023.06.09,포스코인터내셔널,"10%포스코인터내셔널 : 매수가 31,000원 / 비중 30%OCI홀딩스 : 매수가 94,000원 / 비중 50%※ 생방송 는 월~금 오후 3시 50분에 방송되며, 이 방송은 머니투데이방송홈페이지(http://mtn.co.kr) 및 케이블방송에서 라이브로 시청하실 수 있습니다."
2023.06.09,포스코인터내셔널,연합뉴스 포스코인터내셔널의 자회사 포스코묄리티솔루션이 현대자동차의 친환경 전기차에 들어갈 '구동모터코아' 685만대 공급계약을 체결했습니다.
2023.06.01,포스코인터내셔널,"포스코홀딩스는 자동차, 조선, 가전 등 산업에 원자재를 공급하는 철강사업(포스코)을 주력으로 하고 있으며 무역·건설·에너지를 포함한 친환경인프라사업(포스코인터내셔널, 포스코건설, 포스코에너지 등)도 운영합니다."
2023.06.06,포스코인터내셔널,순서로 ▷한화 ▷LX인터내셔널 ▷동국제강 ▷현대제철 ▷한국가스공사 ▷GS ▷한화생명 ▷DGB금융지주 ▷이마트 ▷우리금융지주 10종목을 들었습니다.
2023.06.04,포스코인터내셔널,이차전지 원료 사업에 진출한 포스코인터내셔널은 지난달 호주계 광업회사 블랙록마이닝의 자회사 파루 그라파이트와 이차전지 배터리용 천연흑연 장기 공급계약을 맺었습니다.
