날짜,기업이름,요약내용
2023.06.01,포스코퓨처엠,포스코그룹 계열사 중 포스코퓨처엠 종목은 전거래일 대비 2.49% 상승해 계열사 중 주가상승률 1위를 기록했습니다.
2023.06.01,포스코퓨처엠,해당 물량을 계열사 포스코퓨처엠(003670)에 공급합니다.
2023.06.01,포스코퓨처엠,"[데이터로 보는 증시]포스코퓨처엠·SK하이닉스, 기관·외국인 코스피 순매수..."
2023.06.01,포스코퓨처엠,"마지막으로 포스코퓨처엠의 기술투자지수는 1,845.0, 기술력점수(TSS)는 146.9, 기업가치추정은 고평가로 나타났습니다."
2023.06.01,포스코퓨처엠,포스코그룹 지주사인 포스코홀딩스도 자회사 포스코퓨처엠이 인조흑연과 음극재 코팅용 피치 등의 음극재 소재를 담당합니다.
2023.06.01,포스코퓨처엠,"지주사인 포스코홀딩스를 비롯해 포스코퓨처엠, 포스코실리콘솔루션 등 주요 계열사마다 2차전지 소재 사업에 사활을 걸고 뛰어들고 있습니다."
2023.06.01,포스코퓨처엠,1일 코스피 시가총액 상위 30개 종목 가운데 포스코퓨처엠 주가가 종가 기준으로 가장 크게 움직였습니다.
2023.06.01,포스코퓨처엠,고압선 절단사고로 내화물공장 정전사태(매일신문 5월 31일 보도)를 맞은 포스코퓨처엠이 정상가동 시기를 2일 오후 8시쯤으로 잡았습니다.
2023.06.01,포스코퓨처엠,포스코퓨처엠과 미국 제네럴모터스가 함께 짓는 배터리 소재 합작공장이 캐나다 정부로부터 3억캐나나달러(약 2926억원)을 지원받게 됐다고 로이터 통신이 보도했습니다.
2023.06.01,포스코퓨처엠,그룹사 가운데서도 이차전지 업체인 포스코퓨처엠의 높은 시세차익으로 가장 많은 수익률을 거뒀습니다.
2023.06.02,포스코퓨처엠,고압선 절단으로 전력 공급이 차단됐던 포스코퓨처엠 포항공장이 가동을 재개했습니다.
2023.06.02,포스코퓨처엠,포스코퓨처엠과 제너럴모터스(GM)가 북미 배터리소재 합작투자를 확대하고 공급망 협력을 강화합니다.
2023.06.02,포스코퓨처엠,포스코퓨처엠-GM 북미에 배터리 핵심소재 양극재·전구체 투자 확대
2023.06.02,포스코퓨처엠,中 의존도 낮추나 포스코퓨처엠과 GM의 동맹이 한층 끈끈해졌습니다.
2023.06.02,포스코퓨처엠,"포스코퓨처엠 ""니켈제련·전구체 관련 투자 현재 논의 중"""
2023.06.02,포스코퓨처엠,양극재·전구체 공장 증·신설…2026년 완공목표 GM·LG엔솔 합작사에 9년간 13.1조원 양극재 공급 포스코퓨처엠과 제너럴모터스(GM)가 배터리 핵심소재인 양극재와 전구체의 북미 합작투자를 확대하고 공급망 협력을 강화하기로 했습니다.
2023.06.02,포스코퓨처엠,사진=포스코퓨처엠 제공 포스코퓨처엠은 제너럴모터스(GM)와 북미 배터리소재 합작투자를 확대하고 공급망 협력을 강화한다고 2일 밝혔습니다.
2023.06.03,포스코퓨처엠,포스코퓨처엠은 미국 완성차 회사 제너럴모터스(GM)와 북미 양극재 합작사 '얼티엄캠'의 생산능력 확대를 위한 2단계 투자에 나선다고 오늘(2일) 밝혔습니다.
2023.06.02,포스코퓨처엠,포스코퓨처엠과 제너럴모터스(GM)가 북미 배터리 소재 합작 투자를 확대하고 공급망 협력을 강화합니다.
2023.06.02,포스코퓨처엠,포스코퓨처엠과 제너럴모터스(GM)가 북미 배터리 핵심소재 합작투자를 확대하고 공급망을 강화합니다.
2023.06.03,포스코퓨처엠,이들 구성 종목 중 포스코퓨처엠은 지난 한주간 15.43% 상승해 KRX 2차전지 K-뉴딜지수 구성 종목 중 주간기준 상승률 1위를 기록했습니다.
2023.06.03,포스코퓨처엠,[철강株 UP&DOWN] POSCO홀딩스 4.3% 상승…KISCO홀딩스 3.5% 현대제철 2.3%
2023.06.03,포스코퓨처엠,"이외에도 현대차와 기아가 1%씩 오르고, LG화학(4.95%), POSCO홀딩스(4.29%), 포스코퓨처엠(4.03%) 등이 상승세를 보였습니다."
2023.06.03,포스코퓨처엠,"미래에셋증권, 6월 첫째주 SK바이오팜 등 55종목 매수 추천"
2023.06.03,포스코퓨처엠,"대보마그네틱은 16.92%로 강세였고, 지오릿에너지, 어반리튬, 강원에너지, 유일에너테크, LG화학, POSCO홀딩스, 포스코퓨처엠, 매리나노텍, 포스코엠텍, 새빗캠, 하이드로리튬, 세방전지, 에코프로, 후성, 천보, 성일하이텍, 금양, 코스모화학, 이엔플러스도 상승마감했습니다."
2023.06.03,포스코퓨처엠,"지난 한 주(2023-05-29~2023-06-0) 코스피 시장에서 기관은 SK이노베이션, LG전자, 포스코퓨처엠을 집중 매수했습니다."
2023.06.05,포스코퓨처엠,미국 인플레이션 감축법(IRA) 수혜 기업으로 꼽히는 포스코퓨처엠의 기세가 매섭습니다.
2023.06.03,포스코퓨처엠,"포스코퓨처엠-GM, 합작회사 얼티움CAM에 10억달러 추가 투자 포스코퓨처엠이 제너럴모터스(GM)와 함께 북미 배터리 소재 합작투자를 확대한다고 밝혔습니다."
