날짜,기업이름,요약내용
2023.06.09,하나금융지주,"2003년 변호사로 개업했고, 2009년 하나금융지주 사외이사를 거쳐 2010년 하나금융지주 이사회의장, 2016년 11월 하나고 이사장으로 부임했습니다."
2023.06.04,하나금융지주,"함영주 하나금융지주 회장은 ""지난해의 3배가 넘는 경쟁률을 뚫고 선발된 젊은 대학생 오피니언 리더들의 열의와 패기가 느껴진다""며 ""젊은 세대의 아이디어와 열정 넘치는 에너지로 3개월간 마음껏 즐기고 도전하며 하나금융그룹을 빛내주길 바란다""고 격려했습니다."
2023.06.08,하나금융지주,"롯데 '놀이터', 하나 'ESG 금융교육'…""육아를 더 쉽게"""
2023.06.06,하나금융지주,4대 금융지주사의 2분기 순이익이 소폭 감소할 것으로 전망됐습니다.
2023.06.13,하나금융지주,최근 금리 상승에 따른 불확실성 확대로 금융지주의 대손충당금 적립 규모가 빠르게 확대되고 있습니다.
2023.06.14,하나금융지주,2022년 1분기 2조6330억원에서 이듬해 4조70억원으로 52.2% 늘었습니다.
2023.06.05,하나금융지주,신한지주는 전거래일 대비 0.86%(300원) 올라 3만5250원으로 장을 마감했고 하나금융지주는 전거래일 대비 0.72%(300원) 상승해 4만1950원으로 장을 마쳤습니다.
2023.06.02,하나금융지주,하나금융지주는 지주사 설립 이래 최초로 지난 4월 분기배당을 도입했습니다.
2023.06.11,하나금융지주,"[주간 투자주체 매매동향] 기관, 삼성전자·SK하이닉스 집중 매수"
2023.06.03,하나금융지주,반면 CJ제일제당·현대글로비스·현대건설·KB금융·삼성바이오로직스·하나금융지주·삼성화재·NH투자증권은 1.5도보다 낮은 1.3도를 기록해 1.5도 이하인 그룹에 속했습니다.
2023.06.01,하나금융지주,하나고는 하나금융지주의 특수관계인이어서 하나금융 계열사인 외환은행이 하나고에 출연하는 것은 대주주에게 무상으로 은행 자산을 넘기는 행위로 봤기 때문입니다.
2023.06.01,하나금융지주,AP신문(AP뉴스)/ 이미지 제공 = 하나금융지주 ▲하나금융그룹은 지난 5월 31일 명동사옥 본점에서 미래에셋증권과 토큰증권 및 웹3.0 사업협력을 위한 업무협약을 체결했습니다.
2023.06.14,하나금융지주,"14일 금융권에 따르면, 코스피 지수가 1년여만에 2600선에 안착하며 하반기 증시 강세론에 힘이 실리고 있습니다."
2023.06.01,하나금융지주,[더벨][금융지주 글로벌 IR 리뷰]금융사 영토 확장에 발 벗고 나선 금감원
2023.06.07,하나금융지주,"컴퍼니케이파트너스, 케이비인베스트먼트, 미래에셋벤처투자, 미래에셋캐피탈, 케이비증권 등이 바로팜에 투자했습니다."
2023.06.10,하나금융지주,이동관 해명 부각 ‘엄호 모드’ 與 …김웅은 “방통위원장 임명하면 대통령에...
2023.06.04,하나금융지주,홍보대사'가 지난 1일 발대식을 시작으로 공식 활동에 들어갔다고 4일 밝혔습니다.
2023.06.09,하나금융지주,"하나금융지주의 2020~2022년 매출액, 영업이익, 당기순이익 실적 추이 [도표 nbn tv] 하나금융은 영유아 ESG 연계 금융·경제 교육, 스마트 교육 기자재 지원 등 양질의 교육 콘텐츠 개발과 디지털 교육환경 조성을 통해 질적인 측면에서의 지역 간 교육 격차도 해소해 나갈 계획입니다."
2023.06.01,하나금융지주,우리금융지주는 전거래일 대비 1.17%(140원) 내려 1만1840원으로 장을 마감했고 하나금융지주는 전거래일 대비 1.09%(450원) 하락해 4만1000원으로 장을 마쳤습니다.
2023.06.08,하나금융지주,"정국 뇌관 된 이동관 아들 학폭 논란…""일방적 가해 아냐"""
2023.06.05,하나금융지주,생애 강성묵은 하나금융지주 부회장 겸 하나증권 대표이사 사장입니다.
2023.06.06,하나금융지주,"입국 직후 다이먼 회장은 서울 광화문 인근 모 호텔로 이동해 진옥동 신한금융지주 회장, 함영주 하나금융지주 회장, 임종룡 우리금융지주 회장, 이석준 NH농협지주 회장, 진승호 KIC 사장 등 국내 주요 금융기관장들과 만났습니다."
2023.06.13,하나금융지주,"해당 기간 KB금융의 외국인 지분율은 2021년 67%에서 72.41%까지 올랐으며, 하나금융지주는 67%대에서 70.13%로, 우리금융지주는 27%대에서 39.25%로 증가했습니다."
2023.06.07,하나금융지주,생명보험의 경쟁력이 취약한 하나금융지주 등도 보험사 인수에 관심을 보이고 있습니다.
2023.06.01,하나금융지주,"5대 금융지주에서는 총자본비율 기준으로 KB금융(16.84%), 농협지주(15.97%), 신한지주(15.81%), 우리금융지주(15.79%), 하나금융지주(15.31%) 순으로 비율이 높았습니다."
2023.06.12,하나금융지주,"""이동관 전화 뒤 김승유 '처벌이 능사냐' 언급""...첫 폭로 교사 인터뷰"
2023.06.06,하나금융지주,나아가서는 당시에 소위 말해서 하나은행의 컨소시엄 개입을 영향력을 행사했다는 것도 중요한 혐의점의 공소사실이었는데 당시에 객관적인 상황상 그렇게 곽상도 전 의원이 하나금융지주 임직원들에게 영향력을 행사해 달라고 부탁할 정도의 위기상황으로 인식했다고 단정하기 어렵습니다.
2023.06.01,하나금융지주,토큰증권 및 웹3.0 사업협력 업무협약…미래 디지털금융 선도 하나금융지주가 토큰증권(STO) 사업협력 증권사로 계열사인 하나증권이 아닌 미래에셋증권을 선택한 배경에 관심이 쏠립니다.
2023.06.04,하나금융지주,"함영주 하나금융지주 회장은 ""지난해의 3배가 넘는 경쟁률을 뚫고 선발된 젊은 대학생 오피니언 리더들의 열의와 패기가 느껴진다""며 ""젊은 세대의 아이디어와 열정 넘치는 에너지로 3개월간 마음껏 즐기고 도전하며 하나금융그룹을 빛내주길 바란다""고 말했습니다."
2023.06.06,하나금융지주,"하나금융지주는 12.84%, 신한금융지주는 12.54%, 우리금융지주는 12.1% 등입니다."
2023.06.12,하나금융지주,"[데이터로 보는 증시]삼성전자·포스코퓨처엠, 기관·외국인 코스피 순매수 1..."
2023.06.07,하나금융지주,"이어 ""당시 하나고 이사장은 하나금융지주 회장이셨고 이분은 이 전 대통령과 고려대 동문으로 상당히 친한 관계라는 얘기가 있었다""고 덧붙었습니다."
