날짜,기업이름,요약내용
2023.06.02,한국전력,"수급 비상 예상 시 ▲ 미세먼지 경보 시 ▲ 이상기온 발생 시 ▲ 적정 공급예비력 미달 시 한국전력거래소에서 국민 DR을 발령하고, 이때 전력 소비를 줄이면 보상받습니다."
2023.06.06,한국전력,강릉 산불 비상대책위원회가 한국전력을 상대로 손해배상을 받기 위한 소송 준비에 속도를 내고 있습니다.
2023.06.11,한국전력,"전기요금 고지서에 적힌 TV 수신료를 걷는 건 한국전력공사(한전)지만, 가져가는 건 한국방송공사(kbs입니다."
2023.06.04,한국전력,"지난 1일 소방서, 경찰서, 한국전기안전공사, 한국전력공사 등 관련 기관과 함께 대회 원활한 진행을 위한 합동 안전점검을 마쳤습니다."
2023.06.12,한국전력,"협약식에서 강영석 상주시장, 김홍식 한국전력공사 상주지사장, 배영식 한전엠씨에스(주) 상주지점장이 협약서를 들고 포즈를 취하고 있습니다."
2023.06.09,한국전력,대통령실과 김의철 KBS 사장의 KBS TV 수신료 공방이 가열화되는 가운데 '정권 리스크'에 처한 한국전력이 어떠한 입장을 내놓을지 주목을 끌고 있습니다.
2023.06.07,한국전력,"국제교류복합지구는 코엑스부터 현대차GBC(옛 한국전력공사 부지)를 거쳐 잠실종합운동장으로 이어지는 166만㎡에 국제업무, 스포츠, 엔터테인먼트, 전시·컨벤션 등 4가지 핵심산업시설과 마이스(MICE) 거점을 조성하는 사업입니다."
2023.06.02,한국전력,발표에 따르면 1위 두산에너빌리티 2위 대한전선 3위 한국전력 순으로 나타났다.​​ ​ 이넷뉴스와 한국기업평판연구소는 전력설비 상장기업 27개 브랜드에 대해서 빅데이터 분석을 활용한 브랜드 평판조사를 실시했습니다.
2023.06.05,한국전력,"현행 방송법은 '텔레비전 수상기를 소지한 자'에게 수신료를 납부하도록 하는데, 1994년부터 한국전력이 KBS 수신료 징수 업무를 위탁받아 전기요금과 함께 징수해 왔습니다."
2023.06.02,한국전력,"이날 간담회에는 산업부와 전력거래소, 한국전력공사 등 유관기관과 DR사업자, 오토DR 참여 편의점 운영기업 등이 참여한 가운데 오토DR 실증 및 확대 방안을 논의했습니다."
2023.07.11,한국전력,"한국교통안전공단이 한국도로공사, 한국전력기술과 중대재해 예방을 위한 업무협약을 체결했다고 11일 밝혔습니다."
2023.06.09,한국전력,"한국전력 해외발전기술처가 주최한 '2023 해외발전기술처-전력연구원간 기술워크숍'에서 발전연료 전환의 핵심인 수소 생산공정기술, 수소·암모니아 혼소기술 등이 미래 발전분야 핵심기술로 떠올랐습니다."
2023.06.06,한국전력,"KBS ""대통령실, 수신료 분리징수 사실상 지시"""
2023.06.03,한국전력,당진신문DB 한국전력 전력구 공사로 인한 지반침하로 피해를 겪는 부곡공단 4개 업체가 중점관리대상으로 지정됐습니다.
2023.06.02,한국전력,"한국마사회와 한국토지주택공사(LH)와 한국가스공사, 한국전력 등 13개 주요 공공기관이 지난 1일 공정거래위원회가 개최한 '공공분야 입찰담합 관여행위 개선방안 선포식'에 참여했다고 밝혔습니다."
2023.06.06,한국전력,이에 시는 7일 식약품안전처-한국전력공사-한국체인스토어협회-대형유통업체(롯데마트-이마트·이마트에브리데이-GS더프레시-홈플러스)와 관련 업무협약을 체결합니다.
