날짜,기업이름,요약내용
2023.06.02,한미반도체,"[데이터로 보는 증시]카카오·삼성전자, 기관·외국인 코스피 순매수 1위(6월..."
2023.06.02,한미반도체,올해 상저하고 실적을 내보일 것이라며 목표주가를 기존 1만8000원에서 3만1000원으로 올려 잡았다고 흥국증권이 밝혔습니다.
2023.06.07,한미반도체,"[내 종목을 부탁해] 복잡한 계좌 해결 방법은? <포스코스틸리온, 후성, 덴티스..."
2023.06.05,한미반도체,양국은 민관 공동 참여체인 '한미 반도체 포럼'을 신설해 경제안보의 핵심으로 떠오른 반도체 부문의 협력을 강화하기로 했습니다.
2023.06.06,한미반도체,"소재·부품·장비(소부장) 중에서는 리노공업, 동진쎄미켐, 한미반도체, 원익IPS, 솔브레인, 티씨케이에 투자하고 있습니다."
2023.06.16,한미반도체,"전문가들은 반도체 소부장 중 한미반도체, 원익IPS, 유진테크, 피에스케이, HPSP, 주성엔지니어링 등에 주목했습니다."
2023.06.15,한미반도체,이투데이=정성욱 기자 | 한미반도체가 하반기 실적개선 기대감에 힘입어 강세입니다.
2023.06.07,한미반도체,한미반도체가 지금까지 이룬 후공정 장비 국산화 신화에는 마이크로쏘 앤 비전플레이스먼트(MSVP·micro SAW & VISION PLACEMENT)의 역할이 컸습니다.
2023.06.07,한미반도체,"최근 한달간 반도체 상장기업 브랜드평판을 빅데이터로 분석한 결과, 1위 삼성전자 2위 SK하이닉스 3위 한미반도체 순으로 나타났습니다."
2023.06.12,한미반도체,공공무문 25%(지방세 +2.5)에서 2023년 22%로 되었지만 너무 높습니다.
2023.06.11,한미반도체,"[주간 투자주체 매매동향] 기관, 삼성전자·SK하이닉스 집중 매수"
2023.06.08,한미반도체,DB하이텍과 시총 규모가 비슷한 한미반도체(26.67%)와 서울반도체(16.60%)와 비교해도 수익률이 확연히 낮습니다.
2023.06.15,한미반도체,한미반도체 주가가 초강세를 하고 있습니다.
2023.06.08,한미반도체,"또 현재 인천에는 1300여 개의 반도체 관련 기업이 상주해 있으며, 패키징과 테스트 등 반도체 후공정 분야 세계 2, 3위 기업인 앰코테크놀로지코리아와 스태츠칩팩코리아를 비롯 글로벌 반도체 장비 기업인 한미반도체 등 굴지의 기업들이 포진해 있습니다."
2023.06.01,한미반도체,시그네틱스 아이텍 앤씨앤 지니틱스 어보브반도체 네패스 다믈멀티미디어 아나패스 오디텍 디아이 DB하이텍 테스나 네패스아크 실리콘웍스 알파홀딩스 라닉스 주성엔지니어링 SFA반도체 SK하이닉스 삼성전자 테크윙 아이에이 하나마이크론 아이앤씨 텔레칩스 코아시아 리노공업 한미반도체 등이 거론됩니다.
2023.06.09,한미반도체,"진단이 많은 종목으로는 한미반도체, 카카오 등이 꼽혔습니다."
2023.06.04,한미반도체,"[주간 투자자 동향] 외국인, 반도체 투톱 1조3000억 싹쓸이"
2023.06.15,한미반도체,한미반도체는 15일 코스피 시장에서 오전 9시56분 현재 전 거래일보다 6.45%(1700원) 상승한 2만8050원에 거래되고 있습니다.
2023.06.09,한미반도체,[여의도 승부사] '셀바스AI vs 한미반도체 vs 원바이오젠' 여의도를 달굴 종목...
2023.06.12,한미반도체,한미반도체가 인공지능(AI) 관련 반도체 장비 수요 증가로 실적 개선 가능성이 커지고 있어 증권가의 주목을 받고 있습니다.
2023.06.13,한미반도체,"23%), 한미반도체(+3.02%), 한미사이언스(+1.91%) 등 주로 반도체, 바이오헬스케어 업종이 강세를 보이고 있습니다."
2023.06.01,한미반도체,한미반도체는 1일 코스피 시장에서 오전 11시40분 현재 전 거래일보다 2.64%(700원) 하락한 2만5850원에 거래되고 있습니다.
2023.06.16,한미반도체,[리턴즈 고래 삼총사]'반도체· AI· 배터리· 자동차' 핵심기술 보유 관심주...
2023.06.02,한미반도체,[차영주의 금요시장] 중요한건 꺾이지 않는 반도체…6월 시장 운명은?
2023.06.05,한미반도체,"코스피, 기관 매수에 0.5% 상승 마감…외인 두산에너빌리티·LG에너지솔루션·..."
2023.06.15,한미반도체,"올 들어 엔비디아가 170% 급등했을 뿐 아니라, 국내 증시에서도 동진쎄미켐, 이수페타시스, HPSP, 한미반도체 등 반도체 중견·중소기업에 대한 외국인의 매수세가 이어졌습니다."
2023.06.12,한미반도체,"레이저쎌 +27.07%, 프로텍 +11.88%로 강세를 보이고 있고, 이밖에도 주성엔지니어링, 네온테크, 티에스이, 티씨케이, 기가레인, 한미반도체도 상승중입니다."
2023.06.13,한미반도체,"[매매의 기술] 美, 반도체 장비 中 수출금지 유예 연장 '한미반도체' VS 챗GP..."
2023.06.11,한미반도체,코스모신소재·SK바이오사이언스·루트로닉·한미반도체·포스코인터내셔널 목표주가 괴리율이 가장 낮은 다섯 종목으로 파악됩니다.
2023.06.02,한미반도체,"시가총액 규모가 약 2조5000억원으로 DB하이텍과 비슷한 한미반도체와 서울반도체도 14.43%, 15.6% 올랐습니다."
2023.06.12,한미반도체,"[오늘의 증시 리포트] “SK하이닉스, 재고 감소 시작…HBM 모멘텀 증가”"
2023.06.15,한미반도체,실시간 종목진단·종목추천 애플리케이션(앱) '머니로'가 최다 관심종목과 함께 다양한 추천 종목을 공개했습니다.
2023.06.05,한미반도체,국내 상위랭커에게 높은 수익을 안겨준 종목은 △유니온머티리얼 △지에스이 △아진산업 △미래생명자원 △현대무벡스 △지엔씨에너지 △라온텍 △애경케미칼 △한미반도체 △실리콘투 등입니다.
2023.06.12,한미반도체,"33), GKL(9.38), 이녹스첨단소재(9.51) 등 5종목(3.4%)이 RMSE 목표가를 적중했습니다."
2023.06.12,한미반도체,"한국거래소에 상장된 주요 반도체 메이커는 삼성전자와 SK하이닉스가 있고 반도체 장비업체로는 리노공업, 주성엔지니어링, 에스티아이, 엘오티베큠, 원익IPS, 유니셈, 이오테크닉스, 인텍플러스, 파크시스템스, 피에스케이, 한미반도체 등이 있습니다."
2023.06.02,한미반도체,"포트폴리오 주요 구성종목은 한미반도체, 대덕전자, 원익IPS, 솔브레인, 리노공업, 주성엔지니어링, 심텍 등이 있습니다."
2023.06.05,한미반도체,"[데이터로 보는 증시]삼성전자·두산에너빌리티, 기관·외국인 코스피 순매수..."
2023.06.16,한미반도체,"이외에 기가비스, 에스티아이, 한미반도체, 프로텍, 코미코, 어반리튬, HPSP, 자비스 등 주가가 강세를 기록했습니다."
2023.06.04,한미반도체,"SK하이닉스(3385억원)를 비롯해 삼성전자(005930)(2192억원), 현대차(504억원), 아모레퍼시픽(449억원), 기아(400억원), 엔씨소프트(341억원), OCI(326억원), KT(293억원), NAVER(282억원), 한미반도체(245억원)등을 팔았습니다."
2023.06.08,한미반도체,"이외에 한미반도체, 코아시아, 피에스케이, 두산테스나, 시그네틱스, 케이알엠, 가온칩스, 에스앤에스텍, 에이디테크놀로지, 넥스트칩, SK하이닉스, LX세미콘, 지니틱스, 어보브반도체 등이 상승하고 있습니다."
2023.06.16,한미반도체,[여의도 클라쓰] '피델릭스 vs 나라셀라' 클라쓰가 다른 오늘의 종목은?
2023.06.13,한미반도체,"싱하이밍 중국 주한대사는 ""미중 갈등이 격화하는 상황에서 미국 승리에 베팅하는 것 같은데 이는 분명히 잘못된 판단""이라고 비판했습니다."
2023.06.16,한미반도체,"[투자주체 매매동향] 외국인·기관, SK하이닉스 한주간 동반 순매수"
2023.06.01,한미반도체,한미반도체 등 반도체 관련 기업 1299개사도 인천에 포진하고 있습니다.
