날짜,기업이름,요약내용
2023.06.06,한화에어로스페이스,"씨지텍의 대표적인 항공우주 및 방산 분야 국내 고객사로는 대한항공, KAI, 한화에어로스페이스, HD현대중공업 등이 있습니다."
2023.06.06,한화에어로스페이스,여기에 한화에어로스페이스의 최첨단 추진체계와 한화시스템의 최신 전투체계를 연계한 시너지를 통해 대한민국 해군에 최고 품질의 함정을 공급한다는 계획입니다.
2023.06.09,한화에어로스페이스,한화는 이번 전시회에서 한화에어로스페이스 등 방산 계열사들이 관련 기술력을 선보이며 밸류체인의 완성도를 뽐냈습니다.
2023.06.07,한화에어로스페이스,"한편 김 부회장은 마덱스에 조성한 한화오션, 한화에어로스페이스의 부스를 차례로 방문, 직원들을 격려했습니다."
2023.06.11,한화에어로스페이스,"GE의 오랜 파트너인 한화에어로스페이스는 한국 해군 및 산업용 가스터빈 엔진 부품을 제조하고, GE의 함정용 엔진의 조립, 테스트 및 현지 서비스를 지원합니다."
2023.06.04,한화에어로스페이스,"한화에어로스페이스, 누리호 3차 발사 체계종합서 두각 한화와 HD현대는 우주 산업에서 각 분야에서 전문성을 갖고 경쟁과 협력을 하고 있습니다."
2023.06.02,한화에어로스페이스,美 시장 확대로 영업이익률 10% 넘어 한화에어로스페이스가 지분 100%를 보유한 영상보안 자회사 한화비전이 10%가 넘는 영업이익률을 기록하며 알짜 기업으로 거듭나고 있습니다.
2023.06.09,한화에어로스페이스,오늘날 한화솔루션의 경우 한화에어로스페이스(75%)나 한화시스템(75%)보다도 준수율이 높아 그룹 차원에서도 우수한 모습을 보입니다.
2023.06.11,한화에어로스페이스,23일(현지시간) 폴란드 토룬 포병사격장에서 한국이 수출한 K9 자주포가 표적을 향해 포탄을 발사하고 있다[연합뉴스] 또 지난해 8월 현대로템과 한화에어로스페이스는 폴란드 군비청과 K2 흑표 전차 및 K-9 자주포 수출을 위한 총 57억6000만달러(7조5000억원) 규모의 1차 이행 계약을 실제로 체결했습니다.
2023.06.05,한화에어로스페이스,구체적으로 작년 7월 27일 한화에어로스페이스·현대로템과 K9 자주포와 K2 전차를 구매하는 기본계약을 체결했습니다.
2023.06.08,한화에어로스페이스,"한화에어로스페이스는 지난해 하반기 폴란드와 K9 자주포, 다연장로켓 천무 등 8조2000억원 규모 무기를 공급하는 내용의 계약을 체결했습니다."
2023.06.12,한화에어로스페이스,"경남도, 도내 방산기술 '국가첨단전략기술 반영' 극대화 나선다"
2023.06.06,한화에어로스페이스,조선업에 첫발을 들인 한화오션이 한화에어로스페이스와 한화시스템과 나란히 자리하면서 그룹 내 육·해·공 방산 모두 모이기 때문입니다.
2023.06.09,한화에어로스페이스,국내에서도 그동안 우주 기술을 개발하고 이끌어온 한국항공우주연구원의 노하우를 한화에어로스페이스가 이전받아 민간 우주 산업 발전을 위한 기반을 마련하고 육성할 예정입니다.
2023.06.07,한화에어로스페이스,"김 부회장은 한화시스템 부스를 거쳐 한화오션, 한화에어로스페이스의 전시관을 차례로 방문했습니다."
2023.06.06,한화에어로스페이스,"지난해 7월 한화에어로스페이스, 현대로템과 K9 자주포 212문·K2 전차 180대를 구매하는 기본계약을 체결했습니다."
2023.06.06,한화에어로스페이스,한화에어로스페이스의 레드백 호주 수출도 남아 있습니다.
2023.06.09,한화에어로스페이스,"한화오션은 한화시스템, 한화에어로스페이스와의 시너지를 통해 수상함 기술 개발 체계를 고도화했습니다."
2023.06.05,한화에어로스페이스,"MADEX는 방산업체의 홍보와 수출진흥을 위해 격년으로 부산에서 열리는 전시회로 한화오션은 한화에어로스페이스, 한화시스템 등 한화그룹의 방산계열사와 함께 합니다."
2023.06.07,한화에어로스페이스,"최근 한화그룹에 인수된 한화오션(옛 대우조선해양)은 한화에어로스페이스, 한화시스템 등 그룹의 방산 계열사와 함께 행사에 참여하며 새 간판을 걸고 데뷔식을 치렀습니다."
2023.06.03,한화에어로스페이스,"고흥·보성·장흥·강진선거구, 22대 총선 전남 최대 격전지 '부상'"
2023.06.02,한화에어로스페이스,인수 주체는 확정되지 않았지만 지난 3월 신설된 한화솔루션과 한화에어로스페이스의 합작법인인 한화퓨처프루프가 유력히 거론됩니다.
2023.06.04,한화에어로스페이스,한화시스템과 한화에어로스페이스도 대규모 부스를 차립니다.
2023.06.08,한화에어로스페이스,"한화오션은 지난해 기업지배구조 핵심 지표 이행현황 중 이사회 관련 내용에서 대주주인 한화에어로스페이스, 한화시스템 등과 일부 다른 점이 눈에 띘습니다."
2023.06.05,한화에어로스페이스,한화시스템·한화에어로스페이스도 참여 한화오션(옛 대우조선해양)은 오는 7일부터 부산 벡스코에서 열리는 제13회 국제해양방위산업전(MADEX 2023)에서 4종의 수상함을 전시한다고 5일 밝혔습니다.
2023.06.09,한화에어로스페이스,"전시회장에서 브리핑을 한 배선태 한화오션 특수선사업부 영업담당(수석)은 ""이달 30일 울산급 배치3 5번, 6번 함에 대한 입찰이 있다""며 ""다른 말은 필요 없을 것 같다. 목숨 걸고 준비하겠다""고 말했습니다."
2023.06.11,한화에어로스페이스,"지난해 말부터 지속적인 해외수주 소식으로 인해 한화에어로스페이스, 한국항공우주(KAI), 현대로템들의 주가가 크게 오른 덕분입니다."
2023.06.02,한화에어로스페이스,"한화오션 인수에 참여한 한화에어로스페이스, 한화시스템 등 방산 계열사의 자금 지원의지가 매우 높은 수준이라는 평가입니다."
2023.06.08,한화에어로스페이스,"같은 날 오후 국제해양방위산업전시가 열린 부산 벡스코에 방문한 김 부회장은 한화시스템, 한화오션, 한화에어로스페이스 임직원들을 격려했습니다."
2023.06.01,한화에어로스페이스,한화에어로스페이스 공매도 거래량이 전거래일 보다 51만8364건 증가했습니다.
2023.06.14,한화에어로스페이스,사업을 속도감 있게 추진하기 위해 한화시스템은 발사체를 맡는 한화에어로스페이스와 함께 '스페이스허브'라는 그룹 내 우주사업 컨트롤 타워도 만들었습니다.
2023.06.13,한화에어로스페이스,"한화는 한화에어로스페이스, 한화시스템 등 5개 계열사를 중심으로 2조원의 유상증자 자금을 출자해 한화오션 주식의 49.3%를 확보하며 대주주에 등극했습니다."
2023.06.11,한화에어로스페이스,한화에어로스페이스는 차기 상륙돌격장갑차(KAAV-2) 모형을 공개했습니다.
2023.06.06,한화에어로스페이스,"지난해 7월 한화에어로스페이스, 현대로템과 K9 자주포 212문·K2 전차 180대를 구매하는 기본계약을 체결했습니다."
2023.06.04,한화에어로스페이스,"한화그룹, 국립대전현충원 봉사활동"
2023.06.07,한화에어로스페이스,"이어 ""한화오션이 합류하며 한화에어로스페이스,한화시스템과 함께 많은 분야에서 시너지를 낼 수 있을 것이란 확신을 가지고 있다""며 ""대한민국 대표 방산기업 답게 정도 경영을 펼치며 세계 시장에서 더 확고한 경쟁력을 갖춰나가자""고 강조했습니다."
2023.06.01,한화에어로스페이스,"한화오션 인수에 참여한 한화에어로스페이스, 한화시스템 등 방산 계열사의 자금 지원의지가 매우 높은 수준이라는 평가입니다."
2023.06.12,한화에어로스페이스,"우선, 한화에어로스페이스의 K9 자주포는 세계 여러 국가에 수출되고 있습니다."
2023.06.05,한화에어로스페이스,"한화에어로스페이스와 (주)한화, 한화디펜스 등 3개 회사에 분산됐던 방산사업을 한화에어로스페이스로 통합했습니다."
2023.06.12,한화에어로스페이스,"김 부회장은 당시 임직원들과 만나 ""한화오션이 합류하며 한화에어로스페이스, 한화시스템과 함께 많은 분야에서 시너지를 낼 수 있을 것이란 확신을 가지고 있다""며, ""대한민국 대표 방산기업답게 정도 경영을 펼치며 세계 시장에서 더 확고한 경쟁력을 갖춰나가자""고 주문했습니다."
2023.06.05,한화에어로스페이스,신상헌 전무는 1969년생으로 한화큐셀을 거쳐 2018년부터 최근까지 한화에어로스페이스에서 근무했습니다.
2023.06.05,한화에어로스페이스,"한화에어로스페이스는 2022년 8월 폴란드 정부와 2026년까지 K-9 자주포 212문을 수출하는 계약을 맺었고, 같은 해 10월 초도 물량 24문 납품을 시작했습니다."
2023.06.04,한화에어로스페이스,한화에어로스페이스는 도하장비 분야 원천기술을 보유한 독일의 GDELS의 M3 자주도하장비 기술을 이전 받아 한국형 자주도하장비 'M3K'를 국내 생산합니다.
2023.06.07,한화에어로스페이스,"7일 부산 벡스코에서 열린 '국제해양방위산업전(MADEX, 마덱스) 2023' 행사장 한화에어로스페이스 전시 부스에 태국 해병대 사령관과 군 관계자들이 방문하고 있습니다."
