날짜,기업이름,요약내용
2023.06.05,한화오션,한화오션은 오는 7일부터 9일까지 부산 벡스코에서 열리는 제13회 국제해양방위산업전(MADEX 2023)에서 총 4종의 수상함을 전시한다고 5일 밝혔습니다.
2023.06.02,한화오션,군함 건조 등 특수선 사업부를 보유한 한화오션과 시너지(옛 대우조선해양)도 꾀하겠다는 구상입니다.
2023.06.09,한화오션,"한화오션, 방산그룹 장점으로 '마덱스' 열기 높여 HD한국조선해양, '대양 친환경'으로 영역확대 삼성중공업, 세계 최대 수주잔량에 신기술 결합 세계 조선업계를 선도하고 있는 'K-조선'에 활력과 긴장감이 돌고 있습니다."
2023.06.07,한화오션,김동관 한화그룹 부회장이 7일 부산 벡스코에서 열린 국제해양방위산업전(MADEX 2023)에 깜짝 방문해 한화오션의 정상화에 집중하겠다는 의지를 밝혔습니다.
2023.06.11,한화오션,최근 대우조선해양이 한화오션으로 새출발한 가운데 국내 조선3사의 글로벌 시장 선점 경쟁은 한층 치열해질 전망입니다.
2023.06.06,한화오션,[부고] 맹상호(한화오션 책임)씨 빙모상
2023.06.07,한화오션,김동관 한화그룹 부회장이 7일 한화오션 거제사업장을 방문해 직원들과 인사를 나누고 있습니다.
2023.06.09,한화오션,미국선급협회서 AIP 인증 받아 한화오션이 선박이 운항할 때 발생하는 엔진 배기가스 내 이산화탄소(CO₂)를 포집·저장하는 기술을 미국선급협회(ABS)로부터 인정받았습니다.
2023.06.11,한화오션,이렇게 6월이 마무리되면 올해 상반기에는 이전상장(SK오션플랜트)을 제외한 신규 상장은 코스닥만 존재하게 됩니다.
2023.06.09,한화오션,한화오션(옛 대우조선해양)과 HD현대간 인재 확보전이 본격화되고 있습니다.
2023.06.16,한화오션,"코스피, 외국인 매수세에 2,620대로 상승…외인 삼성전자·LG화학·두산에너빌..."
2023.06.08,한화오션,"한화그룹으로 편입된 한화오션, 임원들 행보 딱 이 단어입니다."
2023.06.12,한화오션,한화오션이 대우조선해양을 인수한 뒤 처음으로 신입과 경력 등 인재 영입에 나섰습니다.
2023.06.03,한화오션,"국내에서는 현대중공업과 한화오션(구 대우조선해양)이 2천t급인 손원일급 잠수함을 각각 6척과 3척 건조했으며, 도산 안창호급(3천t급) 잠수함 1·2번함은 한화오션이, 3번함은 현대중공업이 건조했습니다."
2023.06.09,한화오션,한화오션이 2023년도 경력직 상시 채용을 시작합니다.
2023.06.05,한화오션,국내 조선 산업에 등판한 한화오션이 공적 자금으로 연명해 온 과거를 씻고 빠르게 경영 정상화할 수 있을지 관심이 쏠립니다.
2023.06.06,한화오션,오늘의 부고 종합
2023.06.05,한화오션,대한민국 해군의 '차세대 호위함(FFX Batch-III)' 최종전이 한화오션과 HD현대중공업의 맞대결로 좁혀지고 있습니다.
2023.06.09,한화오션,한화건설·대우건설·SK에코플랜트와 같은 국내 건설사들도 해상풍력 사업에 투자를 진행하고 있습니다.
2023.06.04,한화오션,"한화오션 '데뷔전'에 쏠리는 눈…한화 방산 3사, 시너지 기대감↑ 이번 마덱스 2023에서 K-방산의 대표 기업들은 최첨단 함정 무기체계와 함정·해양방위 시스템, 해양 유·무인 복합전투체계, 해양탐사선·특수선 장비 등을 대거 선보입니다."
2023.06.10,한화오션,'한화오션 vs HD현대' 인재 확보戰 치열하다 한화오션(옛 대우조선해양)과 HD현대간 인재 확보전이 본격화되고 있습니다.
2023.06.03,한화오션,한화는 한화오션 출범과 동시에 재빨리 움직이고 있습니다.
2023.06.07,한화오션,한화오션이 '수상함 명가' 재건을 알린 자리에 김동관 한화그룹 부회장이 깜짝 방문했습니다.
2023.06.05,한화오션,3사 가운데선 HD한국조선해양이 가장 앞서고 있으며 삼성중공업과 한화오션(옛 대우조선해양)이 그 뒤를 잇고 있습니다.
2023.06.03,한화오션,한화오션 쇄빙선 계약해지에 러 선사 1조원대 SIAC 중재 제기
2023.06.02,한화오션,이를 위해 산업용 가스 세계 1위 린데그룹과 손잡고 합작법인 '린데수소에너지'를 설립하기도 했습니다.
2023.06.11,한화오션,이번 행사에는 대우조선해양에서 이름을 바꿔 공식 행사에 처음 등장한 한화오션이 눈길을 끌었습니다.
2023.06.07,한화오션,"김동관 한화그룹 부회장은 7일 ""한화오션이 한화그룹 가족이 됐기 때문에 국내는 물론 해외에서 인정받을 수 있도록 많은 투자와 중장기 전략을 세울 것""이라고 말했습니다."
2023.06.10,한화오션,"[재계-in] 손잡은 이재용·정의선, 목발 짚고 나타난 최태원"
