날짜,기업이름,요약내용
2023.06.01,현대모비스,현대모비스의 글로벌 전동화 전용 거점인 인도네시아 공장이 내년 상반기 양산을 목표로 착공에 들어갔습니다.
2023.06.01,현대모비스,현대모비스는 지난달 31일 인도네시아 자와바랏주 브카시시에 위치한 배터리시스템 공장 착공식을 열었다고 1일 밝혔습니다.
2023.06.01,현대모비스,현대모비스가 아세안 시장의 중심 국가 인도네시아에 '셀-배터리시스템-완성차'로 이어지는 전동화 생태계 구축을 통해 글로벌 전동화 밸류체인 완성에 한 발 더 다가서고 있습니다.
2023.06.01,현대모비스,현대모비스의 인도네시아 공장이 내년 상반기 양산을 목표로 착공에 들어갔습니다.
2023.06.01,현대모비스,"현대모비스, 인니서 배터리 시스템 공장 착공 돌입... 아세안 전동화 생태계 ..."
2023.06.01,현대모비스,"현대모비스가 투자와 생산 등을 주도하며, 현대차가 투자의 일부를 담당합니다."
2023.06.01,현대모비스,현대모비스의 글로벌 전동화 전용 거점인 인도네시아 공장이 오는 2024년 상반기 양산을 목표로 착공에 돌입했습니다.
2023.06.01,현대모비스,현대모비스가 글로벌 전동화 전용 거점인 인도네시아 배터리 시스템 공장 착공에 들어갔습니다.
2023.06.01,현대모비스,현대모비스의 글로벌 전동화 전용 거점인 인도네시아 공장이 내년 상반기 양산 목표로 착공했습니다.
2023.06.01,현대모비스,현대모비스의 글로벌 전동화 전용 거점인 인도네시아 공장이 내년 상반기 양산을 목표로 착공에 들어갔다고 1일 밝혔습니다.
2023.06.02,현대모비스,[현대차그룹] 시가총액 1조4160억원 감소...현대글로비스 1.24% 상승 '눈길'
2023.06.02,현대모비스,현대모비스는 지난(현지시간) 31일 인도네시아 수도 자카르타 외곽 자와바랏 주(州) 브카시 시(市)에 위치한 공장 부지에서 배터리 시스템 공장 착공식을 개최했다고 밝혔습니다.
