날짜,기업이름,요약내용
2023.06.01,현대차,현대차는 국내에서 전년 동월 대비 8.4% 증가한 6만8680대를 팔았습니다.
2023.06.01,현대차,"이옥현 산업부 수소경제정책관은 ""현대차 연료전지 생산공장 준공 및 연료전지시스템의 현지 공급은 한중 기업 간 수소경제 협력을 상징하는 의미있는 일""이라며 ""수소 기술력을 갖춘 양국 기업들이 앞으로도 다양한 협력사업을 통해 글로벌 수소경제를 선도해 나갈 것으로 기대한다""고 말했습니다."
2023.06.01,현대차,현대차·기아가 지난달 전세계 시장에 61만여대를 판매했다고 밝혔습니다.
2023.06.01,현대차,"현대차 노사는 1일 태화강 남구 둔치 특설무대에서 개최된 개막식에 현대차 이동석 대표이사, 안현호 현대차 금속노조 지부장, 임직원 관계자 등이 참가, 행사 후원금 8000만원을 울산시체육회에 기탁했습니다."
2023.06.01,현대차,"1일 열린 준공식에는 장재훈 현대차 사장을 비롯해 린커칭 광둥성 정협 주석 겸 광저우시 서기, 리신 광둥성 정협 부주석 등 200명이 참석했습니다."
2023.06.01,현대차,현대차는 제출 사진과 함께 관련 사연을 종합적으로 고려해 다음 달 15일 선정작을 발표하고 일주일 뒤 시상할 계획입니다.
2023.06.01,현대차,"현대차 노조는 이달 둘째 주 회사 측과 단체교섭 상견례, 셋째 주 단체교섭 출정식을 열 예정입니다."
2023.06.01,현대차,현대차 그룹 계열사인 현대오토에버가 수급사업자에게 정당한 사유 없이 기술자료를 요구한 혐의로 공정거래위원회의 제재를 받았습니다.
2023.06.01,현대차,현대자동차그룹(이하 현대차그룹)이 해외 최초의 수소연료전지시스템 생산기지를 구축했습니다.
2023.06.01,현대차,현대차는 새 그랜저가 월 판매 1만 대를 넘기며 국내 판매를 이끌었고 기아는 스포티지가 국내외 판매를 견인했습니다.
2023.06.02,현대차,"""도둑보다 회사에 강경""…美서 현대차·기아 상대 절도소송 비판"
2023.06.02,현대차,지난달 현대차·기아의 국내 전기차 판매가 감소한 것으로 나타났습니다.
2023.06.02,현대차,현대차와 기아는 지난달 미국 판매량이 작년 같은 달보다 20.8% 증가한 14만7103대를 기록했다고 2일 발표했습니다.
2023.06.02,현대차,"현대차, '연식변경 팰리세이드' 출시…3867만원부터"
2023.06.02,현대차,"""현대차의 '아이오닉 5'가 소프트웨어 부문에서 포드보다 더 낫다""(짐 팔리 포드 CEO) ""현대차가 꽤 잘하고 있다""(일론 머스크 테슬라 CEO) 엔진의 시대에는 한국 자동차가 유럽·미국·일본 차에 뒤졌지만 전기차 경쟁은 같은 선상에서 출발합니다."
2023.06.02,현대차,"현대차 전주공장, 멸종 식물 복원 전북지방환경청과 협력"
2023.06.02,현대차,현대자동차가 상품성을 개선한 '2024 팰리세이드'를 2일부터 판매합니다.
2023.06.03,현대차,“도둑 들면 가게 탓이냐”…美서 현대차·기아 상대 절도소송 비판
2023.06.02,현대차,6월에 시작될 현대차 노사 협상을 앞두고 노조 측의 요구조건이 알려지면서 논란이 일고 있습니다.
2023.06.02,현대차,앵커] 혈액암에 걸린 현대차 전주공장 노동자들이 산재보상을 신청했습니다.
2023.06.03,현대차,현대차 '제네시스'에 삼성 OLED 디스플레이가 탑재된다는 소식에 투자 심리가 개선됐기 때문입니다.
2023.06.03,현대차,"현대차노조, ""40년 근속자에 400만원 금메달 달라"" 현대차 노동조합이 올해 임단협 요구안에 40년 장기근속자에게 400만원 상당의 금메달과 휴가비 700만원을 지급하라는 내용을 포함시켰습니다."
2023.06.03,현대차,혈액암에 걸린 현대차 전주공장 노동자들이 산재보상을 신청했습니다.
2023.06.04,현대차,4일 울산시와 현대차에 따르면 잉겔스가 설계하는 해당 공간 정식명칭은 울산하이테크센터입니다.
2023.06.03,현대차,현대차 제공 운전자들이 가장 많이 찾는 1천만원대 국산 중고차는 '아반떼'와 '카니발'인 것으로 조사됐습니다.
2023.06.03,현대차,"양사 모두 올해 들어 전년 대비 판매량 상승 곡선을 그린 가운데 현대차는 세단 부문에서, 기아는 스포츠유틸리티차(SUV) 부문에서 뚜렷한 강세를 보이고 있습니다."
2023.06.03,현대차,상장 직후 이같은 기업가치를 유지한다면 빈패스트 시총은 5월 26일 기준 현대차 시총(43조 4697억원)과 크게 다를 게 없는 수준입니다.
2023.06.03,현대차,현대차는 '포니 쿠페 콘셉트'를 지난달 18일(현지시각) 이탈리아에서 공개했습니다.
2023.06.03,현대차,현대차(005380)에 대한 증권가의 호평이 이어지고 있습니다.
2023.06.03,현대차,현대차·기아가 자동차 판매 61년만에 지난달 판매 대수 1억5천만대를 넘은 것으로 나타났습니다.
2023.06.04,현대차,"현대차·기아, 5월 11만8955대 판매 르노·GM·KG모빌리티 내수서 고전 5월 국내 신차 판매량이 13만300대로 지난해 5월보다 8.8% 증가했습니다."
2023.06.04,현대차,현대차는 2024 팰리세이드에 주요 안전 및 편의 사양을 트림별로 기본화해 상품 경쟁력을 강화했습니다.
2023.06.04,현대차,"현대차 전주공장, 기후위기 멸종 식물 및 생물 복원사업 나서"
2023.06.04,현대차,4일 오후 서울역 서부역 택시승강장 부근에서 급발진한 것으로 추정되는 현대차 그랜저 택시가 차량을 잇달아 들이받으면서 4중 추돌 사고가 발생했습니다.
2023.06.05,현대차,티에리 누빌 1위…역대 이탈리아 랠리서 여섯번째 우승컵 현대차가 '2023 월드랠리챔피언십(WRC)' 이탈리아 랠리에서 올해 첫 승을 거뒀습니다.
2023.06.04,현대차,현대차 노조가 현장 기술직 직원들의 소음성 난청에 대해 집단 산재 신청에 나서기로 했습니다.
2023.06.05,현대차,티에리 누빌은 현대차의 'i20 N Rally1 하이브리드'를 타고 출전했습니다.
2023.06.05,현대차,"코나 일렉트릭, 아이오닉 6, 넥쏘 등 현대차의 친환경차와 이케아의 홈퍼니싱 아이디어를 결합해 소비자들에게 지속가능한 아웃도어 활동을 제안하기 위해 기획했습니다."
